 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,3751,136.267,89,186,130.794,141.388,130.649,141.319,101,99,59,84,82.853,57.643,86.407
2,2162,125.463,70,176,554.741,130.015,554.503,129.538,532,98,45,63,62.950,43.729,95.497
3,2799,144.334,100,201,138.099,210.784,138.272,210.497,103,183,69,55,71.496,49.846,23.752
4,3935,118.827,65,165,142.229,320.614,142.699,320.351,96,292,91,57,91.942,54.493,14.380
5,4205,155.566,90,220,274.056,670.620,275.224,670.974,234,631,79,79,95.296,56.183,135.708
6,4326,147.589,96,201,365.460,719.962,366.034,719.745,321,684,88,71,96.778,56.914,31.720
7,3155,121.693,62,176,294.229,452.727,294.387,453.459,253,427,82,51,82.415,48.742,169.811
8,2254,115.459,65,168,285.476,414.061,286.206,412.602,253,389,65,50,69.788,41.123,28.641
9,2601,109.945,51,171,45.404,238.076,46.989,238.976,22,201,46,74,74.963,44.178,77.687
10,1828,143.725,67,205,433.503,831.962,433.507,833.136,402,812,62,39,62.798,37.063,168.051
11,4191,143.403,60,213,814.106,772.694,815.511,771.882,770,738,87,69,95.217,56.042,31.383
12,2253,137.656,77,192,950.113,786.659,950.367,787.461,929,751,42,70,69.638,41.193,84.543
13,3171,131.568,60,192,670.650,646.713,669.773,645.105,646,605,49,83,82.637,48.858,88.321
14,1652,106.664,63,175,793.427,407.266,792.172,406.460,772,379,43,56,59.878,35.128,119.480
15,840,108.624,66,143,908.111,93.354,907.875,92.857,895,72,26,43,42.445,25.198,90.023
16,1422,114.210,68,194,567.427,276.018,567.182,275.294,549,248,36,55,55.490,32.628,105.606
17,990,129.357,103,165,896.154,283.315,895.844,283.287,876,264,40,38,46.321,27.213,138.516
18,1642,95.703,47,144,815.505,657.248,816.518,656.046,787,637,57,40,59.660,35.043,23.645
19,3629,146.498,101,198,528.770,612.626,528.429,612.552,492,576,73,73,88.767,52.053,135.046
20,1783,123.996,54,172,512.174,438.626,511.666,437.459,486,412,51,53,62.223,36.485,133.107
21,1615,116.123,73,174,209.401,639.956,209.201,639.716,186,613,46,53,59.176,34.749,126.084
22,4466,132.857,49,196,242.682,822.640,244.218,823.365,203,780,79,84,98.279,57.859,130.792
23,4135,121.686,49,196,166.799,785.400,165.361,784.174,119,756,95,58,94.712,55.588,170.226
24,1624,113.541,60,180,74.886,706.725,75.500,705.627,48,684,53,45,59.067,35.007,35.909
25,1009,83.453,35,128,274.726,556.750,275.089,557.556,260,533,28,47,46.739,27.487,90.048
26,1288,108.068,76,157,544.709,800.009,544.399,799.834,528,774,33,52,52.491,31.242,105.768
27,1544,115.155,54,181,809.497,556.674,809.193,557.720,785,533,49,47,57.652,34.099,137.918
28,1229,126.126,86,187,382.127,128.647,382.109,128.529,362,106,40,45,51.257,30.529,126.614
29,1742,105.676,63,196,633.324,363.160,632.497,362.660,609,337,49,52,61.591,36.011,130.681
30,2247,115.515,42,175,215.527,51.956,217.131,51.043,181,30,69,44,69.733,41.028,166.838
31,3899,162.580,95,229,679.545,177.389,679.532,177.459,644,142,71,71,70.508,70.408,52.362
32,1615,125.173,89,181,642.676,81.422,642.640,80.681,620,58,45,46,45.356,45.336,37.436
33,1543,123.208,82,172,602.822,146.040,603.117,145.856,580,123,45,45,44.491,44.158,51.454
34,1520,137.053,95,176,690.780,276.676,690.597,276.470,668,254,45,45,44.020,43.964,118.699
35,1613,160.224,107,209,844.731,334.623,843.946,334.950,822,312,45,45,45.372,45.264,126.473
36,775,117.910,39,161,947.620,359.372,947.772,359.982,931,343,32,32,31.434,31.392,39.293
37,1338,118.596,71,166,914.149,406.010,914.120,405.189,893,385,42,42,41.277,41.272,86.281
38,1813,109.949,69,173,916.753,442.651,916.919,443.671,892,418,49,49,48.067,48.024,63.714
39,1019,119.757,86,173,938.896,480.678,939.369,480.701,920,462,37,37,36.028,36.011,96.746
40,1261,122.524,83,172,1006.902,452.638,1006.408,452.896,987,431,37,42,42.084,38.151,90.237
41,2624,137.333,89,187,650.147,538.007,649.457,537.768,621,509,58,58,57.803,57.800,87.330
42,1624,122.636,89,152,696.080,573.394,696.292,573.433,673,550,46,46,45.566,45.379,159.476
43,4223,127.515,43,192,522.110,495.329,523.401,497.564,485,458,74,74,73.607,73.048,143.757
44,4381,162.672,88,231,442.130,494.598,441.982,495.516,404,457,75,75,75.065,74.309,126.720
45,4173,131.330,87,194,384.806,444.038,384.755,443.574,348,407,73,73,73.275,72.511,1.554
46,3632,134.048,54,200,302.174,562.010,305.444,562.995,267,527,69,69,68.005,68.001,86.644
47,5680,137.310,59,213,761.414,818.037,760.192,817.814,718,775,86,86,85.243,84.839,13.551
48,7027,144.535,74,221,738.054,877.324,736.663,878.842,690,829,95,96,94.789,94.389,9.922
49,3638,116.437,81,156,956.823,945.988,956.502,945.769,922,911,69,69,68.171,67.948,139.981
50,1092,102.791,68,134,1003.603,866.602,1003.790,866.355,984,848,38,37,37.318,37.257,54.399
51,1814,136.014,70,184,633.461,456.000,633.476,455.744,609,432,48,48,48.341,47.778,90.000
52,5195,165.627,80,217,90.100,863.317,90.129,863.203,49,822,82,82,81.384,81.275,33.405
53,4586,136.230,47,188,155.292,934.000,155.606,932.920,117,895,76,77,76.504,76.324,90.000
54,5750,135.447,70,193,222.049,871.991,222.361,872.963,179,829,86,86,85.564,85.563,100.089
55,7616,135.284,60,202,154.068,561.368,157.120,561.465,104,512,99,99,98.615,98.331,130.765
