 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,5545,111.773,71,151,550.214,854.712,549.771,854.162,493,823,114,63,113.936,61.966,173.177
2,4113,112.840,16,172,375.455,608.031,373.639,606.354,337,570,77,75,89.480,58.525,136.938
3,3894,119.123,81,162,454.801,949.373,454.671,949.627,422,908,65,82,86.880,57.067,117.148
4,2941,118.664,77,164,108.861,989.166,109.055,989.132,83,951,51,73,74.345,50.368,82.766
5,5079,111.693,60,164,56.079,884.711,55.001,883.431,22,835,68,99,99.445,65.028,102.615
6,2503,84.683,43,120,164.031,885.347,163.270,885.569,129,861,69,49,69.875,45.609,161.797
7,4414,120.904,73,165,85.503,736.047,85.415,736.522,44,698,82,76,92.738,60.602,140.603
8,2052,109.447,39,166,232.062,625.199,232.789,625.636,210,594,44,62,63.216,41.330,104.589
9,1370,101.641,48,156,194.888,646.612,193.248,647.894,171,626,47,41,51.894,33.614,34.429
10,2223,94.473,49,135,240.669,771.466,241.584,770.154,218,738,44,66,65.730,43.061,82.069
11,2401,118.896,46,162,396.138,890.557,396.625,892.128,371,857,49,67,68.122,44.876,110.821
12,4193,98.838,45,155,844.702,802.007,843.065,799.777,806,763,77,78,90.684,58.872,133.600
13,1696,98.519,69,131,984.729,329.989,984.712,329.942,955,311,58,38,57.438,37.595,3.842
14,1547,85.368,38,143,556.097,661.439,558.045,659.654,529,641,53,40,54.919,35.866,22.596
15,1849,101.937,59,146,540.048,572.637,539.940,573.419,520,542,40,61,59.755,39.398,93.119
16,1943,111.091,70,145,782.054,514.637,781.894,514.903,761,483,41,62,61.468,40.247,84.401
17,2168,103.326,47,148,332.754,752.811,332.867,753.097,302,728,61,49,65.022,42.453,27.765
18,1085,105.086,77,147,889.574,428.740,889.322,429.074,868,411,43,35,46.100,29.967,29.460
19,1230,100.523,59,149,619.552,245.998,620.196,245.153,595,229,48,34,48.695,32.161,16.986
20,1085,118.268,80,173,244.090,157.333,243.371,156.440,228,134,31,46,46.124,29.951,99.855
21,2116,97.567,26,147,563.345,763.879,564.616,762.930,542,731,42,65,64.213,41.957,95.602
22,1336,96.743,41,172,424.138,706.674,425.061,708.294,402,685,44,43,51.203,33.222,136.935
23,1403,99.591,59,164,266.124,692.018,264.938,691.090,242,671,47,42,52.328,34.137,141.299
24,1200,105.916,79,148,568.153,48.808,568.092,49.236,544,31,47,35,48.162,31.724,20.903
25,1196,99.195,68,132,951.390,514.612,951.487,514.345,933,492,36,45,48.233,31.572,117.650
26,1924,124.590,86,167,964.782,608.736,964.654,608.520,944,578,41,61,61.174,40.045,101.292
27,1846,89.733,55,124,816.739,585.974,815.828,586.017,796,556,40,60,60.063,39.132,93.955
28,1405,78.218,39,146,742.676,669.207,742.174,667.137,721,640,43,58,65.766,27.201,121.437
29,1058,90.075,54,124,392.094,803.345,391.785,803.696,378,778,28,50,49.476,27.227,92.863
30,2468,127.444,65,176,836.841,250.667,838.032,250.394,808,222,57,57,56.097,56.016,90.605
31,7210,111.475,33,172,945.391,701.815,948.337,701.328,897,653,96,97,95.904,95.722,71.191
32,4688,117.856,44,178,436.069,845.357,436.900,844.140,397,806,78,78,77.421,77.097,11.982
33,5191,101.208,56,150,247.460,919.398,247.493,920.751,206,878,82,82,81.348,81.248,154.553
34,11051,113.735,43,191,204.019,827.312,203.023,825.382,144,768,119,119,118.855,118.385,86.849
35,2024,101.120,65,159,314.055,844.651,314.476,843.874,288,819,51,51,50.855,50.674,116.492
36,2346,100.892,54,179,336.806,516.682,337.045,514.814,309,489,55,55,54.776,54.532,67.668
37,2692,139.205,83,178,266.155,394.666,265.924,394.979,236,365,59,59,58.607,58.484,110.244
38,2973,137.536,106,181,74.217,371.996,73.897,371.815,43,341,62,62,61.631,61.419,106.015
39,2027,124.619,64,177,720.863,101.336,720.763,102.853,695,75,51,52,50.887,50.718,143.685
40,1530,94.827,60,150,738.766,203.337,739.888,202.529,716,181,45,44,44.164,44.110,78.633
41,1632,120.912,62,166,710.718,217.374,709.352,218.134,687,194,46,46,45.739,45.430,130.121
42,1754,111.411,80,157,952.089,51.988,952.422,51.716,928,28,48,48,47.258,47.257,97.667
43,1208,97.320,60,147,156.838,330.025,157.400,329.327,137,310,39,40,39.312,39.125,111.302
44,1259,68.805,38,148,198.067,447.367,198.524,446.184,179,419,38,56,62.295,25.732,60.322
45,610,62.036,32,113,99.385,510.030,99.179,510.598,86,490,26,40,43.549,17.834,62.548
46,244,35.758,13,62,102.898,457.537,103.309,457.359,94,445,17,25,27.785,11.181,60.441
47,1429,53.265,2,110,17.373,526.231,18.958,523.344,0,496,37,62,65.783,27.658,63.150
48,784,74.551,41,129,318.173,272.699,318.382,272.705,295,258,45,29,49.229,20.277,152.321
49,1439,74.149,37,151,464.861,310.638,464.218,309.601,435,289,59,43,67.067,27.319,149.073
50,731,65.233,21,114,565.306,394.132,566.725,392.715,552,371,26,45,47.578,19.562,67.115
51,768,55.435,25,119,413.475,670.759,414.086,670.678,398,648,30,45,49.013,19.951,60.864
52,1863,68.579,25,159,516.148,759.934,513.130,757.727,481,736,69,47,76.328,31.077,150.356
53,1994,94.763,45,155,378.902,774.035,379.362,771.827,354,739,49,70,78.968,32.150,59.496
54,1173,52.003,23,118,718.244,691.312,717.170,690.586,679,671,77,40,84.259,17.725,154.813
55,1106,61.018,28,144,765.523,716.016,768.156,717.150,729,695,73,41,81.227,17.337,152.564
56,762,85.070,53,171,674.299,778.681,674.631,778.572,642,763,63,31,67.530,14.367,156.955
57,499,50.964,28,121,695.400,859.566,696.096,858.468,676,838,38,42,54.473,11.663,49.032
58,1023,61.025,33,104,892.668,740.250,891.805,741.915,873,705,39,70,77.963,16.707,62.328
59,609,61.752,34,131,910.032,558.874,909.644,559.386,894,531,31,54,59.922,12.940,62.430
60,564,53.303,27,135,897.009,160.101,896.384,159.461,870,145,53,29,57.350,12.522,152.669
61,522,59.485,34,149,926.563,335.613,927.512,333.682,912,310,29,50,55.576,11.959,61.426
62,312,63.247,40,162,512.663,68.837,513.276,67.487,501,49,22,39,43.120,9.213,62.788
63,631,59.913,36,149,332.294,58.034,331.480,57.440,305,41,54,33,61.554,13.052,150.277
64,229,69.249,35,179,380.889,199.910,379.462,198.854,365,188,31,23,37.447,7.786,145.152
65,189,71.090,46,154,468.310,249.299,468.364,249.270,453,240,30,18,33.611,7.160,151.827
66,378,69.952,40,183,775.426,279.537,774.476,280.677,760,259,30,40,47.603,10.110,54.000
67,355,102.166,45,166,336.835,230.593,336.861,230.017,325,219,22,22,21.353,21.168,59.126
68,357,71.619,42,126,219.562,202.671,219.354,202.045,208,191,22,22,21.332,21.308,166.210
69,406,75.446,30,150,164.192,170.002,165.386,169.175,152,158,23,23,22.743,22.730,89.265
70,382,134.746,98,180,226.927,256.034,227.007,255.722,215,245,23,22,22.192,21.917,45.751
71,594,94.215,62,132,275.574,356.056,275.770,356.207,261,342,28,28,27.548,27.454,51.257
72,462,99.552,75,144,335.457,379.952,335.437,380.188,323,367,24,25,24.354,24.154,93.277
73,623,98.432,65,146,416.209,535.250,416.324,534.861,401,521,29,28,28.279,28.050,158.870
74,403,82.514,55,115,385.599,471.339,385.382,471.416,374,460,23,23,22.668,22.636,144.128
75,452,101.792,74,131,487.520,519.978,487.429,520.048,475,507,24,25,24.253,23.729,113.621
76,518,96.193,63,129,586.166,611.357,586.087,611.282,573,598,26,26,25.888,25.476,169.755
77,244,100.316,72,143,632.209,544.615,632.529,544.205,623,535,18,18,17.806,17.448,153.000
78,615,91.476,60,139,616.960,685.999,617.360,685.906,602,671,29,29,28.133,27.833,130.864
79,404,89.094,42,156,285.525,638.000,286.271,638.365,274,626,23,23,22.845,22.517,0.000
80,555,118.582,81,167,152.230,452.633,151.942,452.638,138,439,27,27,26.775,26.392,85.539
81,627,101.091,71,156,44.967,299.234,44.406,298.779,30,285,29,28,28.293,28.216,69.466
82,509,130.071,87,175,590.911,440.643,590.754,440.630,577,427,26,26,25.562,25.353,72.988
83,425,121.772,95,163,560.799,475.338,560.625,474.956,549,463,23,24,23.299,23.225,82.807
84,697,95.271,64,162,424.203,338.679,424.167,339.603,409,323,30,31,29.983,29.599,49.932
85,412,71.092,39,126,761.544,416.633,761.029,416.100,749,405,24,23,22.965,22.843,131.330
86,464,104.871,71,145,881.011,306.713,880.937,306.444,868,294,25,25,24.335,24.277,14.858
87,651,106.988,86,144,184.869,289.950,184.793,289.838,170,275,29,29,28.951,28.631,173.856
88,572,88.976,64,114,248.911,197.353,249.054,197.306,235,183,27,28,27.034,26.940,99.510
89,357,86.933,54,136,146.752,198.592,146.484,198.918,136,188,21,21,21.350,21.290,89.677
90,283,96.968,73,121,82.260,41.355,82.377,41.662,72,31,20,20,19.068,18.897,58.182
91,672,79.740,41,121,13.835,94.536,12.969,94.661,0,80,28,29,29.611,28.895,90.129
