 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1431,137.615,87,192,53.943,112.976,53.738,112.927,30,90,48,46,58.740,31.018,136.830
2,1213,118.786,59,175,26.276,19.985,26.730,19.604,3,0,46,40,53.957,28.624,37.714
3,988,120.849,77,166,407.508,81.513,407.477,81.177,386,64,43,35,49.012,25.666,35.038
4,444,123.020,89,159,339.403,302.556,339.336,302.772,324,292,30,21,32.718,17.279,153.578
5,323,118.300,84,149,420.450,350.977,420.164,350.994,408,341,25,20,27.981,14.697,144.869
6,741,98.785,60,139,75.877,163.936,76.507,163.644,55,152,41,24,42.141,22.389,13.732
7,295,109.759,83,135,414.625,191.720,414.575,191.735,405,180,19,23,26.650,14.094,55.857
8,308,89.477,65,115,757.019,190.698,756.880,190.697,747,179,20,24,27.449,14.287,125.805
9,543,139.665,74,187,906.839,750.014,906.065,750.602,890,738,33,24,36.201,19.098,28.615
10,464,115.974,80,161,806.065,849.718,805.983,849.507,792,837,28,26,33.699,17.531,138.841
11,419,106.437,71,143,475.521,150.631,475.307,150.593,464,137,23,28,31.620,16.872,124.539
12,349,93.278,70,140,671.125,370.314,671.054,370.192,659,359,24,23,29.438,15.095,136.412
13,282,129.521,86,171,360.319,928.511,360.279,928.364,348,920,24,17,25.918,13.853,152.212
14,411,103.421,74,138,501.765,55.507,501.360,55.281,489,43,25,25,31.640,16.539,134.840
15,221,118.127,84,162,356.609,493.165,356.530,493.047,347,484,19,18,22.968,12.251,43.579
16,539,103.792,68,141,205.151,257.762,204.873,257.386,189,245,32,26,35.918,19.107,146.839
17,414,170.215,135,202,96.196,439.188,96.228,439.078,83,427,26,24,31.756,16.599,41.743
18,508,54.049,32,83,187.415,17.248,187.775,17.177,156,11,62,13,61.855,10.457,6.629
19,212,53.439,31,90,167.226,137.514,167.215,137.401,147,134,40,7,39.542,6.826,3.128
20,299,63.799,35,102,258.634,137.089,257.280,136.825,240,132,37,11,36.868,10.326,179.877
21,550,66.865,34,112,305.253,59.495,304.658,58.930,278,53,54,13,53.974,12.975,177.835
22,432,63.750,39,111,330.090,86.898,330.905,86.728,306,81,48,12,47.913,11.480,3.559
23,333,57.189,32,119,139.299,216.020,138.277,215.679,118,211,42,10,41.744,10.157,178.480
24,1138,186.898,152,222,203.164,995.025,203.423,994.920,184,976,38,39,38.071,38.059,129.737
25,1757,177.589,132,223,119.620,791.506,119.147,791.466,96,768,47,47,47.302,47.294,156.226
26,1682,180.343,134,228,377.127,735.117,376.942,734.680,354,712,46,46,46.388,46.166,133.487
27,743,177.629,150,211,11.216,891.500,11.352,891.502,0,874,25,35,36.149,26.170,90.000
28,995,174.362,135,217,481.709,1012.836,481.826,1012.923,458,998,48,26,47.007,26.951,0.431
29,821,167.825,131,200,487.254,239.051,487.388,239.037,471,223,32,32,32.378,32.285,119.247
30,1248,152.425,92,199,232.997,167.885,232.609,168.361,213,148,40,40,39.874,39.850,92.092
31,1717,89.340,7,169,123.456,51.319,123.384,55.108,100,28,47,47,46.761,46.752,55.177
32,1831,145.025,74,211,770.301,39.070,771.082,39.322,746,15,48,48,48.305,48.262,45.162
33,1652,156.114,111,221,531.997,290.868,532.135,290.757,509,268,46,46,45.891,45.835,49.084
34,930,167.554,121,201,696.335,149.149,696.517,149.393,679,132,34,34,34.478,34.344,47.344
35,976,166.181,124,220,512.805,578.613,512.469,578.651,495,561,35,35,35.290,35.213,158.142
36,1473,152.238,61,215,679.696,598.637,679.647,597.278,658,577,43,43,43.345,43.268,162.556
37,1555,163.955,123,223,730.294,857.185,730.194,857.077,708,835,44,44,44.525,44.467,85.730
38,1151,177.273,124,229,707.311,891.114,707.737,891.281,688,872,38,38,38.330,38.233,175.384
39,339,84.071,52,142,442.783,696.028,442.594,696.060,429,688,27,17,27.279,15.823,172.010
