 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1237,95.611,49,140,598.939,844.006,599.251,844.093,573,828,51,32,51.192,30.767,9.335
2,1937,107.508,70,156,661.611,814.019,661.883,813.789,629,794,65,40,65.382,37.721,13.318
3,1363,85.775,31,133,218.135,808.008,218.577,808.459,193,788,50,40,55.139,31.474,32.718
4,731,84.130,57,116,80.023,790.300,80.218,790.157,64,772,31,36,41.099,22.646,53.836
5,754,83.357,57,112,367.545,840.638,367.541,840.534,346,828,42,25,41.730,23.006,9.578
6,563,92.551,63,119,878.228,858.029,878.238,858.125,862,844,31,28,35.691,20.084,39.089
7,303,86.152,49,119,711.424,723.454,710.861,723.863,700,713,22,21,26.391,14.619,41.375
8,524,75.252,36,110,732.260,731.382,732.241,731.691,717,717,30,28,34.987,19.069,40.693
9,655,76.896,37,110,432.898,748.567,432.782,747.940,415,735,35,27,38.756,21.519,148.934
10,1535,82.666,40,123,770.232,837.404,770.747,837.042,744,814,51,46,59.366,32.922,141.121
11,961,82.662,43,125,326.209,704.020,325.086,704.342,305,686,42,35,47.053,26.005,34.509
12,710,92.025,33,139,283.038,729.227,284.093,729.285,263,716,39,26,40.445,22.351,23.255
13,780,79.469,41,117,371.450,733.203,371.956,733.022,357,713,29,40,42.382,23.433,117.858
14,492,99.650,36,132,910.955,822.646,910.486,823.000,894,812,33,21,33.666,18.607,19.090
15,641,77.590,38,109,1008.751,730.803,1008.241,730.816,992,715,32,31,38.570,21.160,43.903
16,777,81.873,52,112,743.569,850.005,742.776,850.030,724,834,38,31,42.300,23.388,147.636
17,211,72.412,42,89,164.846,633.206,164.711,633.067,156,623,17,20,22.229,12.086,122.619
18,791,72.713,30,101,89.447,700.602,89.261,699.578,76,679,26,43,42.724,23.573,104.352
19,827,68.560,33,102,540.005,805.909,540.333,806.733,520,789,39,33,43.752,24.067,143.765
20,887,55.760,11,101,234.789,738.036,233.751,736.546,218,717,33,41,45.307,24.927,122.654
21,318,79.937,58,103,125.591,782.626,125.624,782.536,111,774,28,16,27.386,14.785,10.483
22,414,89.976,56,117,973.548,838.599,973.655,838.862,959,827,28,23,30.959,17.027,149.364
23,413,97.172,64,125,602.217,736.590,602.186,736.713,586,728,31,17,30.763,17.093,7.279
24,267,130.157,102,163,19.440,23.388,19.279,23.325,10,14,18,19,19.042,17.852,58.727
25,445,135.402,105,162,215.538,57.979,215.585,57.770,203,46,24,24,24.444,23.179,130.195
26,634,130.711,104,158,25.024,94.724,25.119,94.753,10,80,29,29,29.125,27.717,130.765
27,555,136.670,111,163,401.516,92.005,401.445,91.848,388,78,26,28,27.404,25.787,113.468
28,442,139.226,115,168,730.914,68.658,730.944,68.665,718,56,25,24,24.358,23.105,151.984
29,526,135.662,102,163,477.568,142.601,477.477,142.751,464,129,26,27,26.723,25.062,128.703
30,444,143.993,118,172,571.482,183.243,571.649,183.336,559,171,24,24,24.578,23.001,133.891
31,517,149.135,123,184,520.711,215.817,521.032,215.817,507,202,26,27,26.462,24.876,124.438
32,484,140.610,114,176,507.587,239.959,507.466,240.086,494,227,26,25,25.578,24.092,146.191
33,381,134.559,113,163,367.558,296.731,367.548,296.754,356,285,22,23,22.653,21.415,127.737
34,343,123.152,98,152,224.188,258.762,224.230,258.744,213,248,22,21,21.698,20.127,10.143
35,534,141.004,111,166,236.260,218.676,236.227,218.768,222,206,27,25,26.691,25.473,6.730
36,582,107.069,48,144,287.550,442.000,288.610,442.394,273,428,28,27,27.958,26.505,3.555
37,703,95.186,31,136,330.853,575.322,331.267,573.809,315,560,31,30,30.864,29.001,162.787
38,548,126.128,101,156,568.217,482.650,568.280,482.567,554,469,28,27,27.096,25.750,167.855
39,4321,96.685,33,157,518.117,770.010,517.650,769.836,479,733,77,73,76.369,72.041,6.379
40,356,119.174,57,157,304.219,319.963,304.432,320.710,293,309,22,21,22.198,20.419,167.883
41,1018,114.966,73,156,318.905,634.687,319.128,634.110,300,617,37,35,37.015,35.017,22.560
42,757,112.547,85,147,636.245,709.301,636.400,709.131,619,694,33,30,32.055,30.069,5.017
43,605,123.749,39,163,658.176,663.376,657.467,664.394,644,649,28,28,28.627,26.909,34.840
44,678,48.193,15,84,121.481,752.109,120.841,753.268,108,730,26,44,46.765,18.460,66.269
