 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,10935,126.574,49,198,635.101,576.338,633.195,576.875,574,517,122,118,132.073,105.418,139.409
2,5027,94.888,35,148,92.786,819.66,92.952,819.312,49,781,87,77,89.265,71.703,28.479
3,2944,113.123,50,163,182.78,582.82,182.775,582.354,155,542,55,81,85.595,43.792,115.389
4,5878,98.204,20,163,44.659,429.928,44.496,427.626,0,391,95,79,104.307,71.75,26.584
5,1217,82.834,45,117,883.397,330.211,882.934,330.084,864,308,38,44,46.666,33.204,125.387
6,1413,80.701,37,122,660.079,737.316,660.2,739.044,643,709,34,56,56.804,31.672,103.05
7,1470,83.61,36,132,408.104,849.812,406.221,849.719,378,833,59,33,58.2,32.159,0.127
8,1479,67.811,8,116,291.477,839.314,293.373,840.123,263,820,56,38,58.458,32.213,155.809
9,13820,123.817,36,188,399.437,447.349,400.584,446.855,328,385,143,124,142.525,123.46,0.624
10,1961,117.542,68,169,486.591,556.019,486.944,556.038,461,531,51,50,50.039,49.898,179.199
11,1578,98.06,59,145,867.615,508.847,867.346,509.148,844,486,46,45,47.328,42.452,38.761
12,23232,109.383,0,184,422.374,163.37,428.343,164.108,335,77,174,172,182.14,162.402,41.663
13,2797,41.828,0,109,727.191,427.252,725.889,428.291,665,411,123,32,123.145,28.919,173.206
14,1335,32.978,2,133,350.057,940.839,350.188,939.103,338,902,23,78,77.93,21.812,85.67
15,732,67.161,35,121,153.182,760.393,153.2,760.788,138,743,29,34,33.423,27.885,104.897
16,905,41.796,0,132,198.77,731.017,198.212,729.749,176,715,45,31,49.169,23.435,153.151
17,1818,36.022,0,106,231.527,822.771,225.503,819.015,197,803,68,39,69.645,33.237,162.792
18,488,50.246,11,123,128.547,931.363,127.989,931.263,111,920,34,22,36.025,17.247,24.986
19,826,69.367,36,131,182.104,943.321,180.669,944.368,162,926,39,35,46.556,22.59,40.19
20,794,85.045,37,149,172.059,449.236,171.436,448.435,158,427,28,44,46.034,21.961,114.536
21,1039,42.609,0,114,283.198,259.978,283.548,260.09,258,244,50,31,52.506,25.195,21.691
22,327,9.379,0,56,342.157,212.482,344.52,211.176,332,199,20,26,29.538,14.095,56.662
23,775,33.972,2,105,204.525,68.017,203.919,69.514,187,53,35,29,34.856,28.309,168.793
24,965,71.823,30,141,36.668,340.828,37.426,341.353,18,323,36,35,38.725,31.728,137.381
25,472,45.191,8,118,40.195,102.212,39.779,102.909,28,88,23,28,27.023,22.239,87.708
26,560,32.188,0,112,39.879,479.534,39.163,482.748,26,465,27,29,29.431,24.227,61.327
27,563,69.604,12,127,16.365,694.129,16.474,693.799,2,681,28,26,29.488,24.309,142.869
28,353,79.062,41,132,559.163,936.458,559.595,935.703,548,925,21,23,23.399,19.209,117.313
29,683,90.312,25,189,635.225,471.967,635.684,473.369,621,455,28,33,32.454,26.795,100.572
30,433,97.173,57,161,498.595,376.645,499.161,376.529,486,365,25,23,25.888,21.296,35.299
31,2683,56.919,0,167,925.143,843.469,923.447,847.906,898,811,54,65,64.177,53.229,103.28
32,928,63.89,27,155,876.652,952.988,877.658,954.706,859,935,34,36,37.822,31.24,126.346
33,933,71.835,38,136,1009.205,954.665,1008.479,953.778,992,936,32,37,38.09,31.188,61.543
34,354,92.229,42,151,539.189,774.014,540.246,774.177,526,764,25,19,24.556,18.355,171.387
35,324,83.895,34,169,879.12,699.978,879.077,698.856,869,688,19,23,23.149,17.821,109.816
36,639,94.161,54,138,791.708,621.477,791.082,621.651,776,607,30,29,32.474,25.054,138.754
37,363,88.705,57,131,972.704,73.032,972.737,73.049,961,61,22,23,24.491,18.872,48.53
38,585,124.299,59,184,894.22,103.958,894.611,103.808,879,90,29,28,31.234,23.847,140.325
39,459,102.612,62,164,938.703,404.979,938.867,405.425,926,392,24,26,27.958,20.903,124.649
40,835,95.186,36,163,390.718,465.979,390.717,465.871,371,451,38,29,37.327,28.482,5.723
41,1634,86.307,55,157,524.133,320.037,523.322,319.759,499,297,49,45,52.466,39.654,143.979
42,2681,90.147,37,170,488.149,998.021,489.952,997.739,455,971,66,53,67.156,50.83,16.776
43,2905,77.173,20,151,23.578,765.725,25.388,763.906,0,730,53,67,69.283,53.386,109.815
44,635,83.635,39,154,453.919,786.393,455.283,786.941,440,770,27,32,32.572,24.822,65.596
