 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,5179,118.229,47,190,214.135,300.022,215.841,300.079,169,258,90,84,105.155,62.709,139.874
2,2101,108.546,29,182,189.072,416.553,189.127,415.683,163,386,51,60,67.001,39.926,55.555
3,3115,95.995,37,162,320.134,446.933,320.626,446.624,289,413,62,68,74.643,53.135,126.702
4,9125,134.595,54,214,546.685,276.377,545.696,277.357,488,224,117,104,127.437,91.169,34.166
5,9335,149.38,62,231,683.343,347.039,682.823,347.548,636,276,94,142,150.364,79.046,113.021
6,3172,97.643,0,163,539.364,88.011,542.486,90.338,508,49,62,78,87.531,46.14,123.873
7,3500,139.592,70,216,638.411,64.803,639.137,64.169,599,33,78,63,84.023,53.037,30.234
8,8331,108.185,27,188,967.653,477.684,967.461,477.884,906,430,118,94,127.418,83.248,25.537
9,16421,145.326,15,233,941.286,599.357,945.632,598.351,852,527,172,143,200.318,104.374,33.919
10,8033,107.78,31,177,169.333,810.373,169.377,809.993,117,755,104,110,125.738,81.343,48.901
11,12857,99.469,11,177,344.715,648.77,340.093,652.97,249,591,191,114,206.189,79.393,25.17
12,4681,87.827,14,147,537.116,612.996,539.745,613.793,498,572,77,82,90.828,65.619,129.355
13,5762,110.568,38,176,902.109,250.981,903.952,250.183,853,209,97,84,107.608,68.177,35.498
14,2327,68.296,23,114,723.365,237.507,722.664,239.935,699,204,48,66,68.59,43.196,66.987
15,4079,91.464,32,151,441.132,731.323,440.446,731.314,397,699,87,64,90.617,57.313,157.78
16,1415,61.066,22,97,366.395,925.978,365.423,927.464,344,904,44,44,50.222,35.874,47.095
17,2420,52.274,0,125,896.314,901.398,895.993,901.175,882,834,28,135,135.396,22.757,83.721
18,1472,47.058,0,142,492.418,873.544,494.038,871.441,474,846,36,55,56.122,33.396,77.86
19,2957,62.877,10,134,201.323,601.817,201.127,601.079,185,539,32,125,123.698,30.437,87.498
20,3990,42.019,0,150,272.06,951.29,273.354,945.398,255,871,33,153,156.036,32.558,89
21,635,60.724,25,91,44.213,816.347,44.27,816.447,29,802,29,29,28.671,28.2,53.243
22,3127,137.802,51,230,865.79,99.994,866.807,99.662,834,68,63,64,63.295,62.903,161.45
23,1763,153.854,106,206,320.442,95.438,320.878,95.282,296,71,48,48,47.388,47.369,83.548
24,1245,160.135,89,222,360.468,114.001,361.323,114.328,340,94,40,40,39.956,39.673,109.234
25,1946,162.835,97,237,374.094,16.442,373.699,15.723,342,0,63,38,62.974,39.345,179.815
26,260,57.588,22,134,323.196,43.6,323.928,43.913,312,35,22,17,23.018,14.382,150.454
27,442,43,7,96,408.235,207.367,407.939,206.735,393,198,30,19,29.921,18.809,0.399
28,979,85.936,36,151,617.157,172.678,617.223,173.088,600,153,34,38,38.924,32.024,119.09
29,800,55.89,19,110,752.469,147.387,753.147,147.43,736,128,32,38,41.653,24.454,124.882
30,1018,59.286,7,156,635.176,485,636.277,485.474,611,470,47,29,46.863,27.658,168.982
31,311,53.267,26,109,726.207,683.754,725.276,684.342,714,674,24,19,25.907,15.285,31.656
32,509,82.383,38,163,862.92,758.979,862.836,759.597,848,745,29,27,33.276,19.476,139.731
33,297,79.185,49,142,626.567,662.719,626.669,661.857,618,650,16,25,25.562,14.794,76.548
34,345,45.716,0,114,746.868,768.474,748.25,768.847,734,758,25,20,27.417,16.022,29.506
35,391,73.691,28,141,568.497,834.863,567.742,834.77,558,821,20,28,29.134,17.088,112.478
36,516,51.415,2,120,711.238,878.99,713.889,879.493,694,868,33,21,33.358,19.695,166.14
37,590,66.346,15,138,959.617,752.99,958.585,753.285,942,740,34,25,35.847,20.956,26.361
38,560,54.939,17,129,1013.227,804.202,1012.401,802.765,999,790,25,31,31.21,22.846,123.665
39,441,79.193,48,125,614.573,1000.409,614.783,1000.07,599,989,30,22,30.746,18.263,24.483
40,601,77.379,43,124,445.766,880.014,445.356,879.938,435,862,21,36,36.105,21.194,87.749
41,312,36.24,0,76,387.468,810.087,388.149,809.236,378,797,18,25,25.675,15.472,68.244
42,771,61.032,22,118,340.155,799.351,339.733,799.124,324,781,31,36,40.713,24.112,55.274
43,579,61.242,13,151,137.873,960.989,139.567,962.135,123,946,29,30,35.466,20.786,134.393
44,400,75.828,39,145,210.525,932.648,210.321,932.444,200,918,20,29,29.452,17.292,112.771
45,249,53.145,23,100,67.769,563.058,68.222,563.04,60,551,15,23,23.083,13.735,71.65
46,366,81.331,44,143,426.792,476.495,426.793,477.031,412,468,29,17,27.819,16.751,178.357
47,156,79.833,42,138,788.603,339.34,789.006,339.863,780,332,17,14,18.228,10.897,148.952
48,164,75.488,31,136,826.134,390.36,826.523,391.068,816,384,19,12,18.75,11.137,171.187
49,265,116.925,86,164,389.206,163.436,389.075,163.588,380,152,18,22,23.874,14.133,123.628
50,417,92.803,43,154,43.502,75.546,42.802,75.686,29,65,28,21,29.97,17.716,28.16
51,448,124.967,73,198,846.129,888.955,846.334,887.849,836,873,20,31,31.004,18.398,105.414
52,313,114.968,64,185,649.439,806.851,649.782,806.865,639,795,20,23,25.705,15.504,127.938
53,334,81.668,49,132,599.129,929.335,599.149,930.016,590,915,17,28,26.894,15.812,97.253
54,2163,90.301,34,163,744.16,39.959,746.866,41.193,719,8,50,63,68.318,40.312,120.767
55,13917,122.016,25,218,125.218,103.223,122.025,102.625,28,44,193,118,209.163,84.717,25.336
