 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,2440,68.200,44,92,251.121,78.050,251.470,77.539,229,42,44,71,70.385,44.139,90.011
2,1488,79.698,60,111,223.606,254.016,223.878,253.886,195,236,56,35,55.437,34.175,173.751
3,1718,65.541,46,85,203.696,500.424,203.688,500.100,185,465,36,71,73.110,29.920,106.854
4,3261,56.895,16,90,1181.721,843.240,1179.563,839.382,1151,797,61,92,101.538,40.892,118.869
5,4071,84.595,55,122,1452.626,878.583,1452.207,879.025,1398,850,109,57,112.873,45.922,18.918
6,7856,86.700,44,141,62.753,1042.278,66.354,1042.407,13,982,99,121,136.887,73.072,124.057
7,4079,57.100,36,81,788.380,988.769,788.525,988.299,742,956,92,65,98.425,52.767,25.646
8,3430,55.225,35,82,1662.379,1036.208,1662.944,1036.669,1633,993,58,86,90.381,48.320,114.095
9,2694,54.520,34,79,1420.648,1085.192,1420.340,1084.613,1380,1063,80,44,79.973,42.891,6.245
10,4733,80.844,17,118,767.764,1141.313,765.733,1141.082,719,1105,97,72,106.239,56.724,28.587
11,6564,71.838,43,101,507.744,1187.375,507.692,1187.530,446,1150,122,74,124.992,66.865,16.650
12,1890,63.531,35,87,309.089,1126.940,308.960,1127.131,290,1093,38,67,67.123,35.851,100.522
13,15012,95.499,37,140,208.544,1273.962,207.230,1272.946,135,1194,146,159,189.283,100.980,130.584
14,13196,52.258,15,92,979.587,1313.013,973.476,1312.881,891,1265,177,96,177.101,94.870,176.041
15,4465,47.065,26,83,1257.144,1227.501,1258.071,1227.176,1205,1199,103,57,102.948,55.222,8.349
16,4812,58.021,36,80,1614.128,1254.494,1614.736,1254.595,1562,1222,104,64,107.303,57.099,162.272
17,5615,73.469,23,110,1900.584,1404.495,1901.758,1406.250,1857,1354,86,101,115.447,61.927,126.676
18,10964,82.088,46,117,1980.030,1531.991,1979.354,1531.812,1924,1459,112,146,161.719,86.322,121.298
19,8544,86.191,53,114,1755.139,1583.033,1754.727,1583.570,1685,1541,140,83,142.813,76.173,14.538
20,8206,91.982,42,133,1633.558,1711.965,1632.136,1713.903,1582,1651,102,122,140.139,74.556,125.439
21,5192,84.596,50,117,1609.617,1373.006,1609.521,1372.263,1554,1343,111,60,111.001,59.555,177.093
22,8527,99.071,52,136,1539.045,1476.492,1538.302,1476.935,1490,1412,98,129,142.356,76.266,120.338
23,7255,72.553,43,108,1378.527,1392.491,1377.723,1391.661,1341,1327,75,130,131.501,70.246,78.177
24,3584,70.042,47,92,1278.116,1395.460,1277.992,1395.321,1232,1369,91,53,92.087,49.554,13.387
25,2806,67.734,49,102,1120.649,1424.027,1120.190,1423.988,1079,1401,82,45,82.188,43.470,8.251
26,5673,83.680,53,116,1068.116,1508.063,1067.974,1507.894,1016,1466,103,84,116.212,62.154,145.243
27,8245,68.391,35,99,774.028,1600.996,773.507,1601.301,735,1531,78,139,139.876,75.051,100.001
28,6697,88.697,42,121,511.612,1504.990,510.684,1506.448,451,1465,120,79,126.465,67.425,21.944
29,4036,166.631,103,215,541.538,1921.997,540.835,1922.913,513,1873,56,97,97.851,52.517,77.440
30,2792,55.351,24,80,696.074,754.927,695.862,754.862,671,715,49,80,81.476,43.631,107.467
31,10330,88.512,31,133,373.529,149.008,371.882,150.519,316,91,114,116,116.638,112.764,117.575
32,3070,69.997,50,95,561.152,200.022,561.508,199.849,529,168,63,63,63.634,61.427,135.183
33,2717,82.060,56,113,927.157,264.471,927.299,263.713,898,234,58,60,59.905,57.748,116.508
34,3780,105.548,81,127,1054.700,257.010,1054.677,256.758,1019,222,70,70,70.565,68.204,134.709
35,4909,101.512,77,129,670.554,510.532,670.318,510.541,630,470,80,80,80.523,77.621,134.998
36,2799,72.371,52,94,565.671,606.476,565.737,606.439,535,576,61,60,60.653,58.757,146.274
37,3705,76.983,54,105,1599.124,738.519,1599.060,738.155,1564,704,69,69,70.031,67.361,132.845
38,2866,80.344,44,121,1828.643,703.970,1830.553,705.012,1798,673,61,61,61.406,59.425,136.293
39,2075,68.896,46,91,1842.058,534.511,1842.111,533.715,1816,508,51,53,52.362,50.456,100.976
40,2000,66.165,43,90,1650.065,634.995,1650.063,634.330,1625,609,50,52,51.307,49.632,114.388
41,12854,85.335,36,127,475.592,985.979,476.487,989.389,412,921,127,130,130.118,125.780,118.882
42,2537,51.357,34,76,343.622,995.009,343.574,995.250,315,966,57,58,57.707,55.976,106.590
43,11530,94.433,24,152,156.066,1446.488,154.725,1438.785,95,1386,122,121,123.228,119.132,143.314
44,6317,59.601,29,84,733.581,1453.981,734.831,1452.881,688,1409,90,90,91.516,87.887,131.955
45,4422,46.775,16,79,1996.606,1275.511,1998.945,1277.306,1959,1237,74,77,76.412,73.683,96.555
46,9572,55.970,34,81,1221.040,1599.483,1221.274,1598.781,1165,1544,111,111,112.319,108.507,41.847
47,19686,77.961,31,117,405.056,1690.993,406.520,1693.683,325,1611,159,159,160.954,155.728,132.347
48,4000,57.064,28,89,355.659,597.509,354.775,599.117,319,561,72,72,72.545,70.204,142.474
49,3992,36.217,12,79,1494.139,671.049,1494.943,672.481,1458,634,71,73,72.573,70.036,113.087
50,7455,54.853,24,86,128.928,1560.662,127.201,1564.230,55,1462,148,197,242.620,39.123,53.589
51,2902,26.876,5,72,301.738,1253.063,300.752,1249.110,254,1217,95,72,114.158,32.367,144.682
52,1738,61.728,33,101,556.566,1322.121,555.473,1324.037,529,1285,55,74,88.679,24.954,54.774
53,2427,50.611,11,93,817.671,1190.050,821.403,1193.469,770,1162,94,55,104.402,29.599,152.729
54,3373,46.012,16,89,1075.522,1004.099,1076.755,1002.909,1038,952,75,104,123.014,34.912,55.835
55,3347,69.757,41,111,1414.686,1287.541,1415.890,1287.270,1361,1252,107,70,122.356,34.829,149.228
56,5502,43.051,19,79,1471.702,1535.034,1469.980,1535.112,1405,1486,132,98,157.061,44.603,145.077
