 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,4937,157.720,107,217,628.119,294.010,628.445,294.910,578,260,99,68,102.566,61.287,20.450
2,6708,84.202,47,121,1922.083,145.981,1921.910,146.508,1870,99,103,94,119.099,71.713,140.579
3,7507,95.713,33,146,1782.145,58.706,1782.113,60.512,1742,0,80,121,125.012,76.458,103.376
4,8466,93.864,46,140,1978.058,359.999,1976.996,360.081,1911,318,133,83,134.348,80.234,10.261
5,6498,68.327,27,112,1356.162,1769.993,1356.496,1770.244,1298,1731,115,77,117.411,70.466,17.811
6,3329,79.058,37,113,654.094,1966.031,654.570,1966.182,628,1924,51,84,84.247,50.312,87.297
7,3944,82.379,51,118,1102.189,1326.007,1101.795,1325.839,1058,1295,87,62,91.260,55.026,156.767
8,6708,88.169,36,175,282.083,785.981,282.638,786.675,230,739,103,94,119.099,71.713,140.579
9,5424,95.574,51,191,312.081,179.963,314.310,182.088,274,129,75,101,107.268,64.381,116.242
10,4702,84.069,43,143,998.080,79.957,998.055,79.811,959,36,77,88,99.811,59.981,126.655
11,3456,74.567,40,118,1482.090,649.947,1481.817,649.119,1444,616,75,67,85.328,51.569,142.640
12,3208,78.327,38,158,1944.141,1017.956,1942.778,1017.216,1908,985,72,65,82.564,49.471,141.283
13,6790,95.170,49,171,1540.105,1920.010,1541.013,1917.394,1487,1873,106,93,119.825,72.150,36.755
14,2586,152.604,109,200,1028.135,618.020,1027.660,618.146,999,589,58,58,57.382,57.380,81.663
15,4642,160.499,112,216,1134.099,866.008,1134.281,865.875,1095,827,77,77,76.879,76.878,85.288
16,3280,150.583,113,194,1056.132,1164.000,1056.127,1164.410,1023,1131,65,65,64.625,64.623,89.868
17,4162,155.090,108,220,1714.127,1400.007,1714.319,1400.087,1677,1363,73,73,72.797,72.795,86.856
18,1832,157.163,123,195,1990.111,1380.000,1990.146,1380.003,1965,1355,49,49,48.298,48.296,90.000
19,11185,145.048,94,196,1806.097,1682.001,1806.306,1681.752,1746,1622,120,120,119.347,119.326,163.536
20,5552,144.821,83,198,1610.062,1790.009,1610.462,1789.541,1567,1747,85,85,84.078,84.077,82.011
21,12268,147.947,98,205,1704.103,1890.007,1705.279,1889.004,1641,1827,125,125,124.981,124.980,85.999
22,2828,153.279,114,199,780.172,1798.000,780.069,1797.876,750,1768,60,60,60.008,60.004,90.000
23,5656,147.525,75,204,812.081,1864.006,811.638,1863.889,769,1821,86,86,84.862,84.861,85.639
24,4618,151.162,106,216,410.097,1772.004,410.636,1771.411,371,1733,77,77,76.680,76.679,87.827
25,7338,167.485,104,230,430.083,935.999,431.413,936.592,381,887,97,97,96.660,96.659,90.843
26,14536,157.125,70,218,858.085,500.019,860.635,499.471,790,432,136,136,136.059,136.028,145.188
27,6848,139.442,54,200,1516.057,172.004,1516.771,171.278,1469,125,94,94,93.377,93.376,86.070
28,10930,141.692,87,195,1428.024,168.002,1426.783,167.536,1368,108,119,119,117.985,117.952,146.132
29,4524,147.364,99,201,1520.091,278.000,1519.348,278.106,1482,240,76,76,75.896,75.895,90.000
30,5732,148.523,101,214,1848.060,866.006,1848.138,865.178,1805,823,86,86,85.430,85.429,84.655
31,9820,143.400,96,196,1864.076,936.006,1863.489,936.148,1807,879,113,113,111.818,111.818,85.472
32,12068,160.223,110,218,606.063,965.992,605.735,966.468,543,903,125,125,123.987,123.928,144.708
33,8128,119.751,45,196,310.068,529.997,312.527,533.297,259,479,102,102,101.730,101.729,92.291
34,6323,81.141,21,192,532.157,1602.013,532.333,1601.664,473,1559,117,86,130.999,61.456,148.679
35,4127,88.349,43,185,498.134,695.986,495.714,694.195,453,658,90,76,105.674,49.725,142.452
36,2238,77.568,34,185,1174.123,1043.952,1172.058,1040.985,1147,1010,54,68,77.614,36.714,124.838
37,2427,60.410,10,139,978.135,910.001,976.298,907.256,939,887,78,46,80.743,38.272,159.634
38,4278,98.622,39,206,832.087,1335.956,829.554,1332.858,791,1292,82,87,107.486,50.676,132.034
39,1565,68.555,40,117,324.177,1501.940,324.284,1501.786,297,1477,53,50,65.326,30.503,136.970
40,3236,72.686,30,173,1172.110,1681.951,1169.084,1680.696,1133,1647,78,69,93.459,44.086,140.483
41,3000,68.565,18,123,1084.108,495.934,1083.227,496.419,1048,460,71,71,90.321,42.290,134.999
42,2325,78.586,35,192,830.077,110.012,827.806,107.221,797,80,65,60,79.462,37.254,139.393
43,1266,88.190,43,148,1480.066,67.998,1481.621,67.193,1460,48,40,40,40.149,40.148,92.045
44,1552,83.442,46,127,1586.066,17.273,1584.890,17.570,1561,0,49,38,49.676,39.779,179.095
45,3686,72.541,38,119,1168.138,134.002,1167.203,133.329,1133,99,69,69,68.508,68.506,89.322
46,4244,86.776,45,148,962.158,250.000,962.758,249.586,925,213,74,74,73.511,73.508,90.000
47,4244,86.776,45,148,962.158,250.000,962.758,249.586,925,213,74,74,73.511,73.508,90.000
48,1568,70.527,38,126,928.040,354.001,929.441,353.956,905,331,45,45,44.682,44.681,88.152
49,4070,84.228,45,125,546.153,427.992,546.226,427.701,509,391,73,73,71.988,71.985,93.134
50,4106,83.775,25,149,592.130,568.009,590.814,567.085,555,531,73,73,72.305,72.303,86.150
51,5138,127.744,28,207,766.052,641.999,768.253,639.257,725,601,81,81,80.882,80.882,91.297
52,4958,93.182,18,194,958.068,782.006,958.932,781.277,918,742,80,80,79.453,79.452,84.608
53,1068,65.172,34,112,1204.191,550.000,1204.344,549.789,1185,531,37,37,36.880,36.872,90.000
54,4642,81.193,36,181,1326.099,485.992,1328.124,484.837,1287,447,77,77,76.879,76.878,94.712
55,4016,80.740,35,140,1428.138,371.998,1427.106,371.273,1392,336,72,72,71.509,71.506,90.824
56,2178,75.167,31,149,1548.151,518.000,1549.653,518.847,1521,491,53,53,52.662,52.659,89.825
57,2840,74.078,25,122,1734.172,415.987,1734.594,415.606,1704,386,60,60,60.135,60.131,94.453
58,2246,59.354,9,121,1810.145,522.021,1808.661,522.836,1783,495,54,54,53.478,53.475,81.796
59,1698,67.994,25,130,1776.096,627.996,1776.277,625.738,1752,604,47,47,46.498,46.496,92.108
60,10694,93.413,10,210,1678.023,706.003,1675.121,709.231,1619,647,117,117,116.703,116.672,142.842
61,2134,106.699,59,175,1502.115,928.000,1502.692,928.660,1476,902,52,52,52.127,52.125,90.000
62,7800,116.823,48,178,1544.122,794.000,1543.358,793.319,1494,744,100,100,99.656,99.655,90.000
63,1556,74.064,29,151,1400.078,1246.002,1402.134,1246.445,1377,1223,45,45,44.511,44.510,88.580
64,3820,107.160,59,157,1368.193,1334.004,1368.186,1335.218,1333,1299,70,70,69.743,69.739,88.913
65,2838,73.016,31,133,1346.185,1442.001,1347.802,1440.793,1315,1411,61,61,60.114,60.110,89.563
66,1698,65.498,35,109,1296.096,1124.004,1297.106,1123.815,1272,1100,47,47,46.498,46.496,87.892
67,2868,80.273,44,132,1440.173,1162.002,1439.301,1160.908,1409,1131,61,61,60.431,60.427,89.307
68,3310,56.442,13,132,1690.143,1251.976,1691.942,1249.597,1657,1219,66,66,64.920,64.917,99.697
69,3628,89.427,16,185,1810.174,1272.011,1812.377,1271.734,1776,1238,68,68,67.967,67.964,86.379
70,2432,62.689,17,119,1946.093,1250.008,1946.157,1249.543,1918,1222,56,56,55.647,55.646,85.215
71,2586,112.048,44,193,1880.135,1474.020,1879.178,1472.172,1851,1445,58,58,57.382,57.380,81.663
72,3696,77.437,32,140,1954.193,1530.000,1954.408,1531.475,1919,1495,70,70,68.602,68.597,90.000
73,3272,72.646,34,113,1940.161,1770.004,1940.034,1770.561,1907,1737,65,65,64.546,64.543,88.475
74,1830,89.821,38,157,1596.017,1438.006,1598.030,1437.300,1571,1413,49,49,48.270,48.270,71.030
75,1056,74.626,43,116,1582.188,1499.997,1582.738,1499.049,1563,1481,37,37,36.672,36.664,90.864
76,5538,100.044,35,188,1446.070,1642.004,1447.417,1643.739,1403,1599,85,85,83.972,83.971,87.026
77,3272,120.370,50,196,1216.161,1830.004,1215.131,1830.393,1183,1797,65,65,64.546,64.543,88.475
78,2178,76.371,36,133,1120.151,1886.000,1118.985,1884.944,1093,1859,53,53,52.662,52.659,90.175
79,1534,76.648,41,117,1006.059,1817.992,1006.419,1817.626,983,1795,45,45,44.195,44.194,97.512
80,1218,60.349,32,117,968.112,1610.002,967.809,1610.515,948,1590,40,40,39.382,39.379,89.164
81,1844,64.311,30,107,976.144,1520.017,976.715,1520.220,951,1495,49,49,48.456,48.453,83.328
82,1712,101.210,45,159,948.037,1402.000,947.639,1401.213,924,1378,47,47,46.688,46.688,90.000
83,1632,75.907,34,124,820.156,1132.000,819.659,1132.477,797,1109,46,46,45.586,45.582,90.000
84,1556,61.594,30,106,712.078,1058.002,712.542,1056.526,689,1035,45,45,44.511,44.510,88.580
85,1936,93.752,54,129,730.108,872.003,730.068,871.637,705,847,50,50,49.650,49.648,88.363
86,1556,86.165,41,142,624.078,817.998,624.403,818.242,601,795,45,45,44.511,44.510,91.420
87,2624,132.314,93,185,564.147,844.005,563.368,844.123,535,815,58,58,57.803,57.800,88.219
88,1832,118.348,68,188,470.111,792.000,469.315,793.167,445,767,49,49,48.298,48.296,90.000
89,1120,115.922,63,191,468.180,585.989,467.682,585.616,449,567,38,38,37.766,37.759,93.400
90,1632,103.206,51,163,388.156,344.000,387.942,342.998,365,321,46,46,45.586,45.582,90.000
91,2004,46.685,4,151,544.035,155.993,540.622,152.262,518,130,51,51,50.513,50.513,101.310
92,1832,79.872,49,132,314.111,48.000,313.186,48.366,289,23,49,49,48.298,48.296,90.000
93,2760,80.625,39,122,102.142,39.997,102.626,40.641,72,10,60,60,59.282,59.279,91.026
94,918,81.840,52,123,206.180,312.007,205.948,311.693,188,294,35,35,34.192,34.184,87.917
95,1416,76.364,36,147,96.126,325.996,95.745,327.215,74,304,43,43,42.462,42.459,91.931
96,6706,86.306,35,173,50.087,442.000,54.194,439.863,3,395,93,93,92.403,92.403,90.000
97,4268,92.684,28,207,240.158,568.000,237.213,565.013,203,531,74,74,73.718,73.716,90.000
98,5732,80.472,19,184,44.060,665.994,43.991,668.978,1,623,86,86,85.430,85.429,95.345
99,2838,80.827,36,158,42.185,929.999,42.208,928.745,11,899,61,61,60.114,60.110,90.437
100,2146,69.130,30,125,362.119,1097.994,361.485,1096.200,335,1071,53,53,52.273,52.271,92.694
101,2134,61.009,16,126,414.115,1116.000,415.957,1117.260,388,1090,52,52,52.127,52.125,90.000
102,1130,84.499,44,152,410.156,1217.996,409.670,1219.548,391,1199,38,38,37.934,37.928,91.627
103,822,72.720,38,120,634.190,1139.996,632.994,1139.779,617,1123,33,33,32.356,32.347,91.102
104,1638,74.920,26,151,590.057,1306.004,592.181,1307.024,567,1283,46,46,45.668,45.668,86.309
105,2452,57.604,20,104,632.092,1440.000,633.499,1440.174,604,1412,56,56,55.875,55.874,90.000
106,1028,67.375,34,104,272.099,1338.000,271.750,1338.039,254,1320,36,36,36.180,36.178,90.000
107,1334,76.025,36,129,86.150,1294.014,86.848,1294.992,65,1273,42,42,41.215,41.211,84.573
108,3276,73.608,23,149,29.230,1130.000,27.602,1132.205,0,1097,61,66,66.426,62.794,90.000
109,2556,112.573,43,203,198.146,1263.998,200.317,1264.061,169,1235,58,58,57.049,57.046,90.924
110,5052,85.451,40,150,172.021,1468.000,170.451,1466.494,132,1428,80,80,80.202,80.202,90.000
111,1464,105.393,45,181,76.081,1461.999,77.402,1461.388,54,1440,44,44,43.175,43.174,90.481
112,2556,79.394,33,149,270.146,1636.002,268.608,1637.162,241,1607,58,58,57.049,57.046,89.076
113,2322,98.968,47,175,462.081,1664.009,460.768,1662.020,434,1636,55,55,54.374,54.373,83.895
114,1028,118.891,65,194,568.099,1386.000,566.938,1386.828,550,1368,36,36,36.180,36.178,90.000
115,1034,81.539,40,118,1250.166,1002.022,1249.935,1003.374,1231,983,37,37,36.287,36.281,82.384
116,1130,106.888,54,177,618.156,1797.996,619.635,1799.426,599,1779,38,38,37.934,37.928,91.627
117,2136,78.269,35,163,696.067,1662.000,695.571,1659.428,670,1636,52,52,52.151,52.150,90.000
118,1218,76.536,39,123,288.112,1853.998,289.357,1853.818,268,1834,40,40,39.382,39.379,90.836
119,1360,129.020,91,176,230.083,1808.011,230.349,1807.817,209,1787,42,42,41.613,41.612,82.439
120,3632,68.577,30,112,142.174,1901.990,142.897,1901.575,107,1867,69,69,68.005,68.001,93.356
121,3280,76.783,26,178,352.132,1996.000,351.365,1998.303,319,1963,65,65,64.625,64.623,90.132
122,4228,76.287,34,182,1422.105,981.996,1419.286,979.456,1380,942,84,79,101.685,52.941,137.976
123,6583,119.730,61,197,1560.119,402.024,1559.084,401.348,1510,350,100,103,127.084,65.954,133.622
