 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,7159,115.891,43,182,666.036,490.004,666.841,491.849,611,443,109,93,121.049,75.301,145.389
2,6482,129.845,68,202,804.055,411.980,803.580,411.156,764,356,79,111,114.914,71.820,110.503
3,9809,122.612,53,173,895.108,185.985,896.429,186.693,825,140,140,92,141.772,88.094,166.937
4,1698,97.806,61,132,728.120,263.979,728.133,264.380,700,242,55,43,59.043,36.617,151.988
5,2722,114.476,69,177,225.145,672.960,225.451,673.448,189,647,72,51,74.581,46.469,159.577
6,2836,116.485,71,167,294.096,862.019,294.449,862.872,270,824,48,76,75.961,47.536,92.727
7,3165,137.139,84,194,395.188,767.001,393.427,766.711,336,749,118,36,118.500,34.007,4.994
8,5134,136.412,81,198,858.132,632.005,859.344,631.823,802,602,112,59,111.760,58.490,178.196
9,2441,83.447,31,138,384.083,613.991,384.316,617.008,363,575,42,77,76.762,40.488,81.277
10,1053,111.041,60,150,407.210,502.009,406.682,501.981,381,488,51,28,50.528,26.534,9.740
11,3748,137.553,43,204,735.144,729.969,735.768,729.840,687,704,95,52,95.215,50.119,9.727
12,643,81.289,48,120,691.191,696.979,690.844,696.279,674,681,33,31,39.492,20.731,138.565
13,1824,87.657,47,127,535.167,821.968,535.225,822.767,501,804,67,36,66.379,34.987,173.351
14,23995,96.962,0,184,96.051,253.002,102.637,255.917,2,171,188,164,190.548,160.335,161.004
15,1050,117.658,78,152,310.158,334.999,310.007,334.766,292,315,35,40,39.817,33.576,72.284
16,3877,141.392,101,191,174.200,424.002,174.291,424.229,135,391,77,65,76.635,64.414,174.520
17,742,98.966,71,142,237.194,203.977,237.142,203.631,222,187,29,34,33.613,28.106,107.011
18,4790,110.756,52,171,450.111,649.042,449.943,647.562,407,612,85,73,84.839,71.887,170.943
19,7337,126.117,34,185,835.076,734.991,836.144,735.653,782,690,105,90,105.237,88.769,165.681
20,683,83.145,58,114,439.194,472.026,439.264,471.771,425,455,28,33,32.340,26.890,86.776
21,3457,103.348,59,161,353.161,961.965,353.468,961.639,322,925,61,73,72.422,60.777,83.627
22,523,95.935,72,124,957.227,698.018,957.294,698.074,945,683,24,29,28.081,23.713,86.965
23,110,141.545,110,174,669.627,868.564,669.569,868.483,663,862,12,13,13.180,10.626,118.597
24,294,69.918,46,102,880.718,794.418,881.308,794.524,869,784,23,21,26.999,13.864,142.398
25,1154,93.595,61,179,658.152,623.537,657.604,623.273,634,604,47,39,53.791,27.315,144.442
26,819,67.527,35,148,731.146,360.988,729.963,359.316,713,342,35,38,45.265,23.037,131.033
27,351,84.849,57,127,366.184,471.152,366.333,471.501,354,458,23,25,29.315,15.245,48.490
28,720,75.492,38,145,132.203,261.993,131.535,263.741,114,245,36,33,42.488,21.576,41.363
29,1373,94.686,55,156,108.097,771.008,107.965,772.311,87,749,42,43,42.042,41.582,86.979
30,252,137.718,104,197,150.091,736.036,150.309,736.346,141,727,18,18,17.915,17.910,68.629
31,252,134.956,107,169,224.091,553.964,224.159,553.940,215,545,18,18,17.915,17.910,111.371
32,146,139.158,103,189,196.055,481.034,195.829,481.093,189,474,14,14,13.635,13.633,57.995
33,232,156.276,118,211,93.095,516.974,93.263,516.949,84,508,18,18,17.189,17.185,105.255
34,262,151.973,121,187,15.145,828.973,14.907,828.967,5,819,19,19,18.269,18.260,100.437
35,520,106.219,63,165,480.263,194.002,479.860,193.388,467,181,26,26,25.742,25.720,89.582
36,720,98.069,67,138,291.229,177.985,291.794,177.823,275,162,31,31,30.285,30.271,93.814
37,1056,105.577,57,175,134.188,49.997,134.206,51.308,115,31,37,37,36.672,36.664,90.864
38,822,107.270,46,169,766.190,204.996,765.894,204.308,749,188,33,33,32.356,32.347,91.102
39,264,107.761,59,173,646.189,328.992,646.978,329.677,636,319,19,19,18.342,18.326,92.291
40,306,140.255,105,185,685.212,292.000,685.623,291.965,675,282,20,20,19.748,19.729,90.000
41,326,143.589,110,190,916.212,358.006,916.333,358.018,905,347,21,21,20.382,20.365,88.340
42,624,108.772,66,157,918.244,426.000,918.119,426.083,903,411,29,29,28.195,28.178,90.000
43,538,105.139,72,152,971.229,507.000,970.970,506.689,957,493,27,27,26.181,26.165,90.000
44,252,110.040,70,162,900.091,513.964,900.522,513.418,891,505,18,18,17.915,17.910,111.371
45,576,116.991,75,184,736.252,585.023,737.196,585.105,722,571,28,28,27.091,27.072,84.877
46,646,143.786,94,195,764.212,650.000,764.116,650.665,749,635,29,29,28.686,28.673,90.000
47,692,102.039,64,176,528.231,690.986,528.760,690.141,513,676,30,30,29.690,29.676,93.576
48,1334,81.642,51,133,332.150,668.014,331.768,668.152,311,647,42,42,41.215,41.211,84.573
49,476,102.660,77,154,381.212,869.998,381.712,870.461,368,857,25,25,24.626,24.611,90.567
50,456,81.853,51,129,369.213,807.993,369.300,808.591,356,795,25,25,24.103,24.088,91.771
51,646,109.528,73,159,704.212,956.000,704.828,955.990,689,941,29,29,28.686,28.673,90.000
52,1860,77.493,39,143,626.000,808.000,626.369,807.674,601,783,49,49,48.664,48.664,0.000
53,838,111.562,74,181,182.187,549.993,182.015,551.414,165,533,33,33,32.669,32.660,92.189
54,444,125.766,84,177,522.212,505.000,522.253,505.632,510,493,24,24,23.784,23.769,90.000
55,512,97.943,63,148,828.201,502.021,828.012,502.532,815,489,26,26,25.539,25.526,83.904
56,864,95.332,53,172,957.197,743.000,957.022,744.258,940,726,34,34,33.172,33.163,90.000
57,644,124.401,62,172,219.183,819.988,219.161,819.705,204,805,29,29,28.640,28.630,93.879
58,1368,39.327,0,175,17.079,780.007,21.501,786.601,0,757,37,45,45.170,38.561,89.718
59,198,91.162,68,131,67.268,388.000,67.611,388.051,58,379,17,17,15.896,15.860,90.000
60,198,91.162,68,131,67.268,388.000,67.611,388.051,58,379,17,17,15.896,15.860,90.000
61,381,125.706,79,184,164.206,617.014,163.968,616.914,153,606,22,22,22.080,21.970,33.823
62,624,104.811,41,179,548.244,192.000,548.292,193.810,534,178,28,28,28.195,28.178,90.000
63,692,143.431,91,194,999.228,679.012,999.319,678.905,984,664,30,30,29.690,29.676,87.101
64,198,162.606,127,200,579.268,734.000,579.325,733.887,570,725,17,17,15.896,15.860,90.000
65,660,161.629,96,219,604.233,770.021,604.318,769.727,589,755,30,30,28.996,28.981,84.806
66,1972,93.489,41,168,192.000,858.000,189.724,856.575,166,832,51,51,50.108,50.108,0.000
67,306,139.085,101,185,913.212,290.000,913.124,290.249,903,280,20,20,19.748,19.729,90.000
