 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,656,109.390,84,137,156.855,384.509,156.889,384.578,142,368,29,32,35.851,23.298,129.576
2,1083,101.186,64,137,282.788,429.389,282.814,429.125,264,408,37,42,46.024,29.961,125.486
3,812,104.148,73,133,255.575,484.567,255.458,484.978,241,465,28,39,39.634,26.086,104.142
4,1281,106.886,68,135,263.402,851.931,263.145,852.012,239,833,48,38,50.202,32.489,28.781
5,2099,105.010,64,144,297.433,918.696,297.406,918.826,265,897,64,43,63.874,41.840,1.820
6,603,94.653,67,131,416.885,390.643,416.828,390.279,399,379,35,23,34.099,22.516,166.557
7,2266,120.444,82,170,652.876,658.009,653.024,657.880,630,625,45,66,66.618,43.309,100.710
8,2860,96.469,54,163,754.108,835.976,754.577,837.248,728,799,52,74,74.357,48.973,74.333
9,2574,107.631,63,149,938.162,735.402,937.168,735.740,902,712,71,47,70.867,46.246,5.279
10,2411,90.613,59,129,916.143,847.961,915.876,847.614,883,819,66,58,77.719,39.499,141.954
11,1855,69.392,34,114,836.876,864.615,837.327,866.308,808,839,57,51,67.998,34.734,139.633
12,1834,99.244,63,133,218.714,561.969,219.325,562.415,189,542,59,40,59.068,39.532,6.300
13,1974,95.861,29,154,856.168,762.689,855.442,760.961,825,742,62,41,61.350,40.968,2.808
14,1630,93.894,50,137,754.776,724.605,753.622,724.699,735,697,39,55,55.872,37.146,79.229
15,1110,112.877,84,142,658.880,752.584,658.882,752.559,636,735,45,34,45.852,30.823,22.217
16,948,103.111,64,155,887.509,937.905,887.404,939.022,870,918,34,40,42.497,28.403,57.811
17,1535,97.510,65,132,542.083,460.735,542.079,461.149,523,434,38,53,54.000,36.193,74.683
18,1258,92.499,51,131,182.768,685.300,184.070,685.996,159,666,46,38,48.841,32.795,150.132
19,858,128.190,100,161,711.066,171.364,711.008,171.506,690,157,41,28,40.410,27.034,170.396
20,908,98.388,59,124,952.174,560.024,951.846,559.421,934,541,35,37,41.480,27.871,130.025
21,2941,139.657,97,202,331.498,321.957,331.771,321.608,300,291,62,62,62.287,60.118,132.286
22,3914,142.105,95,197,442.718,468.000,442.720,468.234,407,432,70,72,71.934,69.278,90.000
23,3648,127.320,58,195,314.784,597.387,314.067,599.852,281,562,67,70,69.151,67.168,90.109
24,2043,117.417,40,170,277.472,736.744,277.506,737.415,252,710,50,53,51.975,50.047,91.199
25,1580,96.941,46,136,785.354,638.652,785.969,637.161,763,615,44,46,45.549,44.166,110.050
26,1519,110.116,73,149,984.083,667.962,984.253,668.192,962,645,44,45,44.631,43.334,107.455
27,1142,151.158,121,189,744.838,118.664,744.849,118.779,725,99,39,39,38.842,37.435,117.204
28,1297,137.415,59,183,535.459,168.010,536.354,167.187,515,147,41,41,41.396,39.892,131.356
29,2038,139.677,106,185,563.258,66.591,563.250,66.750,537,41,52,51,51.799,50.095,133.108
30,1435,149.230,116,184,331.505,122.024,331.606,121.803,309,100,44,43,43.478,42.024,143.229
31,3213,141.265,44,198,202.833,67.322,203.679,69.422,170,35,65,64,64.900,63.034,139.530
32,2943,106.889,30,163,628.169,449.379,628.167,452.216,597,418,62,62,62.205,60.238,132.459
33,686,145.248,112,171,552.875,574.023,552.932,574.118,537,559,30,30,29.950,29.164,109.987
34,3058,83.235,31,128,151.492,817.227,152.320,818.741,120,786,63,62,63.469,61.346,139.051
35,1695,114.373,50,181,176.724,530.006,175.508,530.653,153,506,47,47,47.309,45.618,134.723
36,1172,62.472,26,156,834.906,536.646,833.909,537.682,812,510,45,52,63.464,23.513,50.750
37,1980,61.382,31,129,509.588,947.991,510.781,947.021,472,923,74,49,81.978,30.752,150.761
38,2518,71.438,29,144,440.165,846.009,441.319,847.068,395,823,89,45,92.613,34.617,160.849
39,2409,61.741,28,116,46.866,828.277,47.326,828.735,0,803,96,49,105.170,29.165,158.030
40,600,66.798,43,101,353.493,560.767,353.231,560.824,333,540,40,41,54.019,14.142,46.100
41,297,58.384,39,110,625.362,546.348,625.563,545.976,613,530,24,32,37.495,10.086,55.453
42,525,50.931,28,99,1011.839,410.810,1011.250,411.847,997,386,27,45,46.957,14.235,58.347
43,534,60.268,35,131,24.863,324.779,25.201,324.832,5,312,39,25,43.352,15.684,152.604
44,1525,101.770,69,138,231.440,433.993,231.035,433.606,208,412,46,44,49.407,39.300,141.533
45,3218,119.146,41,195,102.195,572.649,104.339,573.520,70,540,64,65,65.404,62.646,127.219
46,389,65.216,32,128,550.217,294.032,551.049,294.715,538,282,23,23,22.825,21.700,140.430
47,249,62.871,33,120,410.074,83.974,409.666,83.829,400,75,19,18,18.148,17.469,169.089
48,355,76.901,43,144,278.841,258.032,279.839,258.188,268,247,21,22,21.878,20.660,132.147
49,488,120.365,72,168,202.148,767.355,202.205,767.426,189,754,25,26,25.580,24.290,121.622
50,562,94.050,47,164,520.187,621.996,520.990,622.998,506,608,27,27,27.363,26.150,138.572
51,442,58.181,6,140,732.833,590.695,734.232,593.496,720,578,24,25,24.273,23.185,113.345
52,325,81.905,42,137,924.885,375.245,925.423,374.954,914,365,21,20,20.806,19.889,135.871
53,418,99.689,69,136,994.196,294.629,994.243,294.515,982,283,24,23,23.548,22.601,130.965
54,480,83.440,27,145,786.981,229.419,786.978,230.547,774,216,25,26,25.407,24.055,104.577
55,732,113.851,68,167,853.542,121.971,853.936,122.450,837,106,32,31,31.239,29.835,143.441
56,323,101.353,65,143,600.986,84.738,600.945,84.531,590,74,21,21,20.864,19.711,136.150
57,490,102.551,73,155,591.549,233.271,591.764,232.808,578,220,26,26,25.469,24.496,134.585
58,333,83.093,60,117,155.500,110.044,155.499,109.921,144,99,22,21,21.137,20.059,152.121
59,424,79.733,45,124,517.618,49.370,517.244,49.706,505,37,24,24,23.639,22.837,130.004
60,275,63.313,39,113,689.467,408.613,689.299,408.408,680,399,19,19,19.153,18.281,123.911
61,564,110.046,53,178,706.918,447.371,708.083,447.767,693,433,27,28,27.583,26.035,135.017
62,598,84.607,55,148,737.492,391.985,738.117,392.496,723,378,28,28,28.252,26.950,131.263
63,273,78.121,39,133,528.174,575.925,528.542,576.713,518,566,19,19,19.082,18.216,138.078
64,274,73.974,48,115,582.128,548.606,582.387,548.906,572,539,19,19,19.109,18.257,115.677
65,649,75.012,28,145,427.535,566.728,428.947,567.164,412,552,30,29,29.347,28.157,138.989
66,558,74.513,38,146,86.267,350.638,85.243,349.740,72,337,27,27,27.219,26.102,121.364
67,550,102.042,67,165,196.918,475.233,197.382,474.675,183,462,27,26,27.227,25.720,145.844
68,602,101.445,67,152,128.666,600.739,129.181,601.352,114,586,28,29,28.285,27.099,127.958
69,528,83.814,48,132,14.271,655.301,14.872,655.428,1,642,26,26,26.698,25.180,144.000
70,473,114.903,75,156,323.001,271.329,323.446,271.348,310,258,25,26,25.179,23.918,114.426
71,296,117.584,79,162,396.780,345.419,397.007,345.873,387,335,19,20,19.728,19.103,115.791
72,271,124.919,93,172,416.865,324.677,417.206,324.469,407,315,19,19,18.956,18.203,115.411
73,601,112.444,80,166,358.943,506.542,359.034,507.120,344,492,29,28,28.345,26.997,143.601
74,948,83.251,46,130,629.483,956.793,629.995,957.008,611,939,36,35,35.520,33.982,142.443
75,454,79.965,35,150,852.205,330.007,852.761,329.350,839,318,25,24,24.464,23.628,160.432
76,931,82.508,43,134,827.381,209.944,828.560,209.780,810,192,34,35,35.154,33.720,121.932
77,696,81.450,50,149,919.601,163.205,920.200,164.005,904,148,30,30,30.422,29.129,116.704
78,1022,100.946,57,156,952.170,230.054,952.683,230.714,934,212,36,36,36.879,35.285,139.707
79,720,96.085,59,169,318.197,178.683,319.367,179.515,302,163,31,31,30.952,29.618,137.948
80,823,110.789,74,166,372.858,211.950,373.601,211.706,356,195,33,33,33.149,31.611,143.012
81,670,99.504,69,133,286.815,220.016,286.975,220.124,271,205,30,29,29.956,28.478,157.887
82,726,95.405,65,149,188.171,226.008,188.517,226.073,172,210,31,31,31.210,29.617,137.207
83,582,82.665,51,141,165.576,146.015,166.312,146.346,151,132,28,28,27.745,26.708,122.547
84,365,54.340,11,136,56.215,150.675,55.748,151.727,45,140,22,21,22.226,20.909,162.469
85,423,86.608,62,118,201.592,612.621,201.799,612.916,189,601,24,23,23.696,22.729,135.783
86,419,97.033,54,143,487.588,285.371,488.175,285.804,475,273,24,24,23.586,22.619,134.480
87,397,90.280,64,127,737.540,29.218,738.044,28.992,726,18,23,22,23.052,21.927,151.573
88,569,93.511,70,138,652.279,92.598,652.607,93.131,638,78,27,28,27.756,26.101,123.348
89,682,92.661,66,133,626.210,143.330,626.076,143.389,611,128,30,30,30.094,28.854,146.664
90,410,109.483,77,161,807.544,39.327,807.956,39.829,796,27,23,24,23.418,22.292,126.617
91,696,97.626,65,150,870.920,353.386,871.310,354.191,855,338,31,30,30.610,28.951,144.668
92,919,83.225,46,129,777.450,357.301,778.069,357.169,760,339,34,36,34.972,33.458,86.150
93,503,69.825,42,115,177.647,43.444,177.157,43.123,164,30,26,26,25.907,24.721,141.329
94,815,77.739,40,118,692.840,56.586,693.482,56.288,676,40,33,33,33.069,31.380,122.442
95,1006,78.120,24,144,43.463,233.998,44.265,234.974,25,216,36,36,36.301,35.285,143.948
96,482,84.382,52,141,141.550,301.946,140.925,300.744,128,289,26,25,25.460,24.105,142.978
97,503,60.781,29,119,458.156,258.713,458.080,257.860,445,244,25,29,31.912,20.069,56.831
98,1016,86.691,49,164,474.177,368.609,475.333,368.995,456,350,36,37,36.065,35.868,152.837
99,355,59.028,34,113,280.906,75.373,281.199,75.081,270,63,21,24,24.889,18.160,53.852
100,501,70.313,40,120,388.235,31.260,388.780,30.922,374,19,28,25,29.678,21.494,144.656
101,1115,48.789,0,161,917.400,49.374,919.953,49.624,896,32,42,35,44.050,32.228,154.208
102,912,69.860,37,115,910.137,319.338,909.989,319.618,894,300,32,38,40.061,28.986,63.688
103,948,87.186,26,165,616.194,584.757,615.004,584.799,595,569,41,31,40.675,29.675,170.796
104,1413,93.401,59,138,470.735,598.014,470.471,598.477,452,573,37,50,49.476,36.363,83.499
105,3128,100.400,41,153,571.596,788.575,570.698,786.221,544,751,55,74,73.822,53.950,97.287
106,1323,84.336,57,120,676.074,902.643,676.130,902.857,652,885,48,35,47.873,35.186,3.154
107,1118,98.555,74,138,454.175,794.708,454.252,794.466,431,778,45,33,44.187,32.215,176.628
108,722,100.740,70,144,329.616,692.639,330.128,693.205,312,678,34,29,35.597,25.825,145.590
109,868,92.036,69,133,394.101,699.361,393.944,699.675,379,679,29,40,38.917,28.398,96.132
110,891,85.751,46,141,435.534,705.341,435.944,705.157,419,687,33,36,39.464,28.746,54.492
111,1080,87.398,64,112,489.370,713.201,489.235,713.426,473,691,32,44,43.425,31.666,100.110
112,1393,86.306,40,148,128.120,701.371,127.096,701.513,103,683,49,37,49.083,36.135,167.058
113,610,100.187,75,130,80.267,498.669,80.485,498.366,65,485,30,27,32.649,23.789,34.361
114,1525,113.153,72,178,90.727,452.003,90.825,452.180,68,429,45,45,45.229,42.931,127.874
115,856,95.032,59,158,52.807,516.623,51.764,516.656,36,500,33,33,34.205,31.863,137.978
116,1207,90.306,52,158,154.785,321.994,154.723,323.570,135,302,39,40,40.548,37.901,51.310
