 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,2481,132.536,73,182,403.679,401.782,403.984,401.839,372,376,63,51,62.932,50.196,2.839
2,1830,113.968,45,162,349.135,504.033,349.665,503.656,318,484,61,40,61.551,37.855,13.05
3,2398,127.193,83,172,438.137,472.01,437.962,472.062,405,448,65,48,64.073,47.653,5.917
4,1161,122.06,80,168,500.595,497.992,500.574,497.851,484,475,33,46,46.106,32.062,88.797
5,671,133.897,91,182,504.251,541.987,504.42,541.814,486,529,35,26,34.912,24.471,12.531
6,947,102.986,48,164,452.121,558.476,453.096,558.964,437,537,30,42,41.287,29.205,80.781
7,619,115.194,58,161,428.217,546.529,427.343,546.348,414,531,28,30,32.124,24.534,50.594
8,763,124.887,78,171,383.196,572.009,382.447,572.088,364,558,37,28,37.802,25.699,18.329
9,689,112.942,61,158,401.317,592.507,401.846,592.659,382,580,37,25,36.017,24.357,174.514
10,790,133.386,78,176,397.72,511.514,397.682,511.606,380,495,35,32,38.47,26.146,143.39
11,1272,127.351,81,177,459.64,276.503,459.637,276.628,438,255,42,42,48.055,33.702,134.567
12,1390,134.035,86,183,356.137,232.985,356.039,233.033,330,215,51,36,50.229,35.235,174.544
13,1974,121.696,75,180,340.626,286.016,340.869,286.296,310,264,60,43,59.825,42.012,9.496
14,735,121.468,84,157,324.729,186.986,324.708,186.969,308,172,33,30,36.55,25.604,143.072
15,939,97.887,62,135,249.083,521.996,248.972,522.252,234,501,30,41,41.013,29.151,103.222
16,1165,119.164,76,170,214.694,185.967,214.534,185.969,191,169,46,34,45.862,32.343,12.129
17,868,101.654,60,137,178.744,392.001,178.282,392.229,159,377,39,30,39.599,27.909,21.213
18,437,101.124,66,142,177.665,432.406,177.675,432.497,166,419,22,27,28.208,19.725,116.144
19,1333,135.953,69,183,295.126,338.009,295.453,338.59,271,319,48,37,49.671,34.169,159.017
20,1186,126.822,24,182,300.669,88.549,300.433,89.008,277,69,46,38,51.498,29.323,145.767
21,1362,149.684,76,200,433.697,40.449,433.259,40.028,408,12,51,56,70.82,24.487,131.581
22,1088,148.661,57,210,477.687,122.981,477.154,124.126,459,102,36,42,44.338,31.244,121.197
23,1102,106.967,58,158,451.661,175.974,453.097,175.626,430,158,42,36,44.295,31.677,29.856
24,821,116.872,62,171,925.182,286.002,925.707,286.543,910,267,30,37,38.59,27.088,118.545
25,859,113.008,74,161,836.136,419.515,836.051,419.338,821,399,29,40,39.438,27.732,97.442
26,641,108.612,64,142,756.174,491.987,756.133,491.774,743,474,25,35,33.961,24.032,96.505
27,1188,133.364,90,172,739.79,784.415,739.583,784.24,719,764,41,40,46.56,32.487,138.766
28,918,124.087,60,177,823.408,801.743,823.12,801.113,808,781,30,41,40.767,28.671,93.75
29,1446,128.94,55,187,913.333,880.685,913.711,879.968,890,859,46,43,51.364,35.844,38.781
30,1419,133.725,63,193,880.399,906.635,879.737,906.227,859,884,43,45,50.691,35.642,130.731
31,952,118.506,75,171,994.779,886.055,994.627,886.514,980,865,29,42,41.615,29.127,95.237
32,743,119.616,76,154,815.456,737.386,815.268,737.412,800,720,30,34,36.626,25.829,54.956
33,482,108.844,48,150,728.241,679.226,727.833,678.59,713,665,30,28,36.348,16.884,140.276
34,872,118.814,47,173,737.596,712.235,737.69,713,722,693,30,38,37.844,29.338,96.624
35,1088,148.868,90,196,588.62,814.506,589.015,815.031,568,793,41,42,50.887,27.223,133.344
36,1394,133.118,88,181,641.36,845.819,641.917,845.636,615,826,52,39,54.525,32.552,27.16
37,638,132.967,65,180,683.563,916.024,683.699,916.659,665,903,36,26,36.807,22.07,156.45
38,1075,130.814,67,185,690.912,885.711,691.424,885.782,667,869,47,33,47.869,28.593,21.669
39,458,96.131,66,131,748.441,895.716,748.14,895.708,738,880,20,31,31.104,18.748,102.06
40,634,116.983,76,163,245.442,931.907,245.282,931.771,231,915,28,34,36.545,22.089,122.275
41,1259,119.131,56,166,292.615,741.309,293.005,741.41,272,720,40,42,45.61,35.146,128.035
42,1423,119.22,69,160,418.089,727.487,418.369,726.803,393,708,49,38,48.499,37.358,8.731
43,644,117.298,45,163,395.95,802.731,395.303,802.082,381,787,29,31,32.515,25.218,130.826
44,1928,103.858,25,175,412.02,836.497,409.677,836.704,383,814,57,44,56.603,43.369,171.323
45,1353,101.046,44,171,377.147,667.85,376.061,667.394,354,648,46,39,47.336,36.393,158.087
46,644,91.124,54,131,570.05,68.744,570.124,68.604,556,52,27,33,32.543,25.196,110.422
47,1224,132.726,78,186,820.458,98.703,821.332,97.959,801,77,38,43,44.933,34.683,115.532
48,578,102.159,67,135,860.696,114.254,860.69,114.493,848,98,25,32,30.861,23.847,99.946
49,503,100.457,54,133,763.912,582.534,763.881,582.472,752,568,23,29,28.898,22.162,103.05
50,724,93.377,46,142,806.035,634.634,806.215,635.047,791,618,29,33,34.642,26.61,115.129
51,834,129.231,51,187,848.487,823.951,849.051,824.369,829,809,38,30,37.154,28.58,10.345
52,575,101.224,61,144,593.787,663.688,594.257,663.058,577,651,32,25,34.208,21.402,29.865
53,969,112.408,53,159,598.55,688.8,598.477,688.648,573,676,50,25,50.074,24.639,173.516
54,484,102.295,73,131,548.136,799.205,548.083,799.284,535,783,25,32,35.637,17.292,124.314
55,331,92.311,43,129,498.134,751.627,498.529,752.208,489,738,18,27,28.953,14.556,114.366
56,1696,135.255,49,199,342.096,828.973,341.067,826.551,320,798,44,61,66.267,32.586,119.017
57,469,115.034,53,161,504.229,626.504,503.619,627.112,486,617,35,18,34.575,17.271,3.918
58,1055,109.626,71,143,508.956,605.296,509.314,605.228,482,592,53,26,51.981,25.842,1.206
59,1527,106.305,41,192,524.986,886.831,523.777,885.735,498,867,53,39,55.136,35.262,158.72
60,1101,129.421,67,174,572.269,909.668,572.075,909.801,552,884,40,51,58.569,23.935,125.993
61,311,94.193,52,127,968.661,470.13,968.68,469.857,960,458,17,24,23.714,16.698,86.476
62,700,141.503,97,185,928.754,618.029,928.215,617.994,913,603,31,30,32.735,27.227,39.41
63,579,115.266,88,155,961.645,585.699,961.506,585.818,947,572,28,27,29.738,24.79,136.804
64,397,97.617,61,148,974.606,681.608,974.717,681.907,960,672,28,19,26.771,18.882,175.621
65,622,88.469,40,143,913.653,806.178,914.038,805.255,897,793,32,26,32.157,24.628,24.052
66,572,108.752,62,149,1013.78,151.997,1013.528,151.719,1001,136,23,32,32.282,22.561,99.295
67,535,98.127,34,132,467.384,841.089,467.79,840.332,452,827,30,27,33.015,20.633,38.951
68,402,106.672,67,137,387.746,910.766,387.815,910.75,373,901,29,19,28.581,17.909,179.012
69,313,103.466,75,148,625.653,222.427,625.581,222.504,616,210,18,25,25.113,15.869,108.826
70,662,124.397,71,173,916.532,390.973,916.674,390.872,903,374,26,34,34.57,24.382,75.362
71,470,108.736,78,136,959.866,358.638,960.017,358.578,945,348,29,21,29.058,20.594,173.662
72,1199,109.269,40,171,362.832,742.225,362.013,742.893,342,722,41,40,46.579,32.775,139.16
73,1088,140.159,86,189,423.451,763.893,423.257,763.908,401,748,44,32,44.173,31.361,7.637
74,2139,143.712,39,203,573.058,367.797,572.924,367.105,546,341,53,53,52.343,52.031,108.917
75,689,133.135,93,176,645.542,272.281,646.015,272.318,630,257,30,30,29.69,29.548,104.174
76,423,105.319,42,151,643.616,191.663,643.482,191.124,631,180,24,23,23.234,23.181,74.468
77,657,140.664,115,183,723.891,113.4,723.876,113.399,709,98,29,30,28.952,28.893,72.746
78,2129,117.254,65,161,625.118,77.318,625.462,76.648,598,51,53,52,52.134,51.995,126.647
79,884,110.873,79,146,609.147,24.337,609.025,24.074,592,7,34,34,33.696,33.403,162.642
80,560,112.811,55,177,535.909,39.359,536.529,39.679,522,26,27,27,26.749,26.656,103.777
81,529,109.074,82,165,691.922,135.018,692.152,135.248,678,122,27,26,26.159,25.749,123.077
82,673,108.874,70,163,784.828,175.605,784.706,176.087,770,161,29,29,29.292,29.253,110.011
83,844,101.59,42,163,796.184,219.742,797.372,218.331,779,203,33,33,32.923,32.641,72.191
84,931,132.347,102,172,955.903,72.049,955.985,71.887,938,54,35,35,34.643,34.217,40.063
85,774,85.717,51,137,929.208,105.597,929.133,105.564,913,89,32,32,31.667,31.121,142.291
86,809,117.554,74,169,993.263,40.276,993.329,40.686,976,24,33,32,32.199,31.99,50.345
87,701,141.124,107,187,999.22,303.272,999.245,303.216,984,288,30,30,30.155,29.598,144.085
88,599,105.668,75,153,971.819,285.553,971.793,285.471,957,271,28,28,27.635,27.598,90.599
89,1098,120.769,58,187,423.581,171.681,421.924,171.071,404,152,38,38,37.468,37.312,53.846
90,790,110.511,76,169,373.238,174.673,373.825,175.125,357,158,32,33,31.972,31.461,27.153
91,2823,117.075,37,175,344.178,136.626,342.18,138.473,314,106,60,61,60.218,59.689,23.817
92,1006,109.295,76,157,215.183,270.35,215.249,270.407,196,253,38,34,38.189,33.541,16.222
93,1294,113.96,82,165,132.741,102.349,132.765,102.433,112,82,41,41,40.865,40.317,154.931
94,1205,110.046,68,152,204.431,347.402,204.423,347.364,184,327,40,40,39.264,39.075,1.344
95,1705,106.691,59,169,348.507,33.345,348.033,33.765,323,11,50,44,50.672,42.842,18.733
96,152,60.658,27,126,932.546,146.224,932.459,146.566,923,140,19,13,20.102,9.628,155.249
97,438,58.475,35,123,732.112,79.662,732.369,79.827,714,67,36,25,40.492,13.773,149.541
98,394,61.195,31,148,793.949,25.437,794.319,25.085,782,11,23,28,32.84,15.276,53.996
99,143,76.692,47,137,747.458,202.913,747.473,202.977,740,196,15,14,15.839,11.495,142.832
100,188,84.92,41,170,819.862,184.016,819.814,184.334,812,175,15,18,18.23,13.13,62.191
101,376,64.197,15,141,846.832,324.763,846.433,324.862,836,310,21,29,31.071,15.408,59.102
