 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1385,131.789,78,185,699.274,429.012,699.131,429.56,682,402,34,54,54.241,32.511,77.434
2,1108,111.664,56,152,639.599,448.528,639.39,449.98,624,424,30,49,48.696,28.971,99.264
3,1454,93.667,47,133,420.434,642,419.833,641.851,392,625,56,34,55.451,33.386,0
4,528,110.867,81,138,200.625,915.587,200.726,915.706,189,899,23,32,33.372,20.145,66.213
5,905,122.087,71,168,655.115,564.994,654.901,565.321,640,544,30,42,44.085,26.138,65.425
6,1931,110.6,67,158,166.704,654.001,166.485,653.649,136,633,61,41,61.331,40.088,4.174
7,390,148.172,108,187,505.215,519.762,505.566,519.559,491,510,28,19,27.713,17.918,171.227
8,1097,107.925,66,149,40.071,490.678,40.339,490.176,22,459,36,63,68.87,20.281,64.051
9,6713,120.182,13,200,653.59,250.509,654.066,251.142,600,206,107,88,116.149,73.589,31.567
10,1582,127.07,54,192,783.083,384.078,782.923,384.197,764,352,38,63,66.227,30.415,68.752
11,1068,115.998,70,163,931.801,424.249,931.692,423.901,916,400,31,48,47.868,28.408,103.506
12,751,106.073,61,151,883.095,857.525,883.31,857.928,863,844,39,27,39.773,24.041,158.651
13,818,105.479,73,149,792.658,747.752,792.904,747.238,771,734,42,27,42.085,24.748,11.669
14,2680,114.929,34,191,192.119,395.76,192.745,395.262,158,367,68,57,75.855,44.984,34.981
15,851,114.468,77,161,573.426,666.68,573.255,667.159,554,650,38,33,41.857,25.887,34.141
16,1907,107.9,39,167,934.607,672.218,934.231,671.964,902,650,64,43,67.961,35.727,23.149
17,1060,101.269,68,135,970.018,463.488,969.185,463.88,944,448,52,30,53.806,25.083,18.465
18,1820,70.704,28,151,469.198,120.704,470.978,120.097,427,81,84,78,111.587,20.767,42.801
19,2617,65.138,7,150,920.259,240.519,916.46,244.065,876,188,88,104,133.608,24.939,50.104
20,831,57.439,20,148,891.08,114.209,891.18,114.008,870,88,41,52,62.798,16.849,126.586
