 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,3905,158.592,66,231,964.186,864.085,962.544,864.462,921,832,85,64,91.133,54.558,27.400
2,581,62.695,27,123,13.670,87.882,14.098,86.946,1,71,25,33,35.345,20.930,60.625
3,158,58.411,22,89,13.095,54.873,13.012,54.441,6,46,13,18,18.324,10.978,66.901
4,1507,91.282,34,176,121.404,63.734,121.433,63.685,100,39,42,49,53.194,36.072,57.787
5,197,109.381,80,161,249.129,257.393,248.943,257.424,240,248,17,18,19.172,13.083,48.769
6,876,85.443,36,129,222.610,235.313,222.997,234.628,204,218,37,34,40.628,27.453,37.209
7,1133,88.929,25,156,536.727,180.579,536.488,180.320,514,163,44,35,46.071,31.312,26.592
8,2223,120.100,42,220,678.599,358.456,678.444,360.806,648,333,61,50,64.795,43.683,151.181
9,2913,146.697,37,239,975.141,522.321,975.134,520.584,949,485,52,74,73.994,50.125,101.587
10,1156,116.529,32,179,984.066,455.171,985.017,454.637,968,431,32,48,46.514,31.643,96.667
11,2067,147.410,78,209,425.601,1006.109,425.755,1006.936,396,981,66,43,62.454,42.139,167.424
12,1420,82.844,22,152,270.273,672.510,271.406,672.326,241,656,58,32,58.272,31.027,6.285
13,852,105.756,53,161,468.945,435.371,469.184,435.438,456,412,25,46,45.050,24.080,91.490
14,362,66.238,38,114,310.323,542.876,310.597,543.162,300,529,20,27,29.048,15.867,118.955
15,595,87.906,43,159,474.023,586.898,473.895,586.850,462,568,24,37,38.664,19.594,67.570
16,377,95.676,53,131,224.627,890.527,224.859,890.844,214,877,20,26,25.727,18.658,73.794
17,409,88.499,57,128,192.187,710.517,191.986,710.458,176,698,32,24,37.003,14.073,146.624
18,319,70.150,50,100,495.381,86.381,495.403,86.507,485,76,20,20,20.332,19.977,50.634
19,1021,96.536,43,160,706.211,79.977,706.341,79.807,688,61,36,37,36.135,35.976,20.376
20,263,65.365,30,140,142.736,268.911,142.483,269.585,133,259,19,19,18.385,18.214,166.416
21,335,55.925,25,93,60.846,610.010,61.116,609.371,50,599,21,21,20.859,20.448,174.538
22,3144,120.384,52,178,365.101,904.691,365.182,904.806,333,873,64,63,63.444,63.096,117.126
23,577,93.435,47,140,723.810,809.346,723.552,809.324,709,795,28,28,27.289,26.921,32.863
24,486,107.253,74,151,979.761,944.714,979.618,944.564,967,932,25,25,25.004,24.748,41.893
25,372,105.333,73,142,673.411,890.500,673.535,890.264,662,879,22,22,22.030,21.500,0.000
26,1384,130.085,48,221,874.458,441.038,874.761,441.719,853,420,42,42,42.182,41.776,126.141
27,831,106.277,41,168,704.304,515.924,704.619,515.579,687,499,33,33,32.634,32.422,56.239
28,2622,122.500,40,197,523.838,462.994,523.768,462.920,494,434,59,58,57.877,57.682,151.219
29,1151,89.998,36,147,81.376,887.283,82.097,886.418,62,868,38,38,38.440,38.124,37.135
30,2605,102.871,26,192,334.826,1003.581,333.929,1004.278,301,977,67,47,68.907,48.134,0.952
31,617,66.559,29,152,720.521,727.302,719.967,726.918,702,710,37,34,46.760,16.801,138.333
32,458,68.574,19,185,811.258,678.170,812.103,678.813,795,664,32,28,40.271,14.480,140.227
33,308,66.935,17,176,551.558,555.753,551.434,555.548,541,541,20,29,32.856,11.936,59.745
34,648,59.623,18,168,233.008,769.343,232.584,769.208,213,752,39,34,47.664,17.310,141.583
35,308,52.685,10,110,768.351,811.682,769.507,811.798,755,800,26,24,32.891,11.923,138.611
36,749,71.768,40,122,775.070,926.459,775.515,926.513,748,905,53,43,65.956,14.459,141.266
37,251,63.558,22,148,157.018,978.253,155.955,977.791,141,965,31,26,37.926,8.426,140.188
38,412,71.408,17,168,165.289,686.726,163.198,685.256,149,673,32,27,39.488,13.284,141.262
39,893,76.493,28,165,163.163,515.345,163.614,515.395,137,480,52,70,84.495,13.457,53.588
40,537,66.400,26,195,662.299,200.152,663.477,198.525,643,180,38,40,53.767,12.717,46.115
41,177,71.881,28,172,299.528,237.088,299.069,236.835,287,226,24,22,30.834,7.309,138.422
42,251,40.434,0,161,202.137,159.950,202.733,159.951,187,146,29,27,37.287,8.571,136.755
43,386,57.218,22,162,784.782,381.852,784.317,381.475,771,362,27,39,45.644,10.767,57.284
44,268,58.877,28,93,314.955,150.276,315.056,150.546,304,141,21,18,21.652,15.759,147.104
45,140,77.607,40,143,387.057,571.293,386.706,570.895,381,563,12,16,15.324,11.632,90.010
46,224,80.402,34,137,437.321,553.853,437.944,554.691,429,544,16,19,19.665,14.503,121.571
