 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,10538,116.683,24,194,158.098,340.997,154.481,343.201,99,280,118,122,137.764,97.394,47.982
2,8278,90.932,0,165,398.047,205.998,396.234,206.519,344,153,107,105,121.546,86.715,43.501
3,7012,117.663,0,192,788.099,435.019,788.185,432.611,732,393,111,83,111.52,80.057,15.191
4,3660,127.673,60,197,924.041,585.896,924.092,585.722,895,541,58,90,95.394,48.851,112.256
5,4270,122.066,58,182,832.15,820.983,832.867,821.54,788,788,87,66,90.724,59.926,22.3
6,3183,120.279,60,184,623.065,950.999,623.253,951.897,592,915,61,72,77.993,51.963,122.339
7,5299,85.925,7,155,492.158,831.954,496.064,829.455,446,792,92,80,100.637,67.042,33.474
8,8464,111.324,5,215,402.619,983.107,398.6,985.614,338,933,121,91,127.361,84.616,26.493
9,1413,82.521,31,124,759.826,765.525,760.014,764.689,738,742,43,46,52.014,34.588,131.682
10,1424,80.654,35,155,891.461,74.329,890.985,76.05,866,54,50,40,52.27,34.687,27.194
11,5272,85.892,7,154,265.325,931.432,265.642,933.102,218,895,94,73,94.613,70.947,16.676
12,3516,113.466,26,175,476.174,325.011,476.995,324.364,442,291,68,68,66.91,66.906,86.535
13,481,65.915,19,150,868.853,938.747,867.53,940.163,853,927,31,23,32.125,19.064,24.278
14,479,74.282,48,112,895.494,762.212,895.777,762.211,884,747,23,30,32.123,18.986,117.769
15,945,51.751,0,115,941.568,738.039,943.191,739.223,919,722,44,31,45.307,26.557,155.739
16,354,70.839,13,168,758.486,700.314,758.607,701.508,746,689,24,22,27.485,16.399,142.904
17,559,70.547,41,122,777.462,340.84,777.556,340.337,764,325,26,31,34.578,20.584,125.761
18,344,46.169,8,142,783.916,106.48,784.117,108.08,775,92,17,28,27.039,16.198,84.675
19,593,42.565,3,136,541.79,61.792,540.869,64.207,531,43,21,37,35.784,21.1,84.635
20,243,63.222,26,128,549.936,141.57,550.433,141.018,541,131,17,21,22.849,13.541,56.769
21,305,50.639,17,113,411.149,378.536,410.957,378.92,403,365,16,26,25.796,15.054,75.598
22,855,54.077,16,139,947.904,73.358,946.627,75.053,926,60,43,26,42.914,25.367,179.967
23,190,20.658,0,72,782.868,484.284,782.352,486.289,776,474,13,20,20.011,12.089,76.407
24,358,16.83,0,56,518.807,701.508,519.212,700.807,505,691,26,20,27.552,16.544,29.805
25,241,35.979,5,92,393.093,996.546,391.956,996.627,383,987,19,19,22.702,13.517,46.344
26,700,20.226,0,97,387.226,539.131,385.63,536.929,372,524,30,30,30.043,29.666,3.072
27,1295,76.256,36,133,677.307,569.56,678.401,568.785,656,549,42,41,40.723,40.489,147.856
28,638,88.956,54,133,916.277,453.998,915.901,453.99,899,441,34,25,33.396,24.324,1.222
29,121,53.562,29,79,969.64,546.277,969.676,545.873,964,539,11,14,14.203,10.847,81.081
30,214,88.308,52,144,635.72,256.07,635.389,256.045,626,248,19,16,19.361,14.074,20.653
31,280,83.786,51,124,647.1,270.282,647.194,270.608,638,259,17,22,22.107,16.126,103.155
32,195,70.159,38,110,667.987,106.341,668.244,106.434,661,97,14,19,18.325,13.549,86.496
33,125,77.6,52,110,655.004,99.004,654.647,99.161,647,92,16,13,17.505,9.092,32.759
34,319,74.74,44,133,319.666,418.478,319.714,418.113,311,404,17,28,28.111,14.449,72.791
35,264,79.716,49,114,337.136,122.659,337.565,122.925,328,113,18,19,19.584,17.164,117.758
36,539,18.51,0,75,444.35,21.142,444.321,21.305,431,7,26,28,28.15,24.38,127.915
37,1187,20.809,0,66,433.655,727.219,432.143,725.423,414,706,38,42,41.744,36.205,60.567
38,460,108.98,69,168,548.713,486.461,548.726,486.463,536,473,24,26,26.087,22.451,120.546
39,1216,70.516,42,100,654.165,21.036,654.044,21.38,633,0,42,41,49.496,31.281,43.341
40,1072,48.619,1,90,511.149,645.539,510.07,643.963,493,624,35,43,46.093,29.612,119.689
41,714,83.158,48,121,923.709,947.536,923.066,948.107,907,932,33,31,37.749,24.083,39.4
42,1902,74.649,24,136,297.481,348.538,299.679,348.598,274,320,46,57,61.462,39.402,118.997
