 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,24537,128.524,16,220,516.044,491.004,517.097,489.587,435,387,161,208,221.6,140.981,116.85
2,1874,78.46,17,123,264.128,313.363,264.869,313.559,239,286,49,54,61.346,38.895,52.603
3,5095,98.53,0,180,755.775,452.371,754.853,451.032,718,402,75,100,109.52,59.233,120.032
4,4454,68.436,14,129,86.801,851.683,85.822,850.97,49,812,75,79,83.792,67.679,52.293
5,805,54.698,18,82,119.881,551.254,119.343,551.143,108,528,23,46,45.344,22.604,83.23
6,1794,133.302,85,220,834.559,241.287,834.656,241.392,810,217,48,48,48.053,47.535,65.491
7,2028,21.644,0,139,895.662,330.16,896.306,329.036,881,282,29,96,96.888,26.651,83.315
8,2304,16.264,0,113,758.513,887.786,759.432,885.506,694,874,128,27,128.716,22.791,174.017
9,1621,85.801,40,139,686.19,702.474,687.05,703.196,663,679,46,46,45.487,45.374,20.755
10,1389,56.503,12,93,914.311,645.301,914.315,646.549,893,624,42,42,42.114,41.993,27.023
11,1708,136.439,69,201,419.569,213.4,419.422,213.822,396,189,47,48,46.777,46.491,41.229
12,604,39.033,0,128,62.869,303.565,62.387,302.93,49,282,27,43,47.318,16.252,119.035
13,735,30.018,0,83,139.661,221.286,139.612,222.802,125,204,28,34,35.01,26.73,107.267
14,186,37.538,0,117,298.511,245.64,299.048,246.897,290,237,16,16,17.159,13.802,44.915
15,782,64.586,0,175,588.711,157.518,590.047,159.3,571,142,34,31,35.812,27.803,142.951
16,835,83.594,21,171,755.706,301.516,757.012,301.192,736,287,38,29,37.124,28.638,173.585
17,376,88.601,42,166,689.66,180.072,690.088,179.315,679,167,20,25,24.905,19.222,74.289
18,467,104.876,36,183,607.217,249.519,607.592,249.299,594,236,25,26,27.734,21.439,49.655
19,571,42.583,0,102,669.647,521.034,670.363,521.947,655,507,28,28,30.854,23.563,47.994
20,1494,27.502,0,111,932.582,534.654,932.394,535.213,911,511,42,47,49.671,38.296,120.185
21,442,73.523,10,145,868.722,655.025,868.734,656.242,854,644,28,21,27.229,20.668,3.711
22,305,58.675,0,132,1015.5,650.326,1015.64,651.551,1004,640,20,20,20.568,18.881,134.608
23,358,75.927,25,132,754.19,563.939,753.897,564.075,743,552,21,23,24.131,18.889,124.581
24,921,72.775,33,144,741.627,735.983,742.37,735.505,725,717,32,38,38.976,30.087,111.641
25,468,39.878,0,105,890.203,795.987,891.789,796.69,878,782,23,28,27.802,21.433,110.141
26,1658,63.557,7,143,366.065,923.002,364.561,922.961,342,900,48,46,52.427,40.266,140.163
27,656,37.736,0,123,912.088,930.814,911.644,930.966,897,916,30,29,29.674,28.148,13.153
28,469,59.569,19,101,655.705,984.722,654.986,985.122,639,973,32,23,35.098,17.014,31.64
29,362,64.997,23,113,626.903,920.406,626.902,920.589,617,906,19,29,31.186,14.779,115.822
30,291,72.515,27,128,635.05,852.198,634.946,852.784,620,845,29,14,27.835,13.311,6.877
31,1393,68.683,34,135,559.938,792.026,559.706,793.294,539,769,41,45,43.94,40.365,90.192
32,280,88.121,52,150,479.643,827.796,479.353,827.999,469,818,20,19,19.866,17.946,142.592
33,344,80.666,39,136,460.497,712.544,460.142,712.834,449,702,22,21,21.715,20.17,41.531
34,510,31.002,0,96,273.549,947.204,274.32,947.729,260,934,26,26,26.558,24.451,58.237
35,1301,19.659,0,53,119.199,977.365,120.271,977.659,100,953,38,48,51.75,32.009,117.224
36,994,26.589,0,69,49.737,939.137,48.199,940.444,31,921,36,36,35.836,35.316,59.448
37,520,51.369,8,144,63.429,687.379,62.542,689.283,51,672,24,30,28.995,22.835,81.466
38,702,42.526,1,97,52.238,629.717,53.657,630.122,37,614,30,31,30.218,29.579,35.644
39,846,53.641,10,127,181.824,514.358,183.07,513.849,165,497,33,34,32.897,32.743,99.445
40,820,40.396,0,101,217.162,667.991,217.428,668.863,200,651,33,33,32.315,32.309,93.013
41,564,83.927,22,191,266.594,419.66,266.052,420.858,253,406,27,27,26.845,26.75,78.119
42,296,80.034,36,134,225.216,454.655,224.774,454.761,215,444,20,20,19.628,19.201,1.294
43,153,72.516,37,122,129.565,428.918,129.454,429.428,121,422,17,14,18.661,10.439,33.925
44,472,66.525,40,100,228.566,47.932,228.55,47.662,216,35,25,25,24.621,24.409,14.469
45,1012,54.298,5,112,820.329,77.966,820.34,77.504,802,59,36,37,35.906,35.886,153.066
46,328,76.162,31,125,935.323,69.189,935.184,69.605,923,57,23,24,28.878,14.462,132.016
47,358,70.788,37,116,972.824,754.103,972.873,754.285,959,742,27,23,30.587,14.902,38.177
48,358,46.156,9,91,217.936,919.684,217.695,920.515,203,910,29,19,30.396,14.996,25.244
49,13894,101.208,0,183,229.535,748.015,230.482,750.555,174,665,110,166,168.084,105.247,77.365
50,5595,119.637,11,208,841.804,53.767,840.642,50.84,805,2,73,103,106.566,66.849,111.318
