 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,4899,89.881,58,128,78.985,246.924,79.738,247.642,39,203,79,87,97.831,63.759,127.953
2,10103,71.973,15,114,304.660,502.116,308.481,499.663,256,433,97,138,140.414,91.612,73.442
3,7099,71.343,27,103,474.541,658.242,474.967,659.940,419,614,111,88,117.907,76.660,28.002
4,5302,76.348,48,104,200.584,786.662,200.529,786.904,149,753,102,67,101.498,66.511,6.890
5,9769,84.170,49,123,1073.076,641.412,1073.650,642.659,1004,596,138,91,138.001,90.132,3.805
6,25328,96.531,39,147,1304.273,515.828,1302.109,515.689,1224,409,160,213,222.287,145.077,112.773
7,13844,80.923,29,125,1790.781,433.144,1792.114,433.437,1731,355,119,156,164.305,107.280,114.152
8,13098,83.266,46,114,1971.550,604.697,1970.952,604.458,1900,541,143,127,159.807,104.357,143.867
9,4440,65.611,37,103,1700.773,502.031,1701.659,504.143,1660,463,81,77,93.293,60.596,138.930
10,5270,76.241,48,118,1703.710,760.709,1703.358,759.939,1653,727,101,67,101.333,66.217,5.196
11,6786,84.952,51,110,1790.943,958.112,1791.300,958.390,1748,903,85,110,114.929,75.178,115.056
12,10528,79.728,16,125,1374.584,759.201,1370.971,759.486,1324,690,101,138,143.604,93.345,110.251
13,2499,88.375,61,118,405.859,978.125,405.706,978.387,380,944,51,67,69.745,45.621,67.046
14,3484,80.605,50,107,682.929,929.061,682.419,929.300,642,901,81,56,82.352,53.866,164.735
15,6023,88.104,35,147,1609.072,876.524,1603.830,874.493,1567,826,83,100,108.031,70.986,120.952
16,4493,87.213,47,127,1167.483,914.632,1168.062,914.726,1132,870,70,88,93.867,60.944,118.007
17,5205,81.032,50,108,1951.697,1120.385,1951.357,1120.381,1901,1087,101,66,100.836,65.723,0.005
18,4398,92.938,45,141,759.376,1242.805,761.396,1244.420,713,1212,92,61,92.807,60.337,7.526
19,2808,72.093,50,102,355.180,1567.455,355.121,1567.167,319,1540,71,54,74.042,48.287,24.661
20,7293,92.736,65,130,808.295,217.334,808.316,218.017,759,169,98,96,99.707,93.130,136.586
21,9038,94.536,29,150,62.777,600.049,64.485,605.699,10,545,105,110,110.951,103.717,117.664
22,31123,82.387,29,139,829.721,639.790,829.854,637.327,731,538,197,203,205.613,192.726,121.057
23,22075,106.261,60,153,1071.488,503.625,1074.927,504.579,986,420,170,167,173.206,162.274,144.105
24,33364,93.049,37,147,1443.510,479.074,1444.434,478.032,1341,374,204,210,212.774,199.650,122.273
25,9642,80.988,38,133,1746.616,307.637,1749.588,305.888,1690,252,113,110,114.450,107.266,144.940
26,15522,98.392,50,148,1198.583,691.877,1200.248,693.177,1126,622,144,139,145.291,136.025,150.371
27,5035,96.674,65,127,1936.369,849.500,1935.464,848.843,1895,809,82,80,82.648,77.567,142.194
28,5277,89.638,44,133,203.736,909.196,200.841,908.107,162,868,83,82,84.760,79.269,139.175
29,7264,107.395,53,157,249.581,1079.066,250.085,1079.876,201,1030,97,97,99.401,93.045,136.082
30,9368,101.873,57,158,183.829,725.552,184.648,722.113,129,670,109,110,112.822,105.722,131.953
31,11776,102.991,48,153,1146.498,1140.396,1146.433,1139.159,1084,1079,124,122,126.637,118.399,142.595
32,12434,108.341,79,150,1700.575,1348.484,1700.859,1348.402,1638,1284,124,129,130.066,121.719,67.462
33,6945,94.976,45,154,67.373,1330.173,67.372,1329.460,19,1283,96,93,97.102,91.065,152.987
34,8945,107.587,81,147,1408.212,1715.870,1408.553,1716.034,1354,1662,108,107,110.406,103.157,135.300
35,6547,114.664,72,146,355.169,1807.668,355.800,1807.383,308,1763,94,89,94.452,88.255,166.857
36,2182,106.384,64,145,143.938,1960.694,142.596,1960.388,117,1934,53,53,54.589,50.893,140.142
37,5788,73.525,40,118,473.045,171.524,471.825,171.733,411,102,124,138,180.096,40.920,48.392
38,2117,35.403,14,53,430.164,612.364,430.656,610.141,398,571,63,82,98.682,27.314,53.980
39,4674,52.339,25,110,1631.911,618.497,1634.076,617.927,1569,575,125,87,146.288,40.681,147.051
40,3680,41.593,13,141,1443.702,765.358,1452.310,770.976,1388,725,110,80,129.596,36.155,145.503
41,3224,40.126,14,69,808.125,399.546,806.470,402.461,771,348,74,103,121.137,33.887,56.271
42,1821,37.991,4,86,98.095,1691.425,96.502,1694.344,76,1658,43,66,71.319,32.510,64.670
43,1836,71.912,41,113,647.645,1429.679,647.964,1429.999,619,1402,57,55,71.669,32.617,43.088
44,2504,45.302,2,101,468.475,1643.928,469.912,1641.968,432,1614,72,59,83.352,38.250,143.859
45,1529,78.353,56,121,535.860,1607.241,536.399,1607.518,511,1580,49,54,64.905,29.994,48.741
46,2074,48.795,17,97,1405.376,959.693,1404.049,961.040,1375,930,60,59,75.824,34.827,136.678
47,2246,60.694,29,140,901.663,1737.231,900.201,1739.664,874,1703,55,68,79.050,36.176,54.080
48,1134,51.676,30,86,1486.353,1899.541,1487.404,1899.194,1464,1877,44,44,55.992,25.787,44.772
49,6478,78.808,48,131,704.235,471.365,706.771,472.905,626,421,156,100,177.911,46.361,148.973
50,4677,69.258,27,126,792.984,1121.971,793.178,1121.522,730,1074,125,95,151.038,39.427,144.158
51,1365,80.976,48,114,64.467,1890.273,64.316,1889.936,38,1869,52,42,59.150,29.382,145.720
52,2200,94.788,50,148,277.117,169.885,277.181,170.347,250,143,54,53,56.411,49.656,135.076
53,5353,56.994,17,109,327.581,304.620,324.220,301.067,287,261,81,86,87.547,77.852,119.840
54,2126,76.715,42,120,584.740,549.461,584.142,548.120,559,522,51,54,55.181,49.055,124.730
55,2122,61.527,14,111,1673.029,394.888,1670.022,390.922,1646,369,54,51,55.133,49.006,147.078
56,5112,75.517,36,135,1587.355,685.678,1587.608,688.545,1545,646,84,79,85.691,75.956,145.623
57,3359,69.207,36,126,1203.316,798.988,1202.171,801.316,1169,766,68,65,69.612,61.438,141.671
58,2830,82.341,46,125,511.465,742.374,510.968,743.731,481,711,60,62,63.752,56.520,124.630
59,1990,73.298,53,109,303.130,773.002,303.710,772.786,279,746,48,54,53.353,47.491,105.133
60,1251,69.166,38,113,136.448,649.012,137.696,649.776,116,628,40,42,42.205,37.740,121.236
61,2373,61.090,29,110,71.961,541.920,71.809,538.760,44,514,55,56,58.339,51.790,47.497
62,2764,66.582,41,113,462.486,921.457,461.701,920.566,433,890,58,62,63.111,55.763,119.193
63,1697,65.105,36,128,486.849,1013.222,488.000,1015.296,464,989,45,48,49.414,43.726,119.767
64,2872,66.874,40,114,580.278,1026.991,579.428,1026.264,550,995,59,64,64.214,56.946,116.065
65,1568,77.811,45,132,655.179,1036.342,656.335,1037.337,633,1012,43,48,47.500,42.030,105.023
66,4715,43.018,3,95,838.916,958.280,836.925,957.738,799,919,79,78,82.332,72.916,138.551
67,4080,79.865,39,141,1053.184,1011.707,1055.152,1014.237,1016,976,74,71,76.786,67.653,142.701
68,3871,77.538,47,111,1267.512,988.871,1267.669,988.626,1232,952,70,73,74.512,66.146,124.504
69,4220,75.348,46,105,1440.421,1066.781,1439.636,1066.667,1403,1030,74,73,77.893,68.980,138.627
70,2988,75.405,52,112,1504.722,1109.604,1504.553,1110.418,1474,1078,61,63,65.308,58.254,126.392
71,4467,77.651,44,128,1621.138,1108.143,1622.664,1107.388,1582,1070,77,76,80.165,70.948,136.382
72,5192,68.200,41,98,2013.925,1199.867,2014.908,1199.177,1975,1156,73,88,89.223,74.092,104.643
73,3689,61.022,35,107,1971.587,1256.696,1973.021,1258.679,1938,1220,66,73,72.737,64.575,104.303
74,2050,68.990,37,118,1573.602,1192.360,1572.929,1194.052,1548,1166,51,52,54.456,47.931,132.540
75,3139,77.306,26,142,1549.241,1265.774,1548.063,1269.331,1517,1234,64,63,67.319,59.370,137.210
76,7088,79.840,26,151,1397.582,1291.888,1399.322,1286.937,1346,1247,102,90,100.827,89.507,0.007
77,3544,90.940,58,138,1411.394,1368.405,1410.852,1370.865,1378,1333,66,70,71.514,63.098,121.391
78,2761,83.753,44,145,1129.665,1227.540,1127.469,1229.716,1100,1196,58,62,63.082,55.727,118.973
79,5037,94.629,53,152,1200.098,1319.364,1200.277,1319.368,1161,1277,77,84,85.097,75.364,110.235
80,1210,82.945,55,125,933.796,1158.783,933.382,1157.874,914,1138,39,41,41.483,37.138,125.906
81,948,91.741,58,133,938.418,1213.850,938.920,1215.401,921,1195,34,37,37.049,32.580,115.085
82,3135,86.893,45,135,464.022,1112.782,462.884,1112.311,431,1082,65,62,66.921,59.647,150.078
83,5036,76.558,49,133,219.010,1016.361,218.894,1017.349,179,975,79,82,85.027,75.412,127.524
84,1305,67.943,34,137,385.846,1163.289,387.856,1165.636,365,1142,41,42,43.435,38.255,135.051
85,2249,84.835,54,142,292.398,1235.178,293.852,1235.888,265,1207,54,56,56.681,50.520,126.309
86,1462,88.362,55,132,140.802,1229.075,140.406,1228.135,120,1206,41,46,45.972,40.492,90.044
87,2579,64.002,21,121,212.823,1320.989,208.642,1320.680,184,1292,57,58,60.679,54.116,129.975
88,2946,67.790,30,104,36.747,1392.801,36.171,1393.854,6,1361,61,63,65.217,57.515,131.281
89,3450,72.391,49,96,558.878,1308.772,558.624,1308.513,524,1276,69,65,70.369,62.423,145.137
90,3544,86.924,62,122,734.823,1386.734,735.350,1386.999,701,1352,66,69,71.358,63.236,120.103
91,6630,79.117,55,116,616.985,1519.960,616.839,1519.627,571,1472,91,95,97.595,86.496,122.167
92,2948,68.844,43,103,845.069,1512.336,845.496,1512.536,813,1481,63,62,65.206,57.563,139.245
93,2942,56.245,27,109,921.530,1291.763,921.708,1290.680,890,1261,62,61,64.870,57.744,138.452
94,1177,61.010,33,117,1041.021,1325.517,1039.575,1324.202,1020,1306,41,38,41.178,36.393,152.216
95,5510,80.112,47,122,1025.606,1483.250,1025.519,1482.095,983,1441,85,84,88.984,78.841,140.141
96,3157,58.856,28,96,1209.369,1421.979,1208.214,1422.687,1177,1389,64,65,67.329,59.701,129.480
97,967,73.774,42,120,1244.625,1558.159,1245.509,1557.609,1227,1540,35,36,37.270,33.035,125.161
98,5745,70.392,26,132,1467.921,1498.476,1464.464,1499.016,1424,1455,87,86,90.782,80.575,136.499
99,4904,92.603,61,145,1608.871,1437.314,1608.688,1437.334,1568,1398,81,78,84.077,74.265,147.487
100,6046,90.119,51,146,1879.779,1415.905,1881.197,1414.818,1835,1372,89,88,93.178,82.616,135.929
101,1707,71.589,34,124,1968.454,1584.205,1968.115,1585.137,1946,1559,45,50,49.482,43.923,113.424
102,3807,79.821,45,133,1774.212,1510.759,1775.926,1508.782,1738,1476,72,69,73.829,65.655,140.560
103,3527,88.921,53,130,1700.723,1567.352,1701.225,1568.037,1666,1533,68,68,71.227,63.048,134.964
104,5873,81.037,32,143,1772.599,1646.971,1773.492,1646.168,1728,1604,89,86,91.726,81.522,143.555
105,1526,104.135,63,148,1229.191,1619.511,1229.130,1618.111,1206,1597,46,44,47.039,41.305,147.151
106,5943,90.030,53,146,1247.590,1697.508,1245.731,1697.727,1202,1654,90,86,92.317,81.966,146.692
107,4615,93.091,51,142,1108.354,1654.596,1108.286,1652.994,1068,1617,80,75,81.468,72.126,146.338
108,3571,100.341,59,141,1011.909,1738.821,1012.837,1738.224,978,1704,67,69,71.596,63.505,130.685
109,1203,104.459,59,143,770.045,1711.257,770.672,1711.537,749,1692,42,38,41.566,36.850,161.079
110,5807,78.899,33,147,693.466,1740.443,689.616,1738.900,649,1697,88,86,91.510,80.797,140.834
111,2826,98.936,74,147,641.564,1815.258,641.360,1814.626,610,1785,62,60,63.701,56.485,144.880
112,3543,87.260,49,149,592.530,1900.979,592.328,1899.250,558,1867,68,68,71.323,63.248,136.034
113,4284,93.257,42,148,428.789,1878.144,431.038,1879.556,390,1842,77,72,78.456,69.524,149.745
114,2387,71.720,30,127,257.225,1948.454,256.714,1949.862,229,1921,56,55,58.626,51.841,137.531
115,1103,119.003,88,150,436.419,1972.973,436.647,1973.075,416,1954,40,37,39.636,35.432,147.887
116,3622,98.987,70,135,650.726,1989.686,649.567,1989.460,615,1956,70,67,72.116,63.948,143.482
117,3138,81.280,46,126,770.081,2017.207,770.753,2016.546,737,1985,65,63,67.220,59.438,141.850
118,3155,80.039,49,127,871.114,1894.915,870.980,1894.088,838,1863,65,63,67.247,59.736,140.691
119,846,78.664,45,111,1158.807,1804.632,1158.974,1804.511,1141,1788,34,33,34.684,31.056,138.527
120,880,93.155,57,141,1184.919,1848.986,1185.569,1850.453,1167,1832,35,33,35.472,31.587,151.995
121,2766,88.921,45,143,1337.963,1804.701,1340.862,1804.003,1307,1775,61,59,63.026,55.878,140.134
122,2320,86.612,55,127,1285.881,1873.523,1285.726,1874.607,1257,1846,57,54,57.696,51.198,147.752
123,6033,79.672,36,141,1616.468,1775.552,1617.659,1777.884,1574,1729,85,92,93.100,82.507,113.794
124,2214,70.382,29,131,1576.654,1965.313,1575.161,1962.546,1550,1938,53,54,56.294,50.076,131.992
125,1437,102.436,59,152,1389.892,1930.267,1388.803,1930.992,1368,1908,43,44,45.357,40.339,131.316
126,1514,65.193,32,121,1875.171,1812.382,1875.052,1815.195,1852,1790,46,44,46.789,41.200,149.169
127,7840,71.845,31,146,1795.572,1954.622,1791.939,1953.743,1744,1905,103,99,106.283,93.921,147.625
128,1631,101.348,66,138,1841.484,1752.516,1840.511,1752.252,1818,1730,47,45,48.320,42.977,146.478
