 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,7629,58.727,33,84,1073.034,1353.117,1073.751,1353.412,1032,1284,82,138,143.965,67.472,68.912
2,10616,78.737,49,109,567.973,1521.473,568.933,1521.094,483,1480,169,83,169.952,79.532,171.636
3,6868,67.978,36,100,771.467,1642.382,771.508,1643.954,727,1580,88,124,137.009,63.825,119.445
4,3172,74.533,46,112,892.363,1226.056,891.826,1226.690,867,1181,50,90,93.196,43.336,72.771
5,6891,70.183,30,105,952.168,1421.997,952.586,1422.714,902,1364,100,115,137.142,63.977,128.747
6,3779,56.103,31,89,1469.584,1296.497,1469.521,1297.035,1420,1269,99,54,101.996,47.174,164.164
7,12020,52.327,25,84,1588.793,1556.642,1588.840,1555.636,1502,1507,174,99,180.933,84.586,161.173
8,12797,57.866,26,88,1541.585,1631.710,1539.337,1632.448,1452,1578,178,107,187.068,87.100,158.867
9,6194,41.541,7,81,1351.574,1593.380,1355.531,1588.876,1299,1543,104,100,130.024,60.654,43.113
10,18940,58.344,15,103,1826.168,1705.151,1823.750,1705.664,1721,1636,210,138,226.881,106.290,154.493
11,6254,68.550,16,105,248.235,1232.241,248.537,1234.265,185,1195,125,74,130.512,61.012,159.405
12,2430,82.905,54,109,425.546,1097.514,425.670,1097.444,390,1069,71,56,81.519,37.954,34.170
13,7727,54.069,23,86,350.567,1408.142,345.842,1405.363,283,1364,135,88,144.969,67.865,155.043
14,7727,54.069,23,86,350.567,1408.142,345.842,1405.363,283,1364,135,88,144.969,67.865,155.043
15,3215,77.294,54,116,76.602,802.078,75.908,802.292,30,778,93,47,93.569,43.748,168.745
16,3222,103.300,77,130,264.876,384.216,265.078,384.033,232,352,65,64,64.349,63.752,102.100
17,3720,79.952,46,118,552.802,434.622,552.953,433.248,518,400,69,69,69.113,68.532,74.689
18,2233,124.486,100,153,515.869,289.325,516.048,289.196,489,262,53,54,53.525,53.118,105.697
19,3692,111.289,79,138,835.952,344.354,835.958,344.227,801,310,69,69,68.910,68.217,81.566
20,6734,97.550,48,128,756.137,717.844,756.262,717.647,709,671,93,93,92.894,92.299,64.907
21,6206,90.579,62,133,72.044,580.044,71.528,580.284,27,535,89,90,89.263,88.522,87.311
22,5776,93.253,50,138,290.817,494.443,292.052,493.680,248,451,86,86,85.980,85.534,65.201
23,3792,73.545,50,107,162.381,1117.369,162.414,1116.628,127,1082,70,70,69.672,69.298,123.551
24,9130,67.434,34,129,1106.717,1152.548,1107.067,1156.333,1052,1098,108,109,108.130,107.506,93.572
25,3277,57.099,37,100,1021.112,1065.364,1022.041,1063.967,988,1032,65,66,64.918,64.272,103.353
26,12135,80.276,38,118,1256.810,1284.193,1255.629,1285.433,1194,1221,125,126,124.814,123.790,114.656
27,8447,89.340,60,131,1862.784,903.066,1862.711,902.651,1811,851,103,104,104.245,103.171,91.441
28,6745,62.125,22,122,1651.666,688.714,1651.918,693.647,1605,642,93,93,93.173,92.173,104.007
29,4226,78.926,55,116,912.399,707.190,911.759,707.078,875,670,74,74,73.642,73.066,72.850
30,6168,74.996,39,128,1036.255,180.610,1036.272,181.825,992,136,88,89,88.918,88.321,108.271
31,4205,71.724,49,98,2009.818,625.970,2009.437,626.148,1973,589,73,74,73.480,72.863,86.228
32,4383,77.296,48,120,1617.983,419.463,1618.000,419.092,1580,381,75,76,75.108,74.302,87.382
33,4815,72.736,35,114,606.272,1140.294,606.500,1138.221,567,1101,78,79,78.781,77.819,71.109
34,23051,62.764,22,108,1307.183,1412.868,1305.552,1412.460,1221,1327,172,171,172.016,170.621,145.624
35,4589,61.832,39,87,1686.884,849.517,1686.797,850.399,1648,811,77,77,76.823,76.056,82.878
36,2627,31.560,5,92,1253.683,1069.777,1254.938,1073.099,1237,1016,33,107,107.281,31.178,94.815
37,5066,41.625,17,77,716.368,1447.995,717.331,1447.295,590,1425,252,45,253.024,25.493,8.281
38,1116,62.930,44,93,274.240,1549.056,272.652,1549.121,214,1540,120,18,119.852,11.856,5.846
39,893,33.447,16,77,32.218,1458.833,32.249,1461.355,26,1405,12,107,106.978,10.628,91.574
40,1948,49.071,30,72,667.643,733.094,667.729,732.868,630,715,74,35,74.076,33.483,6.927
