 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,9918,111.607,28,182,506.038,437.994,505.625,439.246,461,365,89,145,145.327,86.893,97.964
2,2810,99.353,59,161,265.102,294.931,265.651,295.422,231,265,68,60,77.263,46.307,143.477
3,2486,97.459,46,152,190.147,256.922,189.150,256.441,155,232,70,49,72.773,43.495,159.102
4,4734,127.681,57,207,558.102,577.999,558.632,578.245,523,530,69,96,100.063,60.237,66.384
5,906,87.745,40,134,554.121,492.998,555.407,494.258,535,475,37,36,43.703,26.395,136.827
6,6676,128.130,62,185,910.117,820.017,910.958,819.624,852,780,115,79,118.830,71.532,19.711
7,1494,123.370,77,171,804.110,901.010,804.839,901.253,775,883,57,35,56.554,33.636,174.068
8,1872,94.519,41,165,757.200,516.026,757.075,516.505,725,496,63,40,63.119,37.762,11.240
9,891,101.854,47,141,733.613,612.553,734.390,611.765,717,592,32,40,43.440,26.115,59.009
10,2540,106.144,33,170,710.133,652.989,708.948,654.812,681,625,58,56,58.023,55.737,154.536
11,1767,66.933,27,142,406.089,235.957,405.236,237.693,381,212,49,47,48.591,46.301,171.338
12,458,101.961,58,177,86.186,393.044,86.131,393.573,73,381,25,24,24.533,23.770,19.011
13,916,118.953,43,189,83.165,204.012,83.693,203.517,65,187,35,34,34.718,33.593,16.698
14,319,56.574,21,120,205.205,122.986,204.158,121.948,195,112,20,21,20.399,19.911,125.718
15,540,64.630,32,112,242.206,216.007,241.121,216.298,228,203,27,26,26.646,25.803,153.361
16,444,66.318,32,109,206.203,208.005,206.620,208.532,193,196,25,24,24.223,23.338,166.754
17,946,86.088,48,157,409.133,487.020,409.375,487.424,392,469,34,36,35.367,34.057,95.227
18,256,100.410,56,161,373.184,387.988,373.566,387.712,363,379,19,18,18.496,17.623,46.960
19,536,109.330,70,162,339.237,420.994,339.130,421.503,326,407,26,27,26.595,25.661,74.786
20,968,135.108,74,202,333.167,487.950,332.726,487.710,315,469,35,37,36.143,34.100,80.356
21,243,62.461,25,126,452.146,379.953,452.164,378.932,443,371,18,18,18.079,17.113,160.688
22,592,125.944,65,196,652.203,482.003,652.478,483.037,638,467,27,29,28.210,26.720,92.241
23,690,100.387,62,165,388.230,617.967,388.914,618.382,373,602,30,31,30.286,29.008,63.985
24,986,151.243,74,215,436.135,536.042,436.617,536.335,417,518,37,35,36.363,34.524,1.525
25,1161,87.161,36,150,366.116,664.027,365.271,663.943,347,644,38,40,39.199,37.711,112.372
26,702,114.053,48,175,367.194,746.996,367.065,746.773,351,732,31,30,30.476,29.328,169.180
27,1872,125.309,39,226,730.072,863.000,728.106,862.561,705,838,50,49,50.073,47.600,38.849
28,256,114.973,69,164,800.191,793.004,800.305,792.625,791,783,18,19,18.495,17.623,135.942
29,606,101.234,64,145,862.215,724.036,862.058,723.973,848,710,28,28,28.421,27.149,134.711
30,718,60.653,14,118,907.228,382.953,908.401,383.077,891,367,31,31,31.229,29.274,134.807
31,1189,114.683,60,194,313.147,888.010,313.150,889.219,293,868,40,39,39.735,38.100,163.031
32,769,123.382,78,186,287.189,945.984,287.477,946.532,271,929,31,33,32.211,30.397,94.297
33,702,161.717,90,226,407.194,930.996,407.099,931.613,391,916,31,30,30.476,29.328,169.180
34,500,126.760,58,195,759.716,972.034,759.035,972.469,746,959,26,26,25.895,24.584,27.657
35,246,96.350,63,139,803.167,560.988,803.232,560.555,794,551,18,19,18.095,17.309,88.132
36,801,36.320,2,123,20.076,395.061,21.395,393.614,0,374,39,41,51.934,19.638,46.363
37,261,40.364,19,81,231.090,348.167,230.835,348.716,223,333,15,29,29.674,11.199,70.794
38,124,80.363,61,107,150.202,868.976,149.916,868.806,140,865,20,8,20.052,7.874,173.891
39,267,96.064,51,147,629.631,173.354,629.960,174.187,620,163,18,21,22.351,15.210,120.384
40,312,93.702,64,133,600.212,175.077,600.444,174.935,589,164,22,21,23.965,16.577,41.936
41,311,80.045,40,124,396.635,133.355,396.612,133.177,387,121,18,24,23.753,16.671,106.578
42,104,49.221,22,76,188.625,359.510,188.264,359.333,181,354,14,11,13.949,9.493,156.812
