 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,2257,143.812,100,201,435.945,930.166,435.922,930.334,410,901,51,58,60.035,47.867,119.654
2,1448,131.505,85,176,56.749,365.431,56.582,365.115,36,341,40,49,50.598,36.438,115.801
3,1692,139.742,67,203,616.284,312.041,616.416,312.337,593,287,46,50,54.616,39.445,128.656
4,788,114.901,74,159,949.918,187.614,949.362,187.954,935,169,29,36,37.247,26.937,114.624
5,1812,139.725,94,197,838.445,924.226,838.172,923.883,816,897,44,54,56.410,40.899,115.508
6,820,128.050,96,172,968.727,786.171,968.891,786.004,954,767,29,38,38.099,27.403,111.935
7,1199,123.638,52,174,439.176,279.402,439.840,280.239,420,258,38,43,45.997,33.189,125.133
8,1031,123.691,71,167,791.638,777.213,791.856,777.406,771,760,41,34,42.642,30.785,152.508
9,941,121.753,67,187,936.106,410.663,935.797,411.243,921,390,30,41,40.991,29.229,77.926
10,958,119.930,83,178,516.048,261.875,515.986,261.411,496,245,39,33,41.358,29.493,28.231
11,1642,149.873,71,207,558.904,825.915,559.033,826.163,532,805,53,41,53.802,38.858,15.717
12,985,156.297,66,233,369.900,868.730,369.523,868.013,347,853,45,31,45.359,27.649,18.081
13,1214,161.693,104,224,565.423,929.208,565.462,930.000,541,912,48,34,50.285,30.739,21.236
14,1546,170.395,90,237,630.262,922.714,630.697,921.269,611,894,38,56,56.604,34.776,105.888
15,747,174.980,108,227,772.002,967.464,771.028,967.813,755,951,33,33,39.397,24.142,44.084
16,823,121.262,93,170,444.680,790.767,444.655,790.874,424,776,40,29,41.060,25.520,159.618
17,2054,163.205,124,221,345.767,57.164,345.923,57.374,320,31,51,52,51.208,51.070,179.134
18,2115,158.950,120,210,152.132,118.269,152.172,118.131,126,92,52,52,51.967,51.820,8.450
19,1058,125.066,90,167,16.426,180.002,16.398,179.867,0,161,34,38,37.945,35.501,91.472
20,1365,130.927,86,202,71.575,249.512,71.279,248.387,50,228,42,42,41.751,41.627,107.807
21,1446,166.322,131,200,426.313,53.917,426.171,54.022,404,32,44,43,43.086,42.730,136.895
22,917,165.245,125,208,523.897,57.200,523.909,57.082,506,40,35,34,34.338,34.002,57.234
23,1156,168.320,129,203,447.177,198.144,447.230,198.057,427,178,39,39,38.575,38.156,129.160
24,1178,187.202,152,222,395.795,467.133,395.780,467.168,376,447,39,40,38.804,38.653,149.619
25,2259,152.150,61,207,841.519,506.143,842.921,506.219,814,479,54,54,53.931,53.332,70.965
