 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1639,128.015,90,171,226.628,291.252,226.861,291.672,203,266,48,51,59.554,35.041,131.208
2,3506,110.374,57,169,301.110,357.329,299.640,356.181,258,329,86,57,90.157,49.513,158.707
3,545,102.343,61,125,268.333,376.302,268.262,376.648,253,363,30,27,35.649,19.465,141.184
4,2222,146.198,89,190,488.941,203.503,489.167,203.489,454,182,70,44,72.001,39.293,162.928
5,580,126.364,89,162,498.545,266.157,498.184,266.562,485,250,27,32,36.655,20.147,54.629
6,727,118.360,86,150,185.281,506.926,185.282,506.999,168,491,34,32,41.056,22.546,138.472
7,1952,100.589,35,137,74.760,493.463,74.621,492.266,51,463,47,61,67.699,36.712,121.122
8,601,112.065,65,148,465.104,479.244,465.596,479.308,450,464,30,30,37.394,20.464,46.175
9,555,120.874,95,145,376.143,496.871,376.130,496.942,363,481,26,32,36.062,19.595,124.401
10,469,75.569,49,106,56.353,573.986,56.799,574.381,45,559,23,30,33.072,18.056,118.452
11,622,85.289,52,117,33.021,556.592,32.953,556.494,19,540,28,33,38.054,20.811,125.591
12,373,109.761,79,132,155.830,757.784,155.800,757.829,145,745,21,26,29.169,16.282,124.872
13,286,109.741,89,148,486.717,687.371,486.721,687.410,476,676,22,23,28.304,12.865,131.393
14,248,102.730,82,141,317.274,763.665,317.249,763.750,308,753,18,21,24.888,12.687,51.682
15,377,91.459,64,115,181.723,650.060,182.123,650.223,172,636,20,29,30.587,15.693,115.295
16,387,121.868,99,166,475.477,931.862,475.678,931.979,461,922,29,20,30.965,15.913,153.521
17,235,120.196,93,169,399.023,964.028,398.875,963.707,390,954,18,20,24.153,12.388,128.669
18,182,98.363,81,133,261.538,988.604,261.361,988.518,253,980,18,18,21.391,10.833,133.438
19,442,104.405,78,140,226.830,748.575,226.590,748.497,213,736,27,25,33.186,16.958,138.501
20,196,91.398,77,111,187.469,694.735,187.385,694.773,180,685,15,20,22.085,11.300,120.316
21,281,122.089,98,153,212.593,629.489,212.692,629.505,203,618,19,23,26.777,13.361,124.454
22,1293,131.674,57,179,266.949,480.017,265.983,480.367,245,457,44,46,56.596,29.088,47.708
23,248,113.258,94,151,429.581,488.468,429.634,488.419,420,478,19,21,25.059,12.601,49.813
24,432,116.322,82,141,462.389,377.706,462.346,377.922,450,364,24,29,33.089,16.623,128.651
25,417,113.309,85,136,440.711,308.526,440.551,308.696,431,293,19,31,32.368,16.403,68.637
26,1560,156.876,112,206,861.791,73.932,861.564,74.537,835,51,54,46,62.667,31.695,37.820
27,895,128.741,102,154,719.766,132.379,719.733,132.470,698,117,44,31,47.282,24.101,152.211
28,720,136.410,92,175,674.378,101.761,674.337,101.687,660,83,29,38,42.322,21.661,121.245
29,893,129.120,96,173,688.657,160.937,688.551,161.031,670,142,37,38,47.439,23.968,133.799
30,2566,148.682,103,193,580.750,148.727,580.910,149.096,558,110,46,78,80.012,40.833,107.002
31,885,134.007,98,165,639.416,161.960,639.412,162.005,622,142,35,40,47.105,23.921,51.793
32,390,114.513,89,139,616.867,351.864,616.829,351.873,604,340,26,24,30.861,16.090,137.898
33,580,138.672,106,170,678.760,351.403,678.961,351.612,663,337,32,29,38.113,19.376,138.167
34,396,118.326,91,143,615.207,313.157,615.229,313.163,605,299,20,29,31.169,16.176,117.463
35,298,126.799,105,173,779.352,458.312,779.157,458.070,768,448,23,22,27.296,13.901,137.761
36,1572,149.407,110,198,918.008,17.503,918.267,17.107,894,0,54,40,55.627,35.981,28.362
37,497,138.672,106,166,592.808,238.196,592.996,238.376,580,224,25,29,32.967,19.195,127.503
38,662,132.305,109,161,559.373,531.639,559.439,531.650,542,518,35,28,37.663,22.380,148.356
39,654,124.008,68,169,592.960,453.032,593.154,452.432,576,439,34,28,37.443,22.239,34.878
40,456,126.980,93,156,936.702,160.592,936.680,160.181,926,146,22,30,31.234,18.589,114.051
41,477,120.505,88,155,586.791,585.420,586.745,585.475,575,571,24,29,31.830,19.081,121.735
42,556,125.412,100,152,602.853,879.572,602.711,879.376,590,864,26,31,34.508,20.515,122.081
43,675,125.887,85,179,834.404,712.707,833.944,712.263,820,696,29,34,38.103,22.556,125.772
44,335,137.896,110,174,556.184,970.067,556.259,970.010,544,960,24,21,27.070,15.757,33.555
45,466,142.092,115,166,865.015,683.893,864.980,683.878,850,673,30,22,31.632,18.757,26.362
46,247,113.109,91,134,641.970,417.893,641.944,417.862,633,408,18,20,22.986,13.682,127.448
47,326,125.310,101,166,706.227,456.356,706.087,456.168,694,447,24,19,26.260,15.807,149.621
48,240,124.121,106,147,671.654,459.092,671.666,459.057,662,450,19,18,22.702,13.461,40.985
49,410,125.251,101,153,978.788,652.488,978.760,652.425,967,640,24,26,29.543,17.670,129.445
50,312,133.500,103,182,729.849,658.904,729.875,658.479,717,651,26,17,25.607,15.513,167.414
51,271,109.303,74,140,868.057,491.699,868.232,491.833,859,481,19,22,24.158,14.283,124.288
52,374,159.524,128,217,833.765,883.468,833.485,883.452,823,871,21,25,28.490,16.714,124.277
53,221,94.520,77,119,99.767,931.437,99.795,931.325,91,922,17,19,21.665,12.988,49.793
54,296,98.868,74,127,113.757,969.014,113.733,969.020,103,959,22,20,25.153,14.984,138.002
55,324,94.407,69,134,99.182,1006.475,99.031,1006.663,89,995,20,23,26.434,15.606,125.985
56,376,98.721,73,121,118.694,622.553,118.870,622.639,107,611,24,23,28.336,16.895,134.478
57,370,101.397,61,126,225.259,555.878,225.803,556.132,212,546,26,20,28.298,16.648,151.079
58,175,106.589,87,129,498.677,426.054,498.594,425.942,491,418,15,16,19.129,11.648,130.941
59,310,105.719,76,128,418.487,649.932,418.459,649.931,407,640,23,20,25.711,15.352,36.651
60,351,119.088,98,138,294.865,1003.113,294.866,1003.152,281,995,27,16,27.365,16.331,4.659
61,245,130.298,110,158,688.080,960.855,688.110,960.880,678,952,20,18,22.908,13.617,38.397
62,339,121.938,85,164,718.816,98.698,719.360,98.210,707,88,23,21,27.024,15.972,38.918
63,245,127.555,101,150,558.324,1012.794,558.246,1012.802,548,1004,21,18,23.015,13.554,35.220
64,319,110.028,83,140,525.707,339.008,525.692,339.133,515,328,21,22,26.233,15.483,132.394
65,306,133.180,112,164,964.121,768.176,964.020,768.071,954,757,20,22,25.550,15.249,51.089
66,206,147.408,122,167,882.112,773.126,882.319,772.973,873,765,18,17,20.817,12.600,39.165
67,224,127.058,103,176,736,778.223,735.904,778.115,727,769,18,18,21.848,13.054,45.987
68,187,128.278,105,160,747.045,962.425,746.923,962.231,739,954,16,17,20.278,11.741,131.418
69,376,102.779,77,142,342.856,534.750,342.907,534.922,331,523,23,23,28.274,16.932,44.963
70,564,70.585,32,114,396.688,228.752,397.067,226.649,388,206,18,45,45.679,15.721,80.210
71,532,87.216,69,128,400.055,325.062,399.953,324.938,392,303,16,44,44.000,15.394,83.460
72,351,82.376,58,164,424.315,422.061,424.279,422.722,418,404,13,36,35.955,12.430,86.785
73,456,94.526,64,133,379.114,436.542,379.123,436.454,372,416,14,41,40.810,14.227,90.704
74,595,61.835,31,111,184.791,410.942,184.558,410.711,153,405,63,12,62.723,12.078,179.475
75,597,79.749,38,111,136.890,352.480,136.999,349.837,132,313,11,79,78.708,9.658,88.113
76,286,73.783,32,101,189.965,430.462,189.909,431.433,184,415,12,31,30.927,11.775,86.404
77,170,78.088,60,143,295.606,407,295.578,406.703,291,395,9,24,23.795,9.096,90.000
78,303,67.799,43,119,272.203,448.068,271.980,448.144,266,432,12,32,32.251,11.962,84.794
79,189,76.307,59,110,199.717,793.114,199.442,792.976,187,788,26,11,25.864,9.304,169.787
80,232,67.022,43,95,198.250,966.125,198.672,965.904,184,961,28,11,28.648,10.311,1.005
81,250,77.736,57,123,399.812,904.544,399.815,904.592,385,899,29,12,28.933,11.002,175.554
82,450,99.947,81,135,838.518,161.431,838.480,161.255,831,142,15,39,38.929,14.718,85.609
83,405,105.760,69,192,867.006,215.465,866.828,215.986,860,197,15,37,36.871,13.985,92.068
84,304,97.681,71,128,903.289,272.516,903.403,272.249,885,267,36,12,35.968,10.761,175.314
85,188,100.936,76,157,748.649,411.926,748.592,411.818,744,398,9,28,28.234,8.478,97.974
86,243,94.938,70,144,863.257,437.854,863.039,437.692,858,422,11,32,32.468,9.529,97.853
87,127,101.591,77,162,846.642,456.736,846.184,456.608,838,452,18,10,17.123,9.444,171.347
88,531,99.089,68,165,640.839,113.988,640.193,113.754,619,106,43,16,42.948,15.742,5.705
89,269,86.524,60,144,1000.664,35.500,1000.614,34.526,995,20,11,31,30.749,11.139,90.000
90,225,103.973,80,133,919.313,515.909,919.290,515.655,914,502,11,28,27.985,10.237,96.760
91,387,95.713,63,157,716.875,720.448,716.646,720.059,710,702,14,37,36.955,13.333,94.774
92,223,107.435,84,169,948.195,842.841,947.987,842.874,943,829,10,28,28.194,10.071,94.362
93,209,102.928,80,184,801.098,938.371,801.114,938.724,796,925,10,27,26.931,9.881,94.555
94,140,85.086,74,111,640.821,538.879,640.608,538.878,630,534,22,10,21.885,8.145,162.845
95,251,92.833,70,167,541.839,594.898,541.121,594.603,527,589,30,13,29.698,10.761,168.957
96,209,98.483,81,162,679.811,436.978,680.329,436.959,666,432,27,10,26.908,9.889,175.444
97,235,100.302,83,140,951.709,224.177,951.684,224.201,937,219,29,10,29.000,10.318,177.768
98,137,83.445,63,124,936.201,207.923,936.177,208.236,932,197,8,22,22.379,7.795,97.506
99,222,78.468,53,117,502.230,327.090,502.020,326.945,488,322,28,11,27.997,10.096,175.404
100,237,76.177,51,114,477.753,365.167,478.236,364.923,463,360,29,11,29.300,10.299,179.796
