 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1277,129.556,63,180,377.677,392.943,378.670,393.560,359,370,37,46,46.823,34.725,104.732
2,1199,106.195,57,171,267.031,254.686,267.220,255.236,251,228,31,53,52.161,29.267,80.240
3,3119,139.761,38,198,391.119,28.335,391.399,27.628,362,0,59,63,67.136,59.152,65.561
4,858,61.563,33,104,22.056,455.330,22.080,455.551,4,438,35,35,40.053,27.275,45.047
5,914,84.637,42,132,89.604,551.916,89.918,551.418,71,534,37,35,41.378,28.124,38.991
6,484,66.740,29,137,172.064,578.829,170.634,578.860,156,568,31,21,30.145,20.443,10.148
7,1862,95.649,31,165,667.801,169.141,666.759,169.025,640,145,55,48,60.060,39.473,35.892
8,365,88.493,48,120,438.207,240.538,438.278,240.716,428,227,19,27,26.356,17.633,104.635
9,928,96.476,56,136,255.441,129.307,255.573,129.431,242,105,26,48,47.723,24.759,85.488
10,397,63.882,27,129,312.145,521.790,312.234,521.663,301,508,22,27,29.606,17.073,55.040
11,3139,119.686,50,180,238.116,664.416,237.728,663.226,210,627,55,75,76.157,52.479,105.403
12,2775,106.708,21,182,75.502,639.369,77.101,638.151,39,614,72,50,71.507,49.411,8.342
13,877,69.530,22,124,148.144,841.436,147.619,840.170,131,823,34,36,40.087,27.855,130.535
14,649,81.501,15,129,132.138,790.509,133.036,790.974,117,775,29,31,34.891,23.684,129.073
15,1324,125.477,71,198,867.825,403.952,868.102,404.082,849,380,37,48,49.481,34.069,70.064
16,606,102.974,59,164,912.295,251.573,911.986,252.377,897,236,29,30,33.490,23.039,47.330
17,619,84.732,42,137,574.007,525.516,573.617,525.937,556,513,35,24,33.986,23.190,169.242
18,762,118.862,46,182,527.514,676.096,527.383,675.455,516,653,22,46,45.153,21.487,86.972
19,3537,137.256,38,204,602.687,764.133,602.677,764.285,559,737,87,54,88.495,50.889,13.669
20,3246,135.608,60,211,313.945,721.671,313.923,721.842,288,680,52,83,84.608,48.848,104.152
21,1063,98.594,46,156,644.628,643.211,645.437,641.891,629,619,31,48,48.381,27.975,71.206
22,2006,106.439,40,176,649.086,385.226,649.167,384.286,625,358,48,54,55.873,45.713,63.606
23,1561,72.438,11,161,305.617,302.385,303.930,300.890,283,278,44,48,49.419,40.218,122.827
24,1603,130.648,71,186,925.043,967.302,924.344,967.719,907,929,35,76,78.455,26.015,107.251
25,3460,135.219,23,208,683.208,910.067,682.796,909.815,645,879,75,62,80.008,55.062,29.931
26,691,101.019,62,151,764.208,735.899,764.694,735.629,746,722,35,27,35.624,24.697,20.950
27,1473,68.473,20,112,386.030,959.036,385.671,958.880,364,936,44,46,52.309,35.854,50.241
28,603,83.579,48,116,310.225,917.271,310.275,917.291,297,901,25,32,33.289,23.064,68.559
29,1371,93.910,42,155,281.326,1007.744,281.505,1008.085,260,986,46,38,47.527,36.728,157.149
30,1805,88.203,25,142,153.164,867.626,152.629,867.655,117,845,71,45,77.447,29.675,153.191
31,1576,106.809,54,153,227.098,915.178,226.699,915.544,204,884,46,62,72.319,27.747,123.722
32,1444,132.394,89,181,976.448,361.415,976.586,361.286,957,334,38,54,56.446,32.572,113.872
33,1724,111.169,64,168,735.426,44.434,734.873,44.532,705,17,60,54,72.854,30.130,40.702
