 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,3590,152.272,82,205,531.151,814.006,531.390,814.326,497,778,68,71,78.160,58.481,50.292
2,988,150.522,103,189,620.167,865.007,619.603,865.503,602,846,36,37,41.163,30.561,47.211
3,870,164.271,134,204,509.154,923.974,509.157,923.798,493,905,31,38,38.657,28.655,69.878
4,2253,135.606,67,183,206.131,579.051,206.749,578.741,176,554,60,50,61.785,46.429,24.660
5,2258,112.613,78,146,586.137,548.995,586.126,548.969,541,530,89,37,89.889,31.983,11.564
6,2025,129.809,74,171,147.193,709.001,148.506,708.143,109,684,76,50,85.329,30.216,29.969
7,4558,149.920,64,222,637.104,958.062,636.359,957.800,600,917,74,82,87.784,66.110,124.652
8,891,132.412,97,173,667.682,831.002,667.740,831.137,650,813,35,35,39.116,29.002,45.011
9,639,124.962,75,169,733.786,808.966,733.359,808.878,716,796,35,25,35.581,22.866,163.686
10,895,153.970,102,204,733.235,979.636,732.936,979.101,712,965,41,29,41.676,27.343,160.776
11,1142,145.376,100,188,1007.722,979.604,1007.741,979.902,990,954,34,50,53.389,27.235,115.823
12,363,101.774,79,126,773.032,603.453,772.929,603.553,758,594,29,19,30.062,15.374,156.114
13,845,79.916,37,118,667.075,482.494,666.302,481.862,651,462,32,41,45.895,23.442,121.808
14,1056,85.227,37,137,663.653,492.483,662.171,493.689,639,476,49,32,51.584,26.065,23.590
15,1433,96.867,51,151,940.122,506.472,941.075,507.607,920,479,39,55,59.740,30.541,117.624
16,1945,96.980,55,146,995.106,552.108,994.922,553.497,976,517,38,69,69.407,35.680,78.093
17,394,102.030,78,124,786.739,360.013,786.925,359.897,770,351,32,17,31.748,15.801,10.221
18,711,106.378,75,140,775.105,467.943,775.201,468.010,761,448,27,40,42.142,21.482,115.094
19,658,104.970,52,143,576.597,236.666,577.368,236.432,556,225,40,22,40.574,20.648,9.239
20,817,108.520,77,134,187.144,438.987,186.777,438.942,169,420,35,38,45.246,22.991,131.213
21,907,108.767,58,156,284.182,723.003,283.922,721.635,267,704,34,38,41.962,27.521,55.016
22,1252,65.185,29,96,512.082,65.975,512.166,64.891,495,41,34,49,48.410,32.929,80.770
23,576,92.910,60,139,548.201,312.231,548.627,312.179,534,298,28,29,33.061,22.183,132.730
24,682,83.701,58,126,811.243,240.699,810.693,240.582,793,228,36,25,36.086,24.063,178.464
25,759,103.069,75,149,279.223,256.530,279.095,256.440,256,243,45,27,47.639,20.286,156.219
26,367,87.515,38,124,314.222,298.947,315.824,299.602,297,290,33,17,33.520,13.940,163.317
27,1141,102.759,48,149,170.172,228.663,169.202,228.898,142,213,56,31,58.798,24.708,158.854
28,1217,98.853,35,147,454.779,568.716,454.777,570.811,436,546,37,45,47.632,32.532,116.042
29,1020,90.093,38,130,573.625,697.230,575.745,695.763,550,676,46,42,57.768,22.481,41.940
30,2574,118.458,57,170,13.928,372.970,14.152,371.956,0,293,32,134,118.061,27.760,99.082
31,901,74.246,39,136,529.297,176.426,529.391,175.917,503,153,52,47,67.867,16.903,137.933
32,198,79.045,56,117,348.136,348.859,348.209,349.229,339,338,18,21,24.423,10.322,49.548
33,1183,70.593,35,124,670.095,218.055,669.166,218.028,647,194,45,48,59.421,25.349,47.954
34,1818,90.573,50,157,410.015,433.837,410.810,434.516,378,391,63,85,103.263,22.416,125.630
35,2117,117.272,58,171,463.182,781.892,465.497,784.177,415,733,96,98,134.314,20.068,134.445
36,632,102.896,69,184,101.180,793.973,100.041,792.809,84,778,33,32,41.053,19.601,135.948
37,2074,145.530,112,198,763.081,746.998,763.122,747.134,737,721,52,52,51.388,51.387,91.356
38,1432,94.854,54,152,880.564,554.013,880.961,554.121,859,532,43,43,42.870,42.531,150.151
39,517,110.215,84,145,972.210,616.566,972.371,616.811,959,603,26,26,25.930,25.386,4.715
40,2657,140.983,75,199,236.142,990.014,235.262,989.596,207,960,58,59,59.134,57.209,59.530
41,1107,121.056,73,175,372.135,515.037,371.484,514.116,353,495,38,39,38.112,36.982,81.404
42,670,85.633,56,108,316.700,87.958,316.767,87.789,301,73,30,30,29.763,28.662,143.357
43,688,78.551,35,120,153.250,290.000,153.305,288.921,138,275,30,30,29.829,29.367,0.000
44,1113,77.171,16,155,16.268,179.965,15.610,179.806,0,160,35,39,39.368,35.997,83.983
45,320,68.091,33,103,79.216,109.044,79.003,109.276,68,98,21,21,20.416,19.957,61.647
46,187,67.738,43,109,231.607,74.570,231.408,74.503,223,66,16,16,15.502,15.359,171.498
47,406,75.342,40,110,212.707,59.520,212.873,59.171,201,48,23,23,23.085,22.393,43.325
48,149,71.510,50,91,212.735,34.587,212.876,34.464,205,27,15,14,14.166,13.392,144.165
49,470,74.289,38,124,246.200,23.502,246.231,23.893,233,11,25,25,24.778,24.151,120.042
50,247,89.028,61,120,286.160,40.957,285.921,40.892,277,32,18,18,18.046,17.428,149.240
51,144,99.069,75,133,266.229,53.500,266.301,53.414,259,46,14,14,13.817,13.269,4.361E-13
52,1133,58.808,0,117,372.150,83.005,371.582,82.828,353,64,38,38,38.534,37.436,144.902
53,889,76.364,41,142,328.737,196.985,328.449,197.569,311,180,34,34,33.711,33.577,101.528
54,149,68.987,45,100,359.144,196.473,359.342,196.635,352,189,14,14,14.142,13.415,173.042
55,316,105.415,65,158,458.171,190.000,458.295,189.712,448,180,20,20,20.064,20.053,90.000
56,442,72.054,42,113,475.231,115.495,475.037,115.987,463,103,24,24,24.024,23.425,9.842
57,555,57.359,31,91,644.900,168.675,644.772,168.053,631,155,27,27,26.618,26.547,178.168
58,1013,55.121,15,104,694.938,54.685,695.625,55.728,676,36,37,37,35.937,35.891,110.862
59,619,76.011,50,110,701.526,131.952,701.623,131.837,687,117,28,29,28.389,27.762,127.364
60,315,109.314,63,179,567.497,137.986,567.414,138.555,557,128,20,20,20.181,19.873,99.709
61,224,110.143,55,168,622.848,202.000,622.355,202.326,614,193,17,17,17.132,16.647,0.000
62,708,87.815,20,160,464.246,365.236,463.903,365.386,449,350,30,30,30.047,30.002,124.939
63,363,100.273,62,171,455.627,316.029,456.334,316.210,444,305,22,22,21.667,21.331,86.103
64,494,66.126,23,141,247.583,320.613,247.281,318.943,234,308,26,25,25.134,25.025,160.304
65,376,75.157,47,109,224.894,336.742,224.754,337.099,213,325,23,23,21.893,21.867,179.613
66,183,88.601,63,119,233.587,358.025,233.751,358.035,225,350,16,16,15.352,15.178,31.899
67,280,66.750,41,96,359.486,429.354,360.060,429.363,349,419,20,20,18.919,18.844,154.277
68,388,76.972,41,133,351.479,407.982,350.939,407.129,335,399,32,18,33.624,14.692,161.067
69,135,101.481,74,144,291.478,212.626,291.642,212.556,281,207,20,11,19.861,8.654,159.188
70,224,81.531,65,125,256.897,184.518,257.015,184.455,246,175,21,19,25.518,11.177,137.078
71,293,92.597,75,132,250.998,442.695,251.408,442.533,236,435,29,15,29.086,12.826,164.433
72,360,82.814,44,119,166.172,475.369,166.654,474.675,155,464,22,22,21.502,21.317,6.583
73,426,102.303,64,161,132.249,480.002,131.650,480.279,120,468,24,24,23.300,23.279,89.459
