 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1687,80.340,21,171,49.020,327.215,49.165,326.496,27,301,43,52,54.098,39.705,114.713
2,663,113.207,52,173,901.678,186.672,901.936,187.051,890,167,23,39,39.755,21.234,74.997
3,925,118.137,74,180,947.449,806.255,947.597,806.505,932,786,31,40,41.159,28.614,70.055
4,2084,124.737,65,195,997.010,833.395,997.291,833.590,975,802,43,62,61.921,42.852,91.960
5,1366,127.543,34,201,867.570,746.481,867.395,747.570,848,722,39,48,49.966,34.809,64.032
6,1439,82.023,32,132,763.913,896.515,764.494,896.577,740,875,47,43,51.480,35.590,37.491
7,620,89.982,31,144,64.008,897.758,64.358,898.774,49,882,29,31,33.809,23.349,50.104
8,967,83.810,15,157,317.079,362.511,317.367,362.227,296,343,41,38,48.310,25.486,41.799
9,1244,74.492,12,144,458.070,663.951,458.165,665.119,434,643,47,42,54.853,28.876,140.718
10,254,84.142,38,124,621.661,428.173,621.480,428.352,610,420,23,16,24.553,13.172,152.756
11,833,92.812,44,166,885.008,924.265,885.596,922.171,869,906,31,36,38.207,27.759,58.040
12,604,80.874,36,137,238.432,514.518,238.207,514.490,226,498,24,33,32.601,23.589,99.724
13,464,89.013,30,164,153.429,675.575,152.798,676.629,140,663,26,24,28.421,20.787,34.714
14,591,80.120,33,166,130.931,705.754,130.175,705.029,118,690,25,32,32.327,23.277,73.424
15,425,47.252,21,85,80.065,685.321,79.780,685.559,67,673,25,24,27.270,19.843,41.108
16,515,122.901,73,173,640.279,59.914,640.279,60.250,624,45,31,29,37.124,17.663,41.203
17,279,74.846,46,115,880.493,239.726,880.409,239.818,871,229,19,21,23.298,15.247,52.138
18,606,101.365,52,148,835.452,699.488,835.592,699.993,823,682,24,34,33.897,22.763,78.629
19,380,70.679,33,120,208.200,289.155,207.706,289.447,197,278,22,22,22.112,21.881,59.313
20,189,69.862,43,104,105.050,370.892,105.064,370.894,97,363,16,16,15.613,15.413,42.763
21,399,100.744,36,164,836.728,296.989,836.485,297.167,825,285,23,23,22.726,22.354,179.654
22,540,72.885,24,140,579.867,421.124,579.861,422.095,566,408,27,26,26.393,26.050,41.563
23,192,70.807,41,109,805.172,355.521,804.662,355.405,797,347,16,16,15.859,15.415,162.821
24,1613,102.936,31,183,446.985,848.197,446.537,848.511,424,825,46,46,45.416,45.221,26.787
25,931,120.206,52,193,214.617,858.494,214.242,857.834,197,841,35,35,34.500,34.359,145.196
26,262,89.824,51,155,188.221,990.511,188.012,990.945,178,981,19,19,18.435,18.095,67.101
27,1174,95.371,44,145,487.607,935.124,487.368,935.745,468,915,39,39,38.816,38.510,13.691
28,746,89.567,54,143,485.109,593.771,484.823,594.579,469,578,31,31,30.986,30.654,105.707
29,525,75.528,30,139,467.790,516.498,467.426,516.070,454,503,27,26,25.930,25.779,2.604
30,136,43.412,17,72,799.309,390.118,799.799,389.937,789,382,20,16,24.301,7.126,141.622
31,656,89.883,25,164,955.119,157.271,955.559,157.126,937,134,35,46,54.004,15.466,53.572
32,631,122.983,64,233,1004.912,41.191,1006.194,42.414,985,21,39,40,52.864,15.198,132.805
33,317,68.262,49,102,201.825,86.210,201.941,86.536,190,73,23,26,29.859,13.518,130.092
34,486,97.776,44,157,38.835,111.428,39.320,112.249,25,95,27,32,37.453,16.522,128.267
35,412,49.985,6,177,189.575,595.216,190.079,594.012,176,581,26,28,34.563,15.178,48.020
36,462,65.511,23,136,57.496,737.390,58.115,737.806,43,722,28,30,36.509,16.112,132.424
37,630,69.621,34,114,266.151,1005.422,266.262,1004.832,246,987,39,37,50.987,15.732,42.982
38,312,83.545,40,174,369.821,302.692,369.962,302.254,361,289,17,27,26.968,14.731,73.923
39,61,55.787,40,83,794.730,498.959,794.591,498.646,790,494,9,10,12.056,6.442,129.531
40,86,68.209,44,127,781.209,544.233,781.159,544.048,777,537,8,14,13.819,7.924,93.898
41,376,97.059,46,171,816.920,539.731,817.124,538.439,805,528,23,23,21.926,21.834,145.673
42,185,111.708,42,194,787.122,557.230,787.072,556.936,780,548,14,18,17.373,13.558,73.134
43,345,63.446,26,154,769.126,664.030,768.588,662.642,758,653,22,22,21.017,20.901,3.574
44,127,83.567,52,140,903.083,745.705,902.679,746.237,896,739,13,13,13.078,12.364,70.784
45,145,66.648,18,121,655.093,665.921,654.935,665.992,648,659,14,14,13.753,13.424,128.514
46,187,60.620,30,109,494.725,773.463,494.476,773.228,486,765,16,16,15.520,15.341,4.826
47,342,65.003,26,132,512.173,857.731,513.200,857.275,501,847,21,21,21.088,20.649,79.553
48,155,62.581,29,100,578.332,966.758,578.221,966.827,571,959,14,15,14.075,14.021,146.976
49,95,84.463,26,160,866.405,812.668,865.768,812.042,860,807,12,11,11.092,10.905,10.718
50,136,66.353,32,142,157.801,48.331,157.902,47.804,151,41,13,14,13.230,13.089,165.021
51,96,50.417,31,71,289.271,159.729,289.115,159.871,283,154,12,11,11.366,10.754,45.000
52,191,87.058,42,160,398.809,10.322,399.268,10.094,390,2,17,16,15.772,15.419,75.281
53,97,69.206,38,122,12.325,906.253,12.760,906.164,6,900,12,12,11.366,10.866,145.323
54,107,92.495,46,163,401.995,759.893,401.747,759.401,396,754,12,12,11.975,11.376,132.950
55,172,64.006,35,111,344.651,920.331,344.640,920.211,337,912,15,16,14.869,14.728,125.912
56,142,87.092,65,117,829.035,855.303,828.832,855.107,822,848,14,14,13.665,13.231,7.766
57,90,79.244,41,144,505.589,324.633,505.851,324.647,500,319,11,11,10.859,10.553,155.885
58,221,83.706,50,122,854.115,567.423,854.207,567.150,845,558,17,18,17.099,16.456,94.702
59,264,78.053,44,148,1001.049,694.867,1001.160,694.091,991,685,19,19,18.380,18.288,178.239
60,45,70.289,49,91,775.500,100.500,775.495,100.239,771,96,8,8,7.569,7.569,0.000
61,308,74.208,39,124,968.146,524.906,968.306,524.683,958,515,20,20,19.929,19.677,111.725
62,108,45.935,12,93,828.991,962.852,828.627,961.833,823,956,12,13,11.810,11.643,163.336
63,102,86.343,65,122,521.716,360.608,522.029,360.545,515,354,12,12,11.492,11.301,53.873
64,153,90.876,38,164,734.271,486.912,734.243,486.869,727,479,14,15,13.963,13.951,45.589
