 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,2047,128.467,67,190,599.735,24.532,600.556,24.173,574,0,53,53,63.025,41.354,49.904
2,4909,119.753,49,179,132.667,28.139,133.675,26.908,72,0,104,66,99.809,62.623,160.680
3,2753,121.307,67,190,572.125,147.339,572.699,147.568,543,116,58,62,66.292,52.876,55.234
4,5682,106.895,15,191,742.070,337.952,743.029,340.430,704,289,76,98,100.470,72.007,109.246
5,3982,99.071,0,175,869.476,205.988,867.893,203.471,831,170,76,72,84.007,60.352,139.508
6,9011,94.554,0,198,287.411,685.986,290.565,682.997,231,631,112,109,126.179,90.928,138.285
7,2849,76.651,43,128,193.425,914.084,193.703,913.411,164,880,58,68,74.251,48.854,57.122
8,1562,95.284,42,148,394.682,65.284,393.889,65.291,374,39,40,53,55.021,36.146,112.416
9,1044,86.761,51,122,272.559,14.000,272.400,14.167,238,0,53,33,46.184,28.782,149.671
10,1566,66.668,17,99,68.759,472.655,70.314,473.700,48,441,41,62,67.609,29.492,117.043
11,1160,91.564,43,162,360.747,252.666,360.873,253.291,342,230,37,45,49.909,29.593,124.106
12,915,73.883,32,112,381.395,924.025,380.534,924.640,365,904,33,40,44.519,26.169,56.954
13,1291,84.125,49,129,678.711,61.964,678.127,61.719,661,36,35,51,52.441,31.345,68.688
14,1261,66.607,11,105,103.540,744.050,105.052,745.361,82,721,42,45,51.877,30.949,129.851
15,1055,84.801,23,142,45.508,141.361,46.955,141.449,26,120,38,42,47.515,28.270,51.767
16,54564,135.518,0,226,439.332,603.318,440.373,602.689,313,448,252,310,342.003,203.136,122.256
17,1055,54.364,25,93,459.437,1002.027,460.285,1001.471,441,983,37,37,36.771,36.531,31.327
18,1178,47.222,5,106,674.112,974.016,676.571,973.531,654,954,39,39,38.730,38.727,81.809
19,1019,71.677,39,125,426.171,390.659,427.295,390.813,408,372,36,37,36.082,35.958,124.101
20,938,71.404,39,113,393.525,352.677,394.249,353.319,376,335,35,35,34.588,34.529,19.839
21,1480,71.393,11,128,395.345,182.011,394.871,180.937,374,159,43,45,44.736,42.123,118.246
22,525,57.547,26,105,809.590,744.679,809.736,745.316,795,732,28,25,26.676,25.058,179.905
23,303,60.531,24,113,840.233,858.721,840.407,859.232,830,848,20,21,20.299,19.005,114.574
24,326,49.764,15,88,918.169,696.758,917.438,697.141,907,686,21,21,21.135,19.639,32.134
25,289,44.869,3,116,1010.164,617.379,1010.078,616.477,1000,607,20,20,19.710,18.669,47.311
26,480,47.027,7,88,740.883,514.608,741.349,515.129,728,502,25,25,25.489,23.977,48.151
27,528,22.801,0,120,763.650,481.402,764.089,474.559,750,468,26,27,26.986,24.912,64.130
28,537,60.547,27,108,667.496,567.398,667.935,568.266,653,554,28,26,27.034,25.292,17.089
29,383,65.567,33,128,657.544,680.025,658.764,679.222,646,668,22,23,22.761,21.425,68.350
30,827,35.828,0,109,530.573,740.019,532.376,737.326,514,723,32,34,33.602,31.336,82.725
31,362,48.555,23,87,530.243,958.682,530.783,958.309,519,947,22,23,22.077,20.877,54.546
32,571,47.902,24,91,262.300,911.360,262.912,911.265,248,897,27,28,27.850,26.105,66.125
33,398,31.965,2,69,92.940,969.990,92.575,969.994,81,958,23,23,23.111,21.927,133.634
34,255,90.490,50,153,152.222,782.716,151.577,782.636,140,774,23,17,24.834,13.074,31.985
35,570,40.789,5,121,404.742,317.467,405.173,320.754,394,298,21,38,37.721,19.240,83.936
36,546,49.163,22,85,584.103,315.134,583.957,315.580,572,298,24,35,36.776,18.904,116.507
37,463,55.488,23,117,858.837,320.049,859.277,317.793,847,306,23,27,26.711,22.070,95.001
38,574,46.608,8,90,898.833,351.986,899.319,350.117,886,337,25,30,29.894,24.447,101.086
