 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,4039,93.317,27,156,618.023,441.087,615.333,444.607,579,397,78,88,106.491,48.292,50.192
2,3799,113.774,59,166,331.093,268.027,331.231,267.945,289,229,84,77,103.145,46.896,40.97
3,1804,70.402,27,113,426.07,510.044,424.884,509.198,404,483,44,53,53.266,43.122,104.607
4,6682,92.893,3,170,85.046,762.027,85.424,763.377,45,707,79,110,110.068,77.296,78.839
5,3769,103.725,44,168,635.744,838.583,637,838.843,596,806,79,64,82.848,57.924,25.805
6,1652,90.096,51,129,874.883,436.706,875.016,436.076,852,411,45,51,54.8,38.383,56.682
7,3837,63.377,0,121,537.37,864.949,542.263,867.068,504,825,66,80,87.192,56.031,121.835
8,1211,71.028,25,118,835.389,270.057,837.143,270.332,813,250,44,39,48.848,31.565,143.631
9,997,66.854,27,104,271.143,263.536,271.031,262.802,255,241,31,44,44.123,28.77,105.136
10,23046,118.286,0,229,764.045,610.005,766.899,603.845,682,516,163,188,198.815,147.59,60.173
11,1253,60.642,30,90,421.652,703.992,422.125,704.609,398,686,46,36,46.436,34.356,160.334
12,2304,128.251,77,197,566.094,282.989,566.716,282.31,538,255,55,55,54.163,54.162,96.864
13,1168,89.547,42,145,206.135,469.003,206.673,468.367,186,449,39,39,38.565,38.562,88.55
14,3456,111.925,42,184,367.153,782.003,368.25,783.29,333,748,67,67,66.336,66.333,88.919
15,1370,112.475,77,166,315.101,874.012,315.738,873.745,294,853,42,42,41.766,41.764,83.434
16,908,116.198,62,158,360.2,889.009,361.315,889.053,343,872,34,34,34.006,33.997,87.483
17,2139,31.243,0,114,530.036,706.963,531.572,701.713,516,656,28,102,102.139,26.664,85.466
18,1083,52.974,7,112,460.086,158.98,461.124,158.439,444,135,31,47,46.087,29.92,85.403
19,2189,63.28,14,122,321.019,373.052,320.61,376.297,306,324,30,98,98.372,28.333,84.312
20,2178,108.855,45,179,860.151,872,861.699,872.992,833,845,53,53,52.662,52.659,89.825
21,1915,59.594,14,110,742.139,819.948,744.842,821.175,717,791,50,57,65.466,37.244,127.906
22,1956,67.947,11,134,642.144,223.034,638.44,223.27,614,196,55,54,66.506,37.447,44.136
23,2109,54.01,0,104,663.124,278.071,664.6,279.46,640,245,45,66,68.977,38.93,67.911
24,1301,56.924,0,164,747.08,87.007,743.674,85.167,723,66,47,42,53.921,30.72,141.236
25,456,70.702,42,132,321.018,92.555,321.369,93.023,310,77,22,31,31.922,18.188,117.41
26,255,59.478,34,107,46.598,123.735,46.919,123.832,39,111,14,25,24.063,13.493,86.059
27,398,62.877,34,100,79.143,173.573,79.175,173.684,66,162,26,23,30.287,16.731,141.51
28,474,74.287,15,155,435.804,259.506,435.854,259.739,425,244,21,31,32.719,18.445,110.149
29,138,86.29,49,133,525.072,151.101,524.904,150.843,518,142,13,17,17.543,10.016,119.798
30,705,70.296,38,119,440.223,434.134,439.736,434.546,422,419,35,30,39.821,22.541,36.814
31,372,50.941,6,119,322.003,820.707,322.129,820.59,307,812,29,17,28.855,16.415,167.69
32,447,31.461,2,88,406.836,984.572,405.557,983.615,391,975,31,19,31.72,17.942,165.198
33,786,60.467,24,123,613.594,945.304,613.08,944.375,597,929,32,32,31.665,31.604,92.271
34,1014,39.57,12,80,750.121,924.672,749.913,924.414,733,903,33,43,46.136,27.984,116.502
35,306,75.624,39,121,875.134,754.216,875.407,754.595,866,742,18,24,25.163,15.483,117.005
36,781,78.641,44,143,915.847,750.73,914.908,752.421,902,730,27,41,40.442,24.588,75.487
37,665,48.725,13,132,991.512,474.703,992.521,474.182,979,456,24,37,37.416,22.629,80.09
38,183,71.492,41,128,918.872,296.691,918.728,296.002,911,287,15,19,19.621,11.875,118.458
39,373,88.882,49,161,984.184,74.452,983.553,75.495,974,60,20,28,28.106,16.898,68.37
40,256,56.922,17,112,909.176,38.691,908.198,37.893,898,29,21,19,23.303,13.988,141.478
41,224,40.21,13,67,692.397,463.277,692.863,463.111,683,454,18,18,21.522,13.252,44.492
