 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,19379,71.560,40,110,820.089,385.994,818.768,386.757,725,317,190,138,199.215,123.856,22.399
2,6611,33.384,15,53,924.088,890.022,923.038,890.563,874,843,100,94,116.237,72.416,40.724
3,4464,32.476,16,48,810.072,1356.044,809.858,1356.883,774,1312,72,87,95.258,59.667,56.828
4,4525,53.161,30,80,978.218,1273.969,980.404,1274.347,931,1242,94,64,96.005,60.011,16.813
5,11477,61.841,35,93,634.073,898.005,631.485,899.746,568,836,132,124,153.253,95.352,40.812
6,7117,53.709,32,75,1116.061,616.015,1115.940,616.757,1077,555,77,121,120.764,75.036,97.838
7,5278,38.319,20,59,816.017,1735.994,816.006,1734.216,783,1684,65,104,104.268,64.451,90.000
8,9043,37.307,13,59,1018.073,1745.962,1017.451,1745.730,960,1690,116,112,135.653,84.878,137.325
9,8107,46.894,24,75,924.001,1987.802,927.125,1989.049,879,1926,89,122,128.416,80.380,111.516
10,3198,27.489,12,49,1130.100,1341.964,1130.344,1341.160,1102,1303,55,78,81.127,50.191,110.290
11,17306,46.108,22,76,696.018,1937.978,691.095,1935.180,637,1844,118,188,187.663,117.416,87.629
12,2072,45.778,29,65,1486.129,747.963,1485.993,748.162,1465,715,42,65,64.872,40.667,100.481
13,1584,47.612,30,63,1336.112,827.989,1336.047,828.493,1312,804,48,48,56.827,35.490,134.997
14,3609,42.169,22,63,1332.095,1154.078,1331.128,1154.023,1301,1114,62,80,85.852,53.524,62.328
15,1014,42.006,28,54,1082.194,1090.015,1082.007,1089.795,1062,1072,40,36,45.733,28.231,142.256
16,5999,57.575,31,84,1062.108,503.989,1062.605,505.997,1009,464,105,79,111.085,68.760,25.252
17,5119,35.062,19,68,1588.188,1941.973,1588.400,1943.259,1538,1907,99,70,102.350,63.681,21.032
18,4155,57.108,32,85,1898.201,1849.982,1894.946,1850.085,1852,1821,92,58,92.044,57.476,2.740
19,7633,39.824,9,61,740.058,1456.035,737.748,1457.458,695,1397,90,118,125.387,77.509,63.388
20,9940,67.960,35,97,1714.026,287.984,1712.705,287.155,1657,231,113,113,112.868,112.131,50.192
21,4992,60.530,39,81,898.127,251.952,898.090,251.395,858,211,80,81,80.072,79.379,91.343
