 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,4949,85.168,58,113,558.057,923.971,558.279,924.066,528,851,60,145,150.388,41.9,107.061
2,5236,91.922,58,121,944.158,883.972,943.648,883.615,901,841,86,86,101.784,65.499,45.002
3,3914,75.914,50,110,1194.118,919.989,1194.718,919.857,1155,884,77,71,87.782,56.771,39.115
4,8270,78.338,54,120,608.05,1337.984,608.115,1338.878,565,1275,86,126,128.359,82.033,104.593
5,11692,84.301,42,116,450.018,1577.965,451.053,1578.689,399,1503,102,150,151.961,97.964,103.556
6,7864,76.442,41,106,372.067,1784.044,372.825,1784.025,317,1733,109,101,124.906,80.162,39.658
7,11448,79.131,18,112,572.067,1868.039,573.928,1866.808,503,1810,138,115,150.953,96.56,31.952
8,14808,83.893,18,123,497.552,1973.968,496.322,1977.46,439,1891,117,157,164.741,114.447,103.601
9,6871,84.621,62,113,686.09,445.995,685.768,446.321,630,404,112,83,116.876,74.852,22.2
10,5248,57.653,33,84,226.061,530.072,227.044,529.893,189,481,74,97,102.074,65.462,64.327
11,3747,70.432,40,111,66.111,817.992,64.79,817.251,37,775,58,85,86.06,55.436,76.396
12,4557,57.666,31,105,236.197,1497.997,239.655,1497.764,192,1461,87,74,94.802,61.203,33.123
13,8075,68.829,35,112,700.061,808.053,700.154,808.71,645,757,110,102,125.133,82.164,39.82
14,6224,101.956,80,135,1260.058,144.014,1259.877,144.251,1215,99,89,90,89.624,88.421,78.222
15,10020,103.358,75,141,1842.062,509.991,1841.923,510.861,1785,453,113,114,113.621,112.284,75.791
16,7744,100.88,75,134,1830.061,752.02,1829.481,752.081,1780,702,99,100,100.082,98.519,75.757
17,10464,98.646,37,140,1654.058,794.006,1655.857,793.47,1596,736,116,115,116.139,114.717,173.431
18,8366,104.705,74,137,1066.053,866.002,1066.231,866.697,1014,814,103,104,104.006,102.416,71.06
19,18701,96.52,48,148,560.071,1144.023,557.964,1144.081,483,1066,154,156,155.326,153.296,102.431
20,13166,106.18,58,144,1402.085,1752.037,1402.508,1750.783,1336,1687,131,129,130.246,128.707,20.959
21,9171,115.405,86,158,1690.063,1610.012,1690.854,1610.385,1635,1556,109,108,108.689,107.434,8.144
