 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,9549,139.561,69,200,486.776,911.001,486.848,911.464,406,871,162,80,163.743,74.251,168.528
2,1278,72.070,35,104,863.675,681.930,864.316,680.947,850,652,27,60,59.954,27.141,87.138
3,1263,90.287,51,132,946.985,975.254,946.768,975.088,918,960,58,31,59.653,26.958,164.573
4,676,84.309,44,119,683.538,932.416,683.530,932.758,673,911,21,43,43.553,19.762,100.623
5,2148,88.321,34,146,711.151,645.199,710.530,645.668,677,625,68,40,67.845,40.311,0.197
6,2250,90.164,49,126,316.733,631.667,316.699,631.935,296,597,41,69,69.499,41.221,94.466
7,1047,83.167,44,118,380.628,353.222,381.126,353.453,353,341,55,25,54.879,24.291,4.296
8,2814,96.114,43,141,999.871,368.775,999.379,368.986,974,330,50,77,81.279,44.081,67.223
9,5644,104.450,35,166,790.580,25.789,791.347,23.694,722,0,128,58,128.857,55.769,169.049
10,3008,92.880,38,152,589.018,130.389,587.012,129.654,550,101,78,59,87.288,43.877,148.648
11,517,25.389,0,63,809.341,546.699,810.780,547.723,791,528,37,38,50.843,12.947,134.423
12,238,51.538,27,90,798.819,694.811,798.488,694.421,788,684,22,22,27.933,10.848,44.359
13,159,56.321,35,91,644.255,795.997,644.089,796.006,638,785,12,22,22.828,8.868,66.585
14,5751,137.124,74,200,121.404,740.263,120.846,740.319,76,700,91,81,90.887,80.566,2.092
15,9579,99.383,30,170,782.016,923.906,784.162,924.897,728,867,108,114,117.289,103.986,58.164
16,501,69.289,24,109,608.576,421.145,608.521,420.836,591,410,35,23,37.668,16.935,154.177
17,236,96.229,74,134,10.886,518.445,11.132,518.385,0,512,27,29,28.231,10.644,20.346
18,703,85.804,61,119,781.069,145.873,781.406,146.136,766,131,30,30,29.973,29.863,70.563
19,487,102.684,65,170,50.586,36.436,50.218,36.123,38,24,25,25,24.908,24.895,19.748
20,2449,64.619,15,119,581.543,683.872,578.076,684.037,530,667,103,34,103.783,30.045,8.986
21,69,68.348,32,124,308.688,725.688,308.167,725.265,304,721,9,9,9.441,9.306,134.978
22,57,55.772,38,76,403.360,686.202,403.424,686.250,399,682,9,9,8.774,8.272,177.023
23,102,77.225,32,145,175.686,680.637,175.228,679.921,170,675,11,11,11.549,11.245,18.784
24,123,97.220,42,160,101.297,965.232,101.087,964.540,95,959,13,13,12.550,12.479,37.147
25,180,68.028,30,126,422.594,412.539,422.375,412.145,415,405,15,15,15.221,15.057,156.774
26,203,96.522,64,164,137.012,72.855,136.979,72.186,129,65,16,16,16.158,15.996,162.417
27,171,48.117,17,85,791.482,338.313,791.511,338.336,784,331,15,15,14.871,14.640,172.549
28,138,49.833,24,71,803.674,759.551,803.669,759.457,797,753,13,13,13.344,13.167,152.315
29,101,41.218,27,63,595.728,77.599,595.744,77.368,590,72,12,12,11.455,11.226,175.280
