 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1090,130.223,100,168,249.442,738.658,249.376,738.550,233,717,33,43,42.780,32.441,89.905
2,1570,133.688,92,194,260.052,586.633,259.531,586.281,241,558,37,57,58.147,34.378,105.606
3,803,124.213,92,159,450.896,604.616,450.952,604.860,436,585,29,38,39.262,26.041,114.119
4,1878,120.930,40,183,378.094,859.218,378.210,857.644,357,829,41,60,60.287,39.663,96.416
5,1611,127.109,88,197,200.061,828.000,199.963,827.858,180,800,39,55,55.630,36.872,106.113
6,2137,136.898,92,188,145.462,857.399,145.746,857.609,114,835,63,45,64.081,42.461,17.226
7,1004,106.369,59,194,260.131,410.000,260.538,408.599,245,388,30,44,44.090,28.994,90.000
8,1401,128.116,88,178,774.057,260.793,773.713,260.420,756,234,35,53,52.049,34.272,93.843
9,1067,127.696,77,174,784.080,701.409,783.709,701.166,769,678,30,46,45.307,29.985,89.849
10,2154,156.279,98,224,979.525,999.349,979.382,1000.088,956,969,47,55,56.957,48.151,92.486
11,1480,102.766,47,148,938.811,189.383,938.619,189.783,912,171,53,36,53.333,35.332,179.913
12,1125,126.548,80,172,996.076,868.612,996.320,868.722,975,850,42,37,46.827,30.589,36.890
13,1274,126.640,86,194,800.757,974.022,800.547,973.561,784,949,33,50,49.517,32.759,94.200
14,1165,118.152,60,158,29.339,705.911,29.335,706.453,13,682,32,47,47.223,31.411,99.723
15,2923,155.788,106,225,553.452,246.661,553.316,246.703,522,216,62,61,61.060,60.951,133.904
16,1832,168.490,95,217,458.111,684.000,458.553,683.017,433,659,49,49,48.298,48.296,90.000
17,1884,163.236,101,210,416.000,458.000,415.583,457.827,391,433,50,50,48.977,48.977,0.000
18,1176,171.793,136,209,208.131,464.599,208.135,464.752,188,445,39,39,38.749,38.641,59.014
19,1435,173.474,137,214,170.056,713.390,170.043,713.300,148,691,43,44,42.953,42.537,101.426
20,2188,183.451,130,233,58.068,794.000,58.120,793.848,31,767,53,53,52.781,52.781,90.000
21,2924,142.767,50,211,28.586,884.009,30.457,881.962,0,853,59,62,61.904,60.141,89.979
22,4241,158.193,86,222,642.744,990.868,642.287,991.092,605,954,75,70,75.632,71.396,2.748
23,1368,172.178,112,216,808.124,785.990,807.935,785.708,787,765,42,42,41.736,41.733,94.399
24,2080,141.770,97,199,964.676,574.666,963.949,574.153,938,548,52,52,51.499,51.425,62.419
25,1796,145.962,97,208,993.328,585.925,994.450,586.699,969,562,48,48,47.949,47.691,52.981
26,2125,157.926,102,209,946.787,483.248,946.735,482.506,920,457,53,52,52.040,51.991,40.356
27,1530,179.669,143,215,716.862,446.000,716.826,446.087,694,423,45,45,44.218,44.056,72.264
28,1339,151.706,110,195,700.738,75.457,700.726,75.442,680,54,41,42,41.295,41.285,65.202
29,1389,162.765,120,209,796.086,112.715,796.212,112.400,774,91,43,43,42.186,41.922,126.142
30,1010,111.998,72,154,966.836,244.668,966.579,244.442,948,226,37,37,35.897,35.824,167.724
31,2235,134.503,48,213,881.480,661.997,879.647,664.230,854,635,54,54,53.628,53.064,131.178
32,1615,139.897,55,195,929.526,788.540,927.624,787.919,906,765,46,46,45.356,45.336,118.886
33,859,132.104,100,178,533.613,604.595,533.502,604.262,516,588,34,33,33.109,33.033,135.624
