 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,297,117.094,74,157,215.308,663.675,215.121,663.562,204,653,23,22,27.828,13.589,136.444
2,703,129.832,74,174,195.841,486.053,196.106,485.541,178,470,35,33,43.030,20.801,40.729
3,408,103.392,59,134,105.608,661.598,105.263,661.410,90,652,31,20,33.010,15.737,157.423
4,319,102.730,65,134,151.346,668.462,151.517,668.635,139,658,25,22,29.122,13.947,141.567
5,612,100.894,49,148,20.768,645.719,20.780,645.169,5,630,32,32,40.002,19.479,134.582
6,215,100.651,67,137,88.574,722.040,88.436,721.955,80,712,17,21,23.790,11.507,126.473
7,305,112.518,76,146,22.411,758.490,22.404,758.318,13,746,19,26,28.323,13.711,120.871
8,470,117.417,78,156,93.379,800.496,93.558,800.373,78,788,31,26,35.414,16.898,36.872
9,344,119.663,84,154,46.799,909.741,46.907,909.782,36,897,21,26,30.281,14.464,125.953
10,1096,121.514,74,171,355.324,385.955,355.433,385.872,334,365,43,43,53.750,25.962,135.915
11,935,129.311,79,176,410.899,431.327,410.784,431.604,391,413,40,37,47.482,25.072,138.678
12,341,109.695,67,149,491.087,415.726,491.373,415.797,478,406,26,20,28.892,15.027,148.537
13,313,84.332,53,118,495.165,757.129,495.083,757.301,484,746,23,22,27.872,14.298,45.528
14,215,79.474,38,114,395.435,796.719,395.301,795.932,387,787,17,20,22.792,12.010,127.278
15,196,95.898,46,135,327.760,881.398,327.922,881.316,318,874,19,15,21.710,11.495,147.104
16,979,98.385,42,134,539.220,297.074,539.859,297.191,524,274,31,47,48.593,25.652,66.857
17,848,122.743,70,168,769.200,159.848,769.875,160.332,749,144,40,32,45.295,23.837,146.755
18,485,100.297,64,131,721.172,113.174,721.251,113.180,707,100,29,27,34.415,17.943,137.693
19,430,103.730,68,149,704.628,354.109,704.358,354.000,692,341,26,26,32.136,17.037,132.433
20,379,129.029,88,165,726.703,698.846,726.497,698.934,715,686,23,25,30.333,15.909,50.367
21,239,109.042,83,140,711.726,742.596,711.692,742.460,701,734,21,17,24.273,12.537,34.449
22,608,110.245,71,138,1015.451,64.074,1015.566,64.589,1004,46,20,44,40.695,19.023,102.604
23,599,93.995,48,126,903.026,77.542,903.404,77.036,889,61,28,33,38.390,19.867,53.025
24,208,88.274,59,127,798.928,804.168,798.743,803.872,790,795,18,18,22.580,11.729,133.122
25,657,114.061,81,164,852.106,95.966,852.141,96.090,835,81,34,31,40.313,20.751,141.060
26,1199,158.140,104,201,784.715,99.891,784.304,99.158,770,73,30,54,54.068,28.235,80.604
27,363,101.061,75,129,768.853,256.665,768.664,256.827,755,247,28,20,29.624,15.602,152.210
28,367,100.599,76,144,790.309,310.538,790.202,310.504,777,300,27,22,29.767,15.698,145.340
29,265,88.091,65,118,830.281,349.930,830.092,349.897,820,340,21,21,25.510,13.226,135.413
30,313,121.827,91,149,890.714,197.327,890.722,197.421,881,185,19,25,27.424,14.532,57.949
31,808,114.131,39,166,954.751,54.155,955.634,54.740,935,40,39,28,40.901,25.153,156.217
32,502,112.185,79,153,752.291,583.343,752.247,583.493,737,572,30,23,32.283,19.799,153.474
33,441,80.050,52,119,734.205,662.212,734.262,662.175,722,649,24,26,30.348,18.502,49.265
34,282,104.238,82,145,750.748,809.564,750.815,809.384,741,799,19,21,24.188,14.844,50.353
35,303,93.495,69,139,976.751,173.160,976.653,172.787,965,162,24,23,29.118,13.249,43.470
36,332,94.548,64,153,1010.545,139.057,1010.582,139.298,998,128,25,22,30.351,13.927,139.273
37,385,94.075,57,124,532.819,412.908,532.960,412.797,519,401,28,24,33.057,14.829,38.871
38,574,116.554,76,155,484.613,330.537,484.595,330.691,470,314,29,33,40.111,18.221,129.430
39,156,91.269,55,128,461.103,431.737,461.314,431.829,455,422,12,20,20.930,9.490,113.629
40,151,95.609,74,124,591.533,404.103,591.414,404.001,585,395,13,19,20.462,9.396,119.380
41,150,84.760,64,133,500.207,575.427,500.101,575.246,492,568,16,16,20.283,9.416,138.755
42,158,107.684,79,131,587.259,794.272,587.316,794.244,578,787,18,15,20.925,9.614,34.005
43,206,136.010,99,177,393.447,735.476,393.673,735.403,385,726,17,20,22.640,11.585,128.537
44,136,86.640,59,118,602.154,967.390,602.239,967.282,595,960,14,15,18.453,9.384,131.278
45,606,85.246,50,121,385.480,508.122,386.195,508.316,367,496,37,25,38.845,19.863,24.333
46,527,133.490,94,188,429.971,326.967,430.481,326.565,416,312,28,30,36.154,18.559,48.336
47,497,103.656,77,177,283.796,411.164,283.913,410.957,270,393,28,37,42.546,14.873,54.745
48,430,99.944,75,137,210.660,436.321,210.663,436.579,196,421,29,30,39.632,13.814,46.592
49,430,91.805,56,131,147.660,539.321,147.627,538.879,133,524,29,31,39.632,13.814,46.592
50,139,99.806,76,139,200.011,878.773,200.022,878.700,193,869,14,19,22.500,7.866,57.453
51,155,87.981,56,110,148.106,926.100,147.963,926.068,140,918,17,17,20.970,9.411,134.931
52,149,100.275,70,123,64.641,792.352,64.477,792.299,56,785,17,15,20.669,9.179,38.988
53,554,96.273,45,150,58.282,638.401,57.163,638.192,41,625,35,27,39.626,17.801,144.860
54,291,103.034,80,131,176.321,582.620,176.384,582.713,166,572,21,21,25.107,14.757,46.772
55,234,99.342,62,128,325.769,552.440,325.712,552.646,317,542,18,21,24.092,12.367,54.501
56,274,97.595,68,158,314.124,527.474,313.936,527.177,304,517,20,21,26.028,13.403,132.355
57,461,129.206,86,174,322.951,453.808,323.042,454.185,310,440,26,28,33.740,17.397,130.644
58,204,86.917,62,153,510.515,822.417,510.197,822.575,501,814,19,17,22.443,11.573,38.697
59,378,87.183,43,131,702.963,164.352,703.553,164.412,690,153,26,24,30.184,15.945,139.855
60,274,85.182,58,119,774.277,527.193,774.200,527.258,765,516,18,23,25.809,13.517,123.839
61,253,97.711,67,138,968.322,128.275,968.303,128.120,959,118,19,21,24.685,13.050,128.088
62,177,90.079,58,130,705.596,802.946,705.651,802.810,698,794,15,18,20.889,10.789,125.553
63,207,100.570,61,145,632.568,630.737,632.630,630.334,623,622,19,17,22.641,11.641,40.197
64,382,94.526,46,166,683.479,568.709,684.017,569.566,672,556,23,26,30.629,15.880,128.652
65,213,169.798,138,198,419.364,612.448,419.340,612.411,408,606,23,13,22.684,11.955,163.580
66,247,54.457,28,88,680.561,165.569,680.352,165.610,676,148,10,35,35.052,8.972,86.390
67,40,42.675,24,61,931.300,210.350,931.011,210.467,926,208,11,5,10.257,4.965,171.067
68,52,43.288,28,70,995.154,187.673,994.746,187.715,989,185,13,6,12.246,5.407,174.110
69,246,49.854,21,94,707.724,381.854,706.749,381.715,694,376,27,12,26.708,11.728,2.360
70,185,55.773,32,94,752.565,497.765,752.471,497.524,740,493,25,10,24.546,9.596,176.957
71,156,62.590,47,112,854.500,611.231,854.462,610.950,850,600,9,23,22.366,8.881,89.779
72,109,57.505,36,95,963.665,593.500,963.628,593.335,960,584,8,20,18.993,7.307,90.000
73,75,34.227,16,65,1002.713,664.087,1002.777,663.855,995,661,16,6,15.250,6.262,179.276
74,181,59.177,37,95,918.677,700.395,918.757,700.405,913,690,12,21,20.665,11.152,89.773
75,92,59.076,45,79,817.467,697.935,817.330,697.796,810,694,15,8,14.576,8.036,178.313
76,77,51.117,31,100,880.630,712.565,880.130,712.550,874,709,14,7,13.453,7.287,177.846
77,141,61.894,40,98,790.011,903.060,789.916,902.745,785,894,10,18,18.021,9.962,86.345
78,1394,146.577,112,200,863.680,18.542,863.791,18.549,842,0,44,39,43.821,40.503,179.734
79,1150,92.380,35,136,705.322,242.110,706.371,242.768,686,223,38,38,38.288,38.243,18.760
80,1412,129.213,78,197,743.513,216.041,743.268,214.925,721,196,45,41,45.321,39.668,161.049
81,982,148.994,106,193,787.776,869.606,787.857,869.754,770,852,35,35,35.395,35.324,78.212
82,1038,119.719,77,162,641.264,207.209,641.227,207.520,623,189,37,37,36.379,36.329,148.425
83,1295,128.020,55,179,555.415,470.335,556.413,469.247,535,450,41,41,40.620,40.592,66.804
84,653,153.709,117,188,609.558,489.365,609.713,489.184,595,475,29,29,28.876,28.793,131.176
85,2124,125.205,42,183,383.143,567.061,383.131,565.841,357,541,53,53,52.051,51.956,37.115
86,595,45.691,0,124,439.559,367.972,443.682,367.258,413,360,53,17,53.012,14.291,8.225
87,262,53.225,23,136,450.553,524.889,450.222,524.979,433,520,35,10,34.611,9.638,4.331
88,133,99.549,76,138,490.500,473.462,490.409,473.430,478,470,25,7,24.697,6.857,4.102
89,93,50.237,31,79,433.683,584.844,433.568,584.697,426,581,15,8,14.815,7.993,2.313
90,112,58.188,30,100,461.214,628.277,461.284,628.137,453,624,17,10,16.436,8.676,172.047
91,256,60.703,33,91,339.539,658.016,339.426,658.049,334,643,12,30,29.869,10.913,87.972
92,89,60.461,39,137,278.174,614.051,278.124,613.656,275,605,6,18,17.988,6.300,89.571
93,100,60.030,35,98,527.490,701.260,527.461,701.109,520,697,15,9,14.803,8.601,179.267
94,78,57.692,33,83,439.795,856.064,439.659,856.033,432,853,16,7,15.580,6.374,1.374
95,158,46.127,7,80,470.215,910.582,469.300,910.101,459,906,22,10,22.012,9.139,175.122
96,72,50.014,29,71,440.528,878.264,440.473,878.107,437,872,7,13,12.636,7.255,91.231
97,368,168.606,140,206,380.049,833.774,379.883,833.826,369,823,22,22,21.717,21.576,38.057
98,406,114.926,79,150,436.564,805.342,436.733,805.366,425,794,23,23,22.790,22.683,157.865
