 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,922,103.900,35,158,737.480,423.278,737.882,424.530,717,405,41,36,48.442,24.233,140.731
2,264,89.367,63,122,449.447,315.466,449.443,315.169,442,302,14,26,25.785,13.036,78.243
3,924,62.032,26,97,291.457,233.301,291.411,233.442,272,214,38,39,47.982,24.519,46.497
4,644,87.806,49,127,82.742,207.259,82.712,207.344,70,189,24,37,37.680,21.761,106.816
5,1425,121.174,69,178,72.717,819.924,72.610,819.991,49,797,47,45,55.535,32.671,137.564
6,778,85.997,44,139,266.141,883.252,266.524,883.647,251,864,30,38,41.072,24.118,61.187
7,589,121.146,66,178,858.113,598.520,858.123,598.956,845,580,26,37,40.246,18.634,120.438
8,314,96.102,58,129,622.213,412.137,622.074,412.241,609,401,25,22,29.442,13.579,39.919
9,1523,101.781,20,161,664.456,155.978,665.448,157.147,646,127,37,58,59.170,32.772,108.958
10,1031,93.232,50,134,963.322,318.042,963.618,317.456,949,293,28,50,50.887,25.796,76.499
11,1020,111.119,62,163,896.160,383.314,895.632,383.331,866,369,59,28,61.136,21.243,163.294
12,1616,102.239,49,142,911.445,579.543,911.119,580.235,886,552,50,54,65.843,31.249,48.046
13,509,105.550,60,154,832.846,470.850,832.901,471.181,819,455,27,31,37.012,17.510,51.864
14,473,113.858,85,145,376.050,686.181,375.978,686.546,365,669,21,34,35.706,16.867,68.412
15,387,122.739,74,165,40.224,726.614,40.175,726.626,25,717,30,19,32.338,15.237,156.018
16,484,82.847,59,147,133.442,633.938,133.558,633.966,123,617,21,34,35.962,17.136,112.362
17,188,96.207,77,128,108.085,654.000,108.057,653.867,102,642,11,23,22.680,10.554,90.000
18,525,107.404,69,156,340.702,571.111,340.753,571.034,328,554,24,34,37.470,17.840,117.279
19,163,74.699,47,107,556.948,260.629,556.832,260.836,546,254,21,12,20.983,9.891,17.706
20,129,81.829,48,109,602.725,257.391,602.643,257.281,598,248,9,19,18.555,8.852,90.982
21,536,111.442,68,146,678.259,787.959,677.925,787.899,660,775,35,25,38.099,17.913,151.024
22,213,94.840,65,117,794.674,654.796,794.771,654.748,788,642,12,25,24.164,11.223,83.856
23,184,91.054,56,131,928.859,704.038,928.814,704.328,922,693,13,22,22.361,10.477,72.663
24,192,84.526,38,123,945.729,378.698,945.198,378.125,935,370,20,17,22.594,10.820,144.324
25,1101,96.832,61,145,732.842,241.961,732.722,241.692,708,224,49,36,54.503,25.720,30.778
26,3961,117.449,46,183,803.405,445.300,803.506,445.325,766,409,74,73,83.998,60.041,44.581
27,1374,83.384,37,133,978.672,89.969,977.976,90.524,961,65,35,50,49.705,35.196,86.438
28,5729,141.243,69,210,480.060,738.057,480.477,737.366,439,693,82,90,89.195,81.781,86.478
29,936,113.951,63,174,202.720,916.658,202.729,916.796,186,898,33,37,35.937,33.162,84.302
30,7410,117.392,32,198,444.088,169.316,443.266,168.081,397,118,93,102,101.693,92.776,84.509
31,3886,100.599,32,163,510.799,214.040,511.695,212.674,477,177,67,74,73.772,67.069,83.927
32,3194,84.599,30,154,923.471,180.005,924.866,182.207,892,146,62,67,66.534,61.123,89.314
33,1319,90.590,32,170,850.110,524.017,851.123,525.541,830,502,40,43,42.543,39.475,93.922
34,1300,95.085,37,156,961.449,544.000,962.346,545.619,941,522,40,43,42.229,39.196,90.000
35,1151,105.751,44,168,849.411,369.278,848.653,369.982,831,349,37,40,39.844,36.781,90.557
