 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,4582,103.069,51,149,783.289,538.607,785.058,536.928,736,505,94,66,97.959,59.556,20.653
2,5875,101.804,24,153,666.142,161.341,667.424,160.855,610,127,111,68,111.202,67.267,6.888
3,3556,116.621,52,177,752.026,177.349,752.919,177.760,713,144,78,66,86.513,52.335,146.533
4,2771,117.253,55,168,721.423,282.012,720.086,281.644,684,256,74,51,76.237,46.279,19.273
5,3115,111.728,62,167,925.491,154.680,925.220,154.506,900,114,50,81,81.043,48.939,80.731
6,2675,122.407,78,179,929.604,225.393,929.935,224.970,892,201,74,49,75.197,45.293,16.771
7,4416,95.469,43,152,938.191,331.980,939.213,331.559,891,300,94,63,96.459,58.290,17.650
8,1886,102.099,43,170,924.133,367.331,922.815,369.455,893,347,62,40,63.131,38.037,13.348
9,5928,124.265,33,191,656.757,699.378,654.746,696.053,612,651,89,97,111.898,67.452,129.094
10,1589,70.566,33,132,694.166,734.683,694.750,734.337,665,716,58,36,58.062,34.845,8.196
11,998,94.523,59,136,737.619,839.984,738.025,839.656,714,826,46,28,45.617,27.856,173.783
12,2334,85.907,19,152,671.463,815.341,670.722,813.405,636,793,70,45,70.140,42.369,165.572
13,2339,105.703,63,168,498.116,871.901,497.414,871.684,471,840,53,64,70.220,42.411,123.192
14,3563,110.262,25,166,948.101,945.277,948.541,944.652,912,908,71,74,86.707,52.321,132.468
15,2395,84.977,51,133,501.500,192.479,501.087,192.279,479,157,44,71,71.134,42.869,96.409
16,1722,109.159,33,169,746.717,658.587,745.483,657.380,721,633,51,51,60.460,36.264,135.107
17,4390,94.548,24,182,964.631,803.367,962.217,800.615,917,773,95,60,96.054,58.191,169.628
18,2170,87.610,20,168,868.186,723.353,870.291,720.655,838,697,59,53,67.257,41.080,38.115
19,3503,59.451,18,133,862.847,767.965,863.486,767.441,823,736,79,63,85.877,51.937,150.447
20,5131,91.871,2,173,776.153,714.721,771.128,714.460,724,683,104,63,103.827,62.922,178.482
21,2365,84.422,30,151,838.086,249.360,840.386,249.748,816,214,44,70,70.450,42.743,79.914
22,3244,79.868,34,123,476.875,266.006,478.038,264.635,444,233,65,65,64.512,64.025,40.505
23,3788,90.905,34,141,482.189,325.317,481.791,327.313,447,290,70,70,69.483,69.413,102.780
24,5107,107.248,53,175,580.051,553.362,581.180,553.265,539,513,81,81,80.938,80.339,100.589
25,5362,98.584,48,150,541.424,406.648,542.412,406.356,500,365,83,83,82.661,82.591,129.096
26,2356,98.890,63,150,386.098,41.997,385.808,41.731,358,14,55,55,54.771,54.769,91.494
27,8117,119.359,70,172,815.371,110.746,814.936,110.313,764,59,102,103,101.708,101.613,63.683
28,4915,91.985,29,172,718.778,436.729,716.489,436.336,679,397,79,79,79.131,79.083,161.886
29,3914,124.481,41,189,774.808,415.996,777.865,413.745,739,380,71,71,70.971,70.218,156.973
30,3770,97.242,40,158,696.156,558.008,694.297,559.000,661,523,70,70,69.284,69.281,87.084
31,3904,120.070,52,186,794.172,589.982,793.914,592.025,758,554,71,71,70.505,70.502,95.964
32,7432,110.719,41,175,949.507,572.594,952.623,572.486,900,524,98,97,97.326,97.228,130.270
33,4470,118.342,69,178,726.076,924.004,726.619,923.512,688,886,76,76,75.442,75.441,86.978
34,5961,137.784,58,194,886.100,875.358,885.965,875.377,842,831,88,88,87.275,86.963,91.819
35,2815,104.698,32,169,635.535,752.677,634.419,754.249,605,722,60,61,59.935,59.801,102.937
