 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,3844,141.059,87,200,817.490,770.659,817.644,770.856,774,742,86,57,85.373,57.329,0.028
2,2485,123.902,73,170,641.500,724.061,641.520,724.302,615,693,52,62,62.206,50.863,99.624
3,3091,125.656,36,186,787.468,897.989,785.705,898.997,758,863,58,70,70.886,55.520,73.717
4,3147,133.511,36,216,846.092,885.414,847.114,886.448,805,860,82,50,81.685,49.053,174.140
5,4143,137.533,66,207,786.927,981.286,785.506,980.254,741,950,91,62,93.578,56.371,19.976
6,4063,124.709,27,198,658.121,975.416,656.510,973.360,618,938,80,74,92.755,55.772,139.694
7,4895,149.907,85,221,489.505,985.972,489.237,986.341,439,953,100,65,101.816,61.214,14.406
8,1718,113.482,71,164,267.431,927.490,268.207,927.184,238,906,58,42,60.272,36.293,24.575
9,1037,118.858,91,151,397.393,818.062,397.573,818.110,383,794,29,47,46.562,28.357,96.474
10,1436,128.846,90,194,353.397,543.435,353.209,543.137,336,515,34,56,55.041,33.218,98.177
11,1292,127.365,87,190,956.087,385.929,955.661,385.635,937,361,37,49,52.220,31.502,116.686
12,974,102.583,41,165,827.512,437.256,828.136,435.525,813,414,28,46,45.507,27.251,85.242
13,1458,114.643,79,173,872.102,661.981,872.494,662.384,849,638,45,48,55.881,33.221,131.691
14,1343,120.268,85,161,718.827,706.708,719.337,706.433,692,690,53,33,53.362,32.044,179.897
15,1108,131.249,88,195,49.384,765.928,49.365,765.454,33,742,32,48,48.395,29.150,106.294
16,1406,120.661,79,180,1007.194,69.940,1007.004,69.470,989,43,35,54,54.699,32.728,107.659
17,1148,132.890,57,177,684.745,439.344,684.334,439.482,663,420,43,39,49.394,29.592,38.660
18,1578,83.778,28,126,693.468,865.971,693.760,866.771,674,838,38,56,57.731,34.803,108.778
19,4529,103.979,28,167,702.143,865.984,703.486,866.216,654,833,95,65,98.029,58.825,19.739
20,874,122.103,86,154,745.380,810.638,745.357,810.438,732,789,26,43,43.113,25.811,83.004
21,1059,122.457,73,197,368.106,384.002,367.745,383.077,352,360,31,47,47.455,28.413,106.355
22,2017,126.641,78,180,998.834,971.865,999.684,972.199,969,948,55,49,61.738,41.597,148.033
23,457,90.232,52,166,486.854,408.139,486.910,407.892,475,393,23,29,31.135,18.689,58.922
24,1081,121.881,85,171,424.140,83.958,424.284,84.024,401,67,45,34,47.683,28.865,27.107
25,3509,120.184,51,191,506.074,868.594,505.710,870.056,473,830,66,77,86.205,51.828,124.694
26,2692,157.397,99,217,35.855,993.402,36.014,994.503,11,957,49,67,69.524,49.300,87.957
27,5561,160.682,76,226,920.747,889.929,922.334,890.263,881,839,79,101,109.304,64.778,119.986
28,1251,130.121,98,178,730.676,183.995,730.917,183.718,710,163,40,41,40.420,39.407,93.422
29,1568,162.356,107,220,752.821,306.670,752.302,307.128,730,284,45,45,45.113,44.254,102.573
30,1075,152.569,46,202,608.123,285.342,607.663,284.643,589,266,37,38,37.354,36.642,83.429
31,1778,162.410,104,218,486.805,82.865,486.536,82.976,463,58,47,49,48.040,47.123,93.928
32,872,93.372,29,151,445.638,236.680,445.782,234.738,428,219,34,35,33.618,33.025,110.240
33,2472,167.634,134,224,514.126,477.987,514.246,477.698,486,449,56,57,56.654,55.556,95.286
34,1959,166.210,124,220,633.366,639.285,633.409,639.091,608,614,50,51,50.627,49.268,95.720
35,1611,165.575,133,201,548.694,568.056,548.796,567.671,526,545,45,46,45.724,44.860,103.672
36,3427,157.373,25,236,304.208,696.002,303.222,696.827,271,662,66,67,66.862,65.260,83.294
37,2896,120.907,23,189,174.093,737.309,170.112,735.472,143,706,61,62,61.337,60.115,90.623
38,3120,141.550,30,218,307.495,838.594,306.406,836.936,276,806,63,64,63.620,62.442,114.470
39,3298,162.119,89,225,148.198,888.761,148.419,888.110,116,856,64,65,65.437,64.171,82.400
40,2980,144.943,56,200,977.551,461.210,979.843,460.232,946,430,62,62,62.235,60.966,87.461
41,824,171.580,125,213,444.899,346.621,445.052,346.792,428,330,33,33,32.839,31.948,101.577
42,944,186.950,158,221,238.914,203.996,238.880,203.940,221,186,35,36,34.971,34.370,83.592
43,1281,165.068,127,211,17.671,176.703,18.095,176.627,0,155,37,43,42.391,38.475,87.380
44,1002,114.488,49,186,60.171,294.000,61.640,292.141,42,276,36,36,35.978,35.460,90.000
45,1159,120.499,58,158,250.137,28.669,249.677,28.344,231,9,38,39,38.890,37.945,89.893
46,2188,80.609,33,158,511.361,609.376,510.642,609.206,485,582,52,54,53.406,52.164,84.463
47,3023,142.085,61,215,419.468,924.633,419.060,923.685,388,893,62,63,62.748,61.341,88.360
48,2069,151.271,64,214,294.095,509.297,295.733,508.378,268,483,52,52,52.035,50.627,110.586
49,1686,115.547,61,194,448.796,884.698,449.074,883.763,425,861,47,47,46.944,45.728,92.090
50,1149,126.611,84,164,15.763,668.026,15.588,668.125,0,647,34,41,41.403,35.335,93.317
51,1619,74.842,16,155,912.215,629.334,913.084,630.005,879,608,66,43,72.766,28.329,151.552
52,913,66.269,28,136,632.290,313.429,632.267,312.809,607,297,50,33,54.904,21.173,150.568
53,1037,78.688,35,198,1005.483,366.778,1003.905,368.207,987,340,36,53,58.205,22.684,59.713
54,943,56.287,23,153,198.058,743.392,198.431,742.998,183,717,29,53,55.671,21.567,69.216
55,853,63.685,25,170,342.822,659.526,344.304,657.128,325,636,35,46,52.892,20.534,56.437
56,442,75.645,44,129,331.756,769.362,331.840,769.122,314,757,34,24,38.212,14.727,150.626
57,989,87.769,45,168,224.892,818.047,224.707,816.903,199,801,51,34,56.593,22.251,150.361
