 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,523,142.356,119,162,216.185,907.007,216.206,907.158,205,891,22,31,30.482,21.846,82.352
2,1638,149.189,104,194,113.214,718.983,112.962,718.844,78,703,70,31,70.037,29.778,174.810
3,920,128.348,50,177,205.216,753.003,203.748,752.585,183,738,43,29,43.022,27.228,166.682
4,924,104.469,59,142,114.772,682.266,114.896,681.340,101,659,27,46,45.307,25.967,93.087
5,1231,92.344,54,137,182.263,629.630,180.246,629.701,153,615,58,28,57.451,27.282,4.026
6,766,91.751,57,121,88.898,594.974,88.871,595.563,75,576,27,37,37.825,25.785,108.348
7,12669,185.585,91,240,300.092,961.002,300.177,963.243,217,910,166,101,167.047,96.564,11.641
8,2317,67.825,39,99,106.065,275.061,105.556,276.287,80,242,51,66,71.614,41.195,59.700
9,235,93.877,69,126,360.781,526.377,360.950,526.183,351,510,19,32,34.502,8.672,62.560
10,745,121.507,90,156,479.692,602.983,480.704,602.494,454,592,50,22,50.239,18.881,14.119
11,988,132.787,82,176,592.288,903.981,593.066,903.801,563,890,57,27,58.083,21.658,15.732
12,2091,136.177,77,204,523.199,890.058,524.179,889.758,493,862,60,56,72.446,36.749,41.828
13,767,126.832,78,174,829.093,722.928,828.745,722.345,814,703,30,40,43.963,22.213,120.410
14,1612,121.102,59,163,868.201,944.958,869.501,946.068,838,924,59,42,63.534,32.305,151.641
15,874,117.130,76,163,980.102,964.005,979.873,964.922,966,941,28,45,46.692,23.833,69.827
16,770,132.932,96,182,973.158,896.022,972.570,896.105,954,879,37,33,43.725,22.422,39.411
17,595,92.143,48,127,728.102,578.986,727.699,579.352,717,559,21,39,38.771,19.540,101.147
18,548,69.765,44,92,454.204,238.027,454.488,237.563,440,224,27,28,31.224,22.346,51.310
19,1996,53.876,22,86,655.187,35.044,652.290,36.645,619,15,71,40,73.287,34.677,17.764
20,945,121.937,64,170,479.139,979.986,479.977,981.276,463,960,31,40,40.194,29.935,88.298
21,3246,100.828,55,157,910.124,369.551,911.146,371.002,879,335,62,69,74.259,55.656,55.406
22,2734,78.805,25,130,657.651,363.485,657.603,364.595,623,337,68,52,68.251,51.003,169.452
23,1554,159.426,109,208,796.113,807.002,795.740,807.098,776,781,40,51,51.405,38.491,76.376
24,1292,122.811,65,171,146.121,820.046,145.714,820.463,126,798,39,44,46.767,35.175,121.929
25,4724,94.767,42,151,26.948,46.323,27.627,44.311,0,0,58,95,99.051,60.724,87.550
26,389,92.761,47,119,782.071,933.862,782.356,934.763,773,917,17,33,32.791,15.104,103.150
27,3609,94.812,16,154,447.131,384.078,446.196,384.478,408,344,78,79,100.401,45.768,45.746
28,2171,58.543,19,77,951.156,119.975,951.555,120.020,913,99,75,42,77.415,35.706,162.080
29,1291,133.592,82,181,298.119,828.066,298.493,827.191,276,802,43,51,60.061,27.368,53.339
30,803,102.233,48,156,793.065,889.195,794.337,887.238,772,863,41,51,62.232,16.429,52.544
31,3834,77.406,38,115,210.127,52.032,210.331,51.806,167,14,86,75,102.317,47.711,38.574
32,780,50.773,28,72,779.244,292.988,780.056,292.611,756,282,46,22,46.090,21.548,2.485
33,3453,66.891,30,111,793.041,299.017,794.822,297.015,767,251,51,95,97.230,45.217,74.538
34,822,78.365,42,117,42.642,421.544,42.348,420.892,26,404,32,34,33.265,31.463,86.813
35,341,97.270,70,119,72.172,461.532,72.091,461.458,61,450,21,22,21.358,20.328,68.132
36,1444,114.875,68,150,232.075,646.499,232.748,646.279,211,624,42,44,44.048,41.740,68.294
37,4802,64.508,20,91,479.113,106.026,478.499,104.948,440,65,77,81,80.444,76.004,83.290
38,1549,139.587,89,202,548.100,639.989,548.410,638.540,526,617,44,46,45.681,43.174,71.605
39,1446,175.555,130,225,129.062,948.981,128.988,949.492,107,927,43,44,44.149,41.702,110.069
40,617,79.932,59,108,131.284,500.988,131.547,500.998,107,492,47,18,46.143,17.025,7.565
41,555,97.249,60,141,29.235,555.990,28.993,556.685,7,546,43,20,43.505,16.243,16.553
42,790,100.239,72,135,186.275,590.004,187.315,589.973,160,580,52,20,52.053,19.324,4.347
43,699,73.651,42,112,687.046,507.913,687.160,507.179,676,483,21,49,49.024,18.154,101.439
44,338,139.953,85,174,413.213,469.003,412.859,469.309,402,458,21,21,20.754,20.736,89.204
45,1474,96.272,49,141,638.677,531.001,638.303,531.049,614,507,48,48,59.069,31.772,134.367
46,1742,109.096,67,156,951.133,579.000,951.320,578.999,927,555,48,48,47.097,47.094,90.000
47,603,114.463,88,140,674.721,464.505,674.741,464.382,660,450,28,28,27.716,27.702,88.708
48,585,73.626,52,117,983.854,414.741,984.046,414.195,970,401,27,27,27.375,27.209,109.760
49,147,122.633,82,153,1008.697,801.031,1008.576,800.770,1001,794,14,14,13.892,13.473,76.933
50,183,81.077,61,107,916.899,903.631,917.053,903.568,909,896,15,15,15.341,15.188,99.147
51,557,75.998,52,117,828.755,632.994,829.294,633.426,808,623,40,19,39.638,17.892,174.417
52,269,116.428,85,140,644.467,843.009,644.358,842.788,635,833,19,19,18.758,18.259,18.673
53,322,143.804,116,175,617.829,861.671,618.050,861.737,606,852,23,19,23.580,17.387,162.125
54,65,151.569,134,176,602.823,836.454,602.856,836.478,598,831,9,10,10.134,8.167,121.256
55,518,111.598,60,175,587.319,762.000,586.278,761.867,566,754,42,16,41.611,15.850,0.000
56,3507,92.949,35,131,242.170,192.980,242.345,194.350,207,160,70,65,69.516,64.233,9.607
57,421,47.891,24,92,896.234,171.018,895.932,171.360,884,159,24,24,24.060,22.279,46.037
58,374,27.821,15,41,754.233,26.013,754.585,25.833,743,15,22,22,22.797,20.889,134.704
59,422,36.682,21,61,723.206,50.000,723.506,50.041,711,37,23,25,24.231,22.174,86.908
60,335,44.331,26,64,820.237,114.987,820.281,115.042,809,104,21,22,21.330,19.997,123.379
61,305,34.738,19,60,883.189,44.943,882.524,45.004,873,34,20,21,20.433,19.006,123.699
62,560,44.304,20,72,561.237,185.977,560.786,185.582,547,172,27,28,27.965,25.496,117.703
63,658,47.869,22,79,491.254,265.970,491.131,265.601,475,252,31,28,30.053,27.877,171.940
64,427,69.918,42,112,324.191,247.975,324.784,247.763,312,235,23,25,24.233,22.435,95.020
65,315,38.711,16,69,357.198,75.986,356.779,74.446,347,65,20,21,20.675,19.399,111.617
66,167,80.485,43,130,295.129,186.889,295.817,186.414,287,179,15,16,15.241,13.952,112.989
67,288,85.434,51,111,280.247,203.972,279.923,204.113,270,194,20,20,20.018,18.318,146.766
68,234,48.107,24,78,319.167,151.073,318.267,151.124,309,142,19,17,18.161,16.405,5.129
69,212,42.585,26,72,295.090,43.113,294.498,43.403,286,34,17,17,17.269,15.631,42.960
70,212,45.415,24,74,405.113,59.090,405.365,59.907,396,50,17,17,17.269,15.631,47.040
71,76,48.368,36,62,377.197,46.895,377.384,46.875,372,41,10,11,10.203,9.484,69.965
72,417,43.285,26,88,55.186,161.876,55.941,162.077,43,148,23,27,29.883,17.768,125.525
73,123,38.041,19,82,77.159,352.362,76.657,351.143,70,345,13,15,16.465,9.512,125.792
