 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,999,131.895,80,206,173.431,87.270,173.635,87.494,154,65,38,44,52.296,24.322,127.603
2,1081,120.730,73,191,402.780,459.244,402.384,459.293,380,443,45,33,45.030,30.566,19.070
3,812,102.851,42,180,159.010,435.296,157.881,435.466,139,421,39,28,39.200,26.374,17.953
4,1404,113.194,40,169,444.680,288.068,444.508,287.492,426,262,36,52,51.497,34.714,79.469
5,1094,106.092,36,192,593.435,315.352,593.449,314.352,575,294,36,42,45.406,30.677,57.944
6,1192,107.877,43,159,737.549,199.396,736.361,199.740,715,180,44,38,47.243,32.125,148.018
7,1185,119.677,50,188,853.459,652.670,854.478,652.897,830,635,46,35,47.356,31.860,154.485
8,547,105.080,73,180,587.575,715.339,587.430,715.482,570,704,34,22,35.262,19.751,19.457
9,2084,120.735,61,186,97.444,977.897,97.400,977.979,70,949,54,58,69.047,38.429,131.147
10,1807,115.952,71,166,112.088,906.586,111.823,906.606,93,874,37,65,63.985,35.958,85.423
11,377,106.926,72,161,216.866,806.099,216.361,806.679,203,795,27,21,29.217,16.429,29.109
12,527,105.932,72,196,274.303,576.659,275.009,576.632,257,566,34,21,34.614,19.385,164.220
13,543,97.267,51,171,874.209,384.064,873.806,384.056,858,370,31,27,34.972,19.769,37.572
14,912,97.758,51,183,820.823,183.988,821.266,184.486,800,167,41,33,45.381,25.588,31.659
15,761,93.562,65,128,659.507,194.679,659.926,194.465,640,180,38,29,41.762,23.201,31.042
16,1106,114.508,45,188,375.584,354.712,376.645,354.223,351,338,48,33,50.204,28.050,21.381
17,478,117.523,71,174,332.939,345.347,333.656,345.451,319,331,27,28,32.990,18.448,133.144
18,737,115.441,70,207,307.339,348.618,308.413,349.865,293,329,28,38,40.971,22.904,118.984
19,1039,122.470,75,180,646.717,755.981,646.841,756.372,632,731,29,49,48.863,27.074,80.666
20,583,108.262,51,154,502.843,39.418,502.949,39.563,485,26,34,26,36.379,20.405,28.683
21,1094,118.862,57,202,1010.750,93.685,1011.040,93.366,994,66,30,51,51.355,27.123,71.036
22,422,113.235,70,160,396.218,256.585,396.145,256.532,382,244,27,25,30.766,17.464,139.917
23,321,94.888,58,162,250.908,717.936,251.174,717.488,238,709,25,18,26.843,15.226,153.046
24,958,126.948,75,204,820.116,533.965,820.150,533.998,805,513,30,42,41.612,29.313,98.166
25,3767,112.284,64,160,457.411,958.006,458.098,958.253,426,918,62,80,82.660,58.024,67.496
26,809,108.211,71,152,178.190,798.033,178.329,798.186,157,783,41,30,44.610,23.090,149.863
27,3013,107.724,31,190,259.428,906.623,258.903,907.493,234,867,50,79,78.156,49.085,99.022
28,1032,138.543,65,202,268.841,786.020,269.325,786.594,246,770,45,31,45.668,28.772,165.403
29,6651,115.012,55,187,790.790,113.952,791.264,114.809,748,63,85,101,100.184,84.528,93.303
30,4823,127.129,50,197,486.130,398.634,485.503,398.682,449,356,73,85,85.123,72.141,94.173
31,1572,128.570,74,184,502.676,325.422,502.385,325.788,482,301,41,49,48.696,41.102,98.752
32,1204,132.537,41,203,986.767,489.328,987.089,489.780,968,468,37,43,42.628,35.962,89.636
33,1526,125.706,50,202,486.723,849.351,486.849,850.017,466,825,41,48,47.788,40.658,90.333
34,1058,117.963,55,176,902.108,882.712,901.792,882.861,885,862,34,41,39.853,33.801,88.730
35,801,98.137,62,139,50.731,900.007,50.446,900.181,35,882,30,35,34.636,29.445,93.323
36,344,110.340,76,183,230.785,581.968,230.447,581.608,221,570,19,23,22.623,19.360,99.258
37,3446,152.521,77,229,46.772,149.397,46.693,149.515,16,113,61,72,71.921,61.006,89.705
38,1300,137.692,77,206,261.414,102.000,261.485,101.388,242,80,38,44,44.235,37.418,90.000
39,1699,123.429,44,175,818.056,410.638,818.081,410.093,796,385,43,51,50.860,42.533,87.978
40,632,127.041,86,182,516.244,560.616,516.356,560.273,502,545,27,31,30.878,26.060,95.761
41,678,84.471,35,149,822.773,685.260,822.424,683.882,809,669,27,32,31.916,27.048,90.134
42,426,105.690,71,143,366.793,867.331,366.759,867.637,355,854,22,26,25.381,21.371,90.608
43,577,108.620,76,153,634.796,129.382,634.804,129.022,622,114,25,30,29.391,24.996,94.866
44,800,107.150,60,193,601.476,533.760,602.908,534.367,577,511,48,46,63.000,16.168,135.870
45,331,61.350,34,142,490.860,483.512,490.555,483.859,476,467,29,32,40.542,10.395,48.987
46,232,70.457,30,218,650.129,664.483,651.543,665.681,637,652,26,24,33.488,8.821,138.694
47,381,95.055,63,185,542.143,876.781,542.044,877.241,526,860,32,32,43.200,11.229,44.849
48,191,50.068,25,146,440.149,887.181,438.944,885.602,428,875,23,24,31.112,7.817,132.982
49,199,33.412,9,61,515.003,1013.063,515.168,1013.241,504,1001,22,23,29.758,8.514,128.879
50,118,60.102,31,187,187.517,161.856,186.908,161.611,178,153,18,18,24.211,6.206,135.465
51,183,55.388,19,158,136.139,353.861,134.736,351.986,127,343,18,21,24.939,9.343,129.376
52,399,84.075,35,198,480.906,133.858,482.018,134.953,467,119,27,30,37.762,13.453,131.918
53,271,66.720,45,125,782.212,765.474,781.838,765.579,768,754,27,22,31.590,10.923,36.675
54,236,100.996,27,171,690.733,486.547,691.319,486.736,682,477,17,19,17.822,16.860,115.561
55,189,124.090,78,187,548.140,463.373,548.025,463.426,540,455,16,16,16.068,14.977,152.325
56,221,102.593,67,159,582.197,470.038,582.189,469.962,573,461,17,18,17.395,16.176,118.093
57,180,109.661,56,186,598.839,464.011,598.218,463.509,591,456,15,16,15.479,14.806,104.763
58,146,79.315,45,135,619.521,573.308,619.730,573.348,612,566,14,14,13.968,13.309,118.118
59,215,124.019,58,219,673.491,647.905,673.882,647.968,665,639,17,17,17.018,16.086,149.351
60,239,88.753,25,186,600.169,647.383,599.656,648.007,591,638,18,18,18.195,16.725,138.737
61,246,119.045,54,186,208.146,461.890,207.635,461.371,199,453,18,18,18.182,17.227,121.308
62,149,59.530,24,137,68.802,602.661,68.505,602.769,61,595,15,15,14.164,13.394,129.681
63,212,81.585,31,151,24.108,570.689,23.273,570.671,15,562,17,17,17.104,15.781,122.103
64,223,60.498,24,126,63.527,712.603,63.740,711.310,54,704,18,17,17.128,16.577,119.108
65,246,92.366,53,175,156.146,825.890,155.531,825.011,147,817,18,18,18.182,17.227,121.308
66,108,57.102,29,112,175.481,871.259,175.042,871.074,169,865,12,12,12.187,11.283,102.066
67,156,110.705,48,167,124.122,846.006,123.566,845.266,117,838,14,15,14.393,13.800,134.596
68,237,81.882,43,134,234.120,849.390,234.098,849.294,225,840,18,18,17.836,16.918,139.888
69,164,63.396,10,155,228.122,888.000,227.121,886.378,220,880,15,15,14.773,14.135,134.632
70,165,119.909,59,195,340.894,889.330,340.224,888.479,333,881,15,16,14.982,14.022,111.672
71,169,102.775,59,174,348.121,954.672,347.830,953.805,340,947,15,15,14.973,14.371,121.680
72,193,82.238,56,124,374.179,904.023,373.653,903.974,366,896,16,16,16.101,15.262,136.610
73,147,108.279,56,175,408.793,897.289,408.425,896.335,401,890,15,14,14.021,13.349,133.983
74,119,92.034,26,157,534.105,835.971,533.255,835.380,527,829,13,13,12.573,12.051,134.640
75,147,70.020,30,130,461.432,772.690,461.353,772.214,454,765,14,15,13.973,13.395,126.387
76,254,113.122,69,174,275.488,515.252,275.210,514.967,266,506,18,19,18.557,17.427,104.719
77,205,113.688,74,161,733.500,771.290,733.059,770.783,725,763,16,17,16.720,15.610,111.888
78,96,118.344,75,182,622.167,775.375,622.047,774.992,616,769,12,12,11.551,10.582,110.133
79,149,114.691,73,169,640.802,807.970,640.779,807.517,633,801,15,14,14.240,13.323,115.412
80,156,137.045,74,197,568.122,782.006,567.561,781.637,561,774,14,15,14.393,13.800,134.596
81,263,115.703,65,164,535.386,993.960,535.222,993.527,526,984,18,19,18.811,17.802,125.595
82,260,102.896,70,153,878.912,990.769,879.015,990.696,869,981,19,19,18.506,17.888,134.047
83,260,62.627,30,130,705.423,925.281,704.978,923.997,696,916,18,18,18.571,17.826,134.868
84,224,96.103,46,150,951.491,935.442,950.805,934.766,942,926,18,18,17.438,16.355,128.018
85,193,110.591,61,161,980.712,862.598,980.399,862.422,972,854,16,17,16.156,15.211,117.655
86,459,105.207,58,169,964.807,565.354,964.293,564.885,952,552,24,26,25.020,23.358,104.605
87,560,95.234,43,193,898.882,505.952,897.727,505.905,885,492,27,27,27.792,25.655,138.308
88,446,90.576,51,154,960.939,672.702,960.850,671.838,948,660,25,25,24.664,23.024,135.551
89,321,77.660,48,139,229.466,947.992,229.091,948.043,219,937,20,21,20.818,19.633,126.890
90,349,107.777,43,167,252.838,989.368,252.274,988.601,242,978,21,22,21.756,20.424,129.756
91,182,83.324,54,127,181.467,990.593,181.203,990.486,173,983,16,15,15.606,14.848,121.033
