 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,4849,126.386,69,178,498.641,873.845,499.888,874.027,439,842,119,64,125.688,49.121,159.603
2,2809,109.737,31,160,986.243,437.955,986.420,435.994,962,401,49,75,74.531,47.987,96.319
3,1996,85.439,54,122,899.577,218.601,899.861,218.407,865,199,69,39,70.298,36.151,14.847
4,2565,102.818,56,155,141.121,420.425,140.957,420.939,117,386,48,70,69.805,46.786,76.414
5,1435,88.889,47,127,260.561,496.993,260.909,497.339,238,475,45,44,52.416,34.857,136.084
6,1299,91.776,61,134,887.514,948.752,887.134,948.714,867,927,41,44,49.711,33.271,130.141
7,666,98.799,51,142,8.396,335.620,8.128,335.888,0,316,20,55,45.020,18.835,78.973
8,229,67.026,47,92,343.308,193.015,342.868,192.684,332,185,23,16,24.759,11.776,149.374
9,348,93.026,51,134,431.629,720.566,430.915,720.147,417,712,30,18,30.467,14.543,159.427
10,1734,114.599,69,164,621.230,661.373,620.269,661.491,600,635,43,53,53.497,41.270,106.345
11,15988,100.870,38,156,548.166,558.805,549.935,558.994,467,496,162,126,162.517,125.258,175.140
12,675,99.031,59,129,729.808,754.019,729.572,753.700,714,740,31,28,33.236,25.859,146.816
13,825,92.270,63,120,419.923,77.136,420.317,77.360,403,61,34,32,37.025,28.370,139.652
14,722,76.494,47,106,673.007,418.838,673.216,418.779,659,401,28,36,38.596,23.818,118.249
15,9903,131.578,63,199,97.582,763.496,95.023,763.711,27,718,141,91,142.407,88.541,168.684
16,2456,72.568,33,127,877.262,498.001,877.317,496.572,853,466,49,64,64.294,48.637,89.875
17,895,80.922,22,132,533.379,270.074,532.832,271.886,523,241,21,58,58.532,19.469,82.149
18,1447,75.704,32,129,275.646,177.563,274.795,178.526,256,143,39,69,74.860,24.611,64.752
19,314,49.379,13,107,223.414,5.401,223.660,5.484,209,0,60,13,33.376,11.978,10.524
20,1536,53.295,18,101,955.078,56,955.099,55.359,933,34,44,44,44.224,44.223,90.000
21,169,52.284,30,97,434.370,407.311,434.460,406.386,427,400,15,15,14.683,14.655,34.509
22,324,107.836,76,146,13.333,131.176,13.480,130.974,3,121,20,20,20.451,20.171,122.997
23,263,74.449,49,108,681.329,686.230,681.215,685.857,672,677,18,18,18.321,18.277,32.367
24,352,61.281,0,109,528.082,7.196,528.344,8.667,515,0,26,17,26.152,17.137,179.115
