 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,2122,131.385,90,188,838.078,928.656,838.299,928.962,807,905,62,46,63.110,42.811,18.578
2,1753,119.338,55,182,477.449,588.022,478.198,587.016,449,566,56,43,57.348,38.920,22.021
3,1451,150.937,109,203,108.747,1004.343,108.602,1004.875,88,980,42,44,47.709,38.724,123.617
4,1346,95.450,64,167,554.120,88.669,554.082,88.242,530,68,48,40,52.228,32.813,32.144
5,1705,160.999,125,212,560.760,177.962,560.756,177.729,537,154,47,47,46.780,46.406,25.273
6,1699,157.315,126,199,673.436,186.641,673.437,186.637,650,163,47,47,46.516,46.505,118.694
7,1615,152.432,120,196,712.676,138.578,712.482,138.697,689,115,46,46,45.356,45.336,142.564
8,1683,156.567,126,199,831.414,112.009,831.541,111.925,808,88,46,47,46.394,46.189,99.746
9,1763,148.706,113,201,844.131,191.408,844.181,190.816,820,167,48,48,47.514,47.243,47.845
10,1176,118.428,81,168,644.131,364.599,643.814,364.191,624,345,39,39,38.749,38.641,59.014
11,1252,171.340,137,207,703.339,413.304,703.414,413.378,683,393,40,40,39.967,39.886,42.865
12,1250,114.761,61,162,642.812,508.000,643.231,507.796,622,488,41,40,39.965,39.823,90.000
13,1173,90.014,48,135,582.763,595.416,582.107,595.874,563,576,39,39,38.685,38.606,167.593
14,1718,148.150,115,189,369.399,71.364,369.417,71.282,345,47,48,48,46.800,46.740,39.555
15,1427,117.874,83,156,43.470,298.709,43.380,298.635,22,277,43,43,42.672,42.579,66.181
16,1296,168.028,134,218,48.721,418.642,48.797,418.536,28,398,41,41,40.645,40.599,86.231
17,751,184.844,152,217,151.605,671.356,151.498,671.334,136,656,31,31,31.036,30.810,44.206
18,1366,175.966,137,210,196.742,720.007,196.746,719.912,175,699,43,42,41.943,41.467,47.290
19,6402,149.230,35,226,956.082,983.728,955.826,984.717,909,939,93,85,93.034,87.616,0.371
20,3052,133.759,48,201,296.193,814.000,298.036,812.260,264,782,63,63,62.340,62.335,90.000
21,2245,129.888,89,187,373.407,1001.811,373.426,1001.392,345,976,56,48,57.317,49.871,0.053
22,1364,115.752,84,168,514.693,725.975,514.933,725.517,493,705,42,42,41.849,41.499,53.670
23,1974,111.417,54,160,480.065,934.629,480.797,935.404,454,909,51,51,50.341,49.927,8.564
24,2097,104.282,63,148,485.385,993.376,485.656,993.946,459,967,52,52,51.762,51.582,146.174
25,1461,132.368,85,181,320.692,926.614,320.744,926.812,299,905,43,43,43.191,43.069,156.946
26,1175,110.179,43,161,309.528,291.349,308.526,290.590,290,272,39,39,38.739,38.619,114.264
27,800,166.275,127,202,806.920,320.000,806.877,320.191,790,304,33,32,32.005,31.826,90.000
28,1095,169.880,114,208,812.708,663.987,812.775,664.450,794,645,37,38,37.444,37.234,100.051
29,1922,130.021,51,183,998.014,866.011,998.196,864.891,973,841,50,50,49.469,49.469,50.826
30,2272,132.986,47,223,713.417,906.029,712.069,908.635,686,879,54,54,54.036,53.534,83.594
31,1926,121.028,62,164,638.695,980.629,638.420,980.243,613,955,50,50,49.605,49.436,51.341
32,1527,121.119,46,184,124.090,148.776,123.979,147.240,102,126,44,45,44.138,44.049,145.701
33,1344,119.282,69,187,642.786,882.682,643.482,881.665,621,861,42,42,41.377,41.357,155.786
34,1458,100.964,65,164,614.097,901.364,613.433,901.678,592,879,44,44,43.337,42.836,56.610
35,869,95.766,50,172,495.506,525.316,495.940,525.123,479,507,32,37,37.702,29.347,66.715
36,901,77.830,33,148,660.105,265.357,660.105,264.966,643,245,33,40,44.204,25.952,57.666
37,1024,56.885,20,116,968.923,372.679,969.983,371.993,950,354,37,37,36.178,36.039,148.242
38,1243,93.092,28,156,648.785,741.987,650.352,741.894,628,722,41,40,39.929,39.636,120.226
39,1362,71.449,40,131,409.529,840.600,409.525,841.227,388,819,42,42,41.670,41.616,62.793
40,1402,120.109,54,190,474.717,894.149,475.406,892.302,455,860,39,67,72.957,24.467,64.071
41,606,95.837,52,166,254.734,756.119,254.248,757.103,241,734,27,44,47.760,16.155,63.404
42,652,84.107,50,156,347.995,658.196,348.232,658.264,333,635,29,45,50.111,16.566,61.357
43,404,70.485,45,145,435.406,278.809,435.262,279.405,424,261,22,35,38.776,13.266,63.470
44,515,72.718,37,123,564.708,348.110,565.108,348.053,552,331,24,34,36.329,18.049,61.816
45,399,75.378,40,142,62.284,201.959,61.971,201.465,48,190,28,24,32.553,15.606,140.928
46,627,86.469,44,184,115.482,267.342,114.817,266.228,97,253,36,28,40.070,19.923,146.069
47,351,76.390,46,174,60.132,158.147,60.532,157.304,49,144,21,27,29.856,14.969,57.826
48,249,72.896,40,162,16.114,123.508,16.873,122.468,6,112,19,22,25.236,12.563,51.658
49,1112,68.054,26,141,14.260,932.456,15.681,930.327,0,908,31,52,53.909,26.264,66.207
50,1034,67.590,33,177,934.720,706.868,935.821,705.921,916,678,37,57,64.373,20.452,60.422
51,366,79.454,53,164,864.134,390.161,864.420,389.664,853,375,21,29,32.040,14.545,60.083
52,661,71.589,20,184,134.213,602.712,133.632,601.086,115,588,38,29,43.425,19.381,146.623
53,1470,102.931,63,161,937.455,773.294,938.084,773.130,916,750,42,46,45.854,40.817,80.147
54,1344,149.747,98,196,681.481,876.785,681.135,876.181,661,854,40,45,43.894,38.986,89.321
55,1802,109.346,61,160,787.997,1003.936,788.574,1004.114,763,979,49,45,49.867,46.010,177.095
56,1348,116.892,76,175,165.414,800.746,165.151,800.710,145,778,40,45,43.989,39.017,93.647
57,956,100.161,51,216,64.742,682.724,65.774,681.577,47,662,35,41,45.003,27.048,55.448
58,641,84.187,44,168,384.232,668.558,383.158,666.827,367,654,33,29,37.201,21.939,142.109
59,677,140.895,102,171,869.645,715.980,869.620,716.177,854,701,30,30,29.498,29.222,109.740
60,1113,97.449,51,141,922.803,672.025,922.269,672.042,903,653,39,38,37.829,37.461,117.961
61,877,84.952,37,137,1000.156,587.385,999.488,586.776,983,570,34,34,33.610,33.223,162.236
62,807,124.753,88,168,327.572,756.049,327.506,756.112,311,740,32,32,32.131,31.979,79.657
63,741,114.219,87,157,458.199,353.387,458.010,353.390,442,337,31,32,30.836,30.596,90.479
64,1262,118.190,83,160,757.361,118.670,757.415,118.654,737,98,40,41,40.115,40.056,82.626
65,1098,97.474,55,159,950.791,73.323,950.617,72.516,932,54,37,38,37.421,37.360,95.054
66,762,114.924,62,196,564.260,423.307,563.961,422.393,548,407,32,32,31.226,31.070,0.285
67,523,115.134,84,158,484.896,440.070,484.953,439.892,471,427,27,26,25.928,25.682,102.208
68,322,119.658,76,183,392.161,446.761,392.251,446.028,381,436,21,21,20.318,20.178,13.310
69,322,116.056,56,190,384.161,474.761,383.846,474.887,373,464,21,21,20.318,20.178,13.310
70,499,106.826,50,187,392.893,512.566,393.748,512.570,379,499,26,26,25.242,25.170,100.843
71,507,92.665,35,187,298.839,532.695,298.275,533.825,285,519,26,26,25.439,25.376,114.240
72,507,92.665,35,187,298.839,532.695,298.275,533.825,285,519,26,26,25.439,25.376,114.240
73,366,81.934,44,143,204.273,599.997,204.149,599.446,193,589,22,22,21.601,21.573,90.573
74,253,105.277,61,170,220.211,534.717,219.955,534.063,211,525,18,19,18.143,17.755,43.325
75,406,95.468,59,149,238.901,523.347,239.162,523.464,227,512,23,23,22.794,22.679,48.658
76,476,106.210,69,150,169.622,542.616,169.757,542.355,157,530,25,25,24.658,24.579,36.918
77,249,115.406,58,200,55.500,455.347,55.676,454.331,46,446,18,18,17.853,17.758,120.167
