 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,514,73.819,24,124,143.800,43.733,143.942,45.181,130,30,27,27,31.762,20.604,133.818
2,863,115.861,68,153,163.094,213.121,163.226,213.061,147,195,31,36,36.702,29.939,72.891
3,1930,101.150,51,159,208.794,289.183,208.734,288.773,181,266,55,46,58.067,42.319,28.074
4,1877,102.435,25,159,18.973,229.243,19.617,227.969,0,202,42,56,57.980,41.219,67.657
5,139,77.597,49,101,155.277,316.392,155.454,316.532,149,308,12,16,15.530,11.396,67.845
6,621,84.850,46,117,31.064,407.096,31.179,406.991,17,392,28,30,32.980,23.975,51.754
7,1880,115.581,58,162,58.831,504.296,57.842,504.272,22,485,72,38,74.058,32.322,162.799
8,347,89.043,34,115,383.431,75.990,383.436,75.489,374,63,18,26,25.817,17.113,87.160
9,1917,110.575,46,171,314.398,305.420,314.984,305.357,294,270,40,71,74.012,32.978,69.578
10,1248,106.357,34,155,251.276,384.537,250.803,384.481,234,360,34,49,48.760,32.588,102.660
11,1005,105.268,34,164,280.416,377.388,281.944,377.064,258,362,44,31,43.629,29.330,165.880
12,845,105.738,66,155,112.176,429.536,112.254,429.483,98,409,28,41,41.135,26.155,105.193
13,3249,126.614,49,192,635.174,269.162,635.932,268.487,597,237,76,64,86.820,47.647,36.299
14,657,121.085,72,167,465.820,288.533,465.956,288.469,450,272,31,32,37.149,22.518,48.976
15,1042,109.131,70,156,405.194,783.798,405.492,783.604,389,760,31,47,47.151,28.138,72.625
16,1055,101.759,49,178,430.390,325.891,431.861,325.118,407,309,46,33,47.446,28.311,23.103
17,1799,116.329,57,175,389.800,584.121,390.027,583.426,367,555,45,58,64.234,35.660,59.843
18,1074,86.797,9,140,177.912,593.858,177.591,594.109,162,571,31,45,43.791,31.227,89.921
19,1884,115.808,67,167,327.959,851.326,328.166,851.291,300,822,56,59,73.830,32.491,133.003
20,1065,112.600,47,172,786.477,185.501,785.981,186.440,769,161,34,48,52.085,26.034,62.267
21,1282,115.136,33,168,695.091,89.546,694.737,90.672,669,73,51,33,51.280,31.831,167.117
22,759,104.610,64,142,796.078,48.984,796.127,49.398,784,26,23,45,44.703,21.618,80.501
23,1198,117.146,69,171,870.121,207.403,870.043,207.473,852,185,36,44,45.325,33.653,64.054
24,3063,98.518,40,171,993.010,434.087,994.520,433.424,961,402,63,64,72.799,53.572,45.615
25,1658,124.473,33,188,897.290,500.101,898.582,501.123,870,480,54,40,53.268,39.631,171.415
26,2795,115.136,61,175,918.497,758.708,918.282,759.175,884,728,68,61,78.805,45.158,38.728
27,869,99.887,58,137,607.590,492.075,607.157,492.017,586,477,42,30,43.849,25.233,155.630
28,692,95.053,62,171,659.107,488.204,658.826,487.627,638,474,41,28,44.522,19.790,152.385
29,1403,115.766,62,161,940.352,644.015,939.852,644.000,922,619,36,50,49.743,35.912,98.482
30,965,106.533,71,145,590.091,704.592,590.249,704.832,569,688,41,33,43.655,28.145,151.584
31,871,105.374,70,152,511.414,886.920,511.456,886.785,499,861,24,51,50.589,21.922,98.802
32,840,84.911,41,120,754.270,959.669,754.573,958.305,742,935,24,49,49.791,21.480,79.633
33,598,104.333,77,138,716.328,744.512,716.588,744.601,700,727,32,34,41.854,18.192,47.527
34,436,93.567,57,133,831.569,764.610,831.310,765.072,822,746,18,36,35.915,15.457,75.595
35,916,105.905,58,171,963.538,706.490,963.883,706.249,948,686,30,41,41.318,28.227,104.395
36,1016,85.686,35,124,612.575,654.953,612.218,655.721,597,633,31,43,43.207,29.940,102.158
37,1192,81.779,40,135,899.768,575.707,898.767,575.946,883,552,33,47,47.042,32.263,78.926
38,462,89.331,44,118,782.078,584.117,782.701,583.644,768,572,28,23,29.526,19.923,28.718
39,2321,116.528,57,173,141.801,816.623,141.691,816.256,117,784,49,65,65.663,45.005,110.261
