 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,6172,82.813,5,154,826.048,616.747,826.850,616.669,769,581,114,71,114.536,68.611,171.651
2,3115,115.585,20,191,325.521,137.403,323.841,137.340,292,102,66,70,81.252,48.813,48.718
3,5320,96.062,17,167,615.425,64.729,612.973,60.978,568,23,94,83,106.315,63.713,141.856
4,12836,90.673,13,172,454.775,408.688,456.166,405.633,388,338,133,141,165.252,98.899,131.348
5,1228,105.854,56,159,1013.780,431.758,1014.368,430.522,999,385,25,76,65.736,23.785,83.471
6,683,38.088,15,65,356.802,747.960,355.995,748.029,338,733,36,30,40.830,21.298,143.874
7,1596,34.220,0,80,72.290,999.410,68.532,998.471,24,988,96,22,95.934,21.182,177.605
8,1645,18.249,0,65,238.035,712.682,237.459,707.974,226,664,24,97,96.524,21.699,84.423
9,799,28.969,6,93,322.047,618.629,323.189,619.935,312,592,20,53,53.312,19.082,86.045
10,1149,112.463,75,153,408.156,705.387,408.081,705.317,389,685,38,40,39.488,37.048,69.436
11,1001,145.415,97,204,707.652,529.227,708.598,529.100,689,511,36,36,36.904,34.536,127.042
12,3112,100.195,47,174,697.566,358.003,699.383,357.062,665,326,64,64,64.823,61.125,46.853
13,905,62.986,31,94,512.976,805.388,512.655,805.613,495,788,35,34,34.892,33.024,144.497
14,1397,28.831,0,92,642.730,450.452,642.923,448.817,629,416,27,69,69.371,25.641,92.281
15,1678,29.166,0,90,672.072,258.000,675.086,258.392,657,220,29,76,75.762,28.200,90.000
16,938,60.666,24,116,873.525,812.677,871.992,813.308,856,795,35,35,34.588,34.529,19.839
17,3344,74.395,0,140,105.885,134.699,117.720,135.394,8,118,195,33,195.895,21.735,172.976
18,4849,68.359,0,149,461.728,181.323,471.414,181.789,324,163,275,36,275.438,22.415,174.468
19,9462,100.782,25,183,863.339,75.963,865.356,76.158,808,21,110,110,110.047,109.475,81.901
20,354,53.599,5,144,748.215,364.593,751.052,364.894,737,353,22,22,21.479,20.985,104.161
21,391,51.542,19,116,300.845,542.776,301.395,543.276,289,531,23,23,22.609,22.019,177.092
22,546,54.778,23,102,335.456,498.612,335.184,498.447,322,485,26,27,26.816,25.924,85.589
23,185,71.049,41,104,430.765,593.354,430.864,593.618,422,585,16,16,15.457,15.239,128.706
24,919,54.477,27,104,384.828,942.692,385.382,942.450,367,925,35,35,34.686,33.734,166.515
25,498,61.779,21,125,167.584,966.086,168.191,967.608,154,953,26,26,25.383,24.981,162.037
26,524,68.204,33,125,133.664,899.466,134.321,900.000,119,886,28,26,29.569,22.563,36.064
27,314,61.083,44,92,118.959,879.946,119.148,879.896,107,870,23,19,22.823,17.517,157.946
28,242,61.760,37,98,496.169,905.942,496.212,905.353,486,897,19,18,19.956,15.440,143.908
29,192,58.047,31,86,456.208,849.250,456.550,849.378,447,842,18,15,17.644,13.855,154.288
30,340,73.709,37,130,800.891,850.726,802.077,850.608,790,839,21,23,23.906,18.109,51.283
31,94,35.340,22,56,649.372,835.351,649.499,835.013,643,830,12,11,12.380,9.667,32.310
32,238,46.067,23,72,277.542,1010.046,277.511,1010.323,268,1001,18,18,19.938,15.199,47.715
33,346,84.887,64,128,178.240,917.347,178.059,917.885,166,907,23,21,24.141,18.248,33.965
34,281,60.836,34,115,832.169,490.749,831.939,490.083,823,480,18,21,21.423,16.701,59.901
35,309,49.977,17,94,890.995,453.267,892.428,451.995,880,443,21,20,22.618,17.395,45.255
36,214,48.477,28,77,686.822,805.397,687.212,805.282,678,796,17,18,18.847,14.457,46.005
37,193,70.570,44,114,794.132,310.769,794.030,310.282,786,302,16,17,18.094,13.581,47.795
38,175,47.457,17,82,926.826,217.483,926.513,217.369,919,209,15,16,17.127,13.010,48.125
39,265,102.128,48,172,992.164,163.409,992.867,162.755,982,154,20,18,20.862,16.173,26.774
40,172,97.110,67,146,970.744,16.076,970.580,15.658,962,8,16,15,16.560,13.224,37.952
41,182,90.885,54,142,551.357,11.313,551.029,11.773,543,4,16,15,17.241,13.440,34.682
42,156,83.628,55,121,794.192,251.974,794.142,252.290,786,244,15,15,15.989,12.423,137.201
43,93,88.140,56,137,398.833,281.995,399.146,281.718,392,276,13,11,12.360,9.580,29.778
44,192,43.297,14,77,880.208,549.250,880.075,549.258,871,542,18,15,17.644,13.855,154.288
45,235,33.894,9,67,595.398,98.657,594.538,99.649,587,88,16,20,19.688,15.198,69.176
46,365,94.814,65,141,576.207,484.023,576.110,483.869,564,473,23,22,24.754,18.774,42.146
47,308,32.669,14,56,652.166,748.643,652.274,748.698,642,738,20,21,19.938,19.669,171.600
48,270,78.348,47,129,178.144,113.437,178.686,113.741,171,99,14,28,26.959,12.752,81.465
49,421,86.653,51,139,760.227,46.666,760.231,47.412,748,34,23,25,25.072,21.380,121.402
50,192,68.677,33,106,94.146,801.271,94.464,801.826,85,793,17,16,16.786,14.564,151.602
51,1636,82.032,38,137,922.054,892.698,923.961,892.155,900,868,44,49,49.352,42.208,63.142
52,4717,66.444,0,152,617.098,671.278,611.926,669.751,578,631,77,80,83.852,71.625,126.239
53,804,63.277,24,117,289.386,366.683,289.199,366.522,276,338,27,57,59.798,17.119,111.068
